lemma,query_term,prefLabel,altLabel,scopeNote,prefLabel_comment,altLabel_comment,total_per_query_term
batavia,batavia,1,2,1,0,0,4
batavia,batavias,0,0,0,0,0,0
southern rhodesia,southern rhodesia,0,0,0,0,0,0
madras,madras,1,0,5,0,0,6
low-income countries,low-income countries,0,0,0,0,0,0
headhunter,headhunter,0,0,0,0,0,0
headhunter,headhunters,0,0,0,0,0,0
immigrant,immigrant,0,4,1,0,0,5
immigrant,immigrants,2,1,9,0,0,12
barbarian,barbarian,0,4,1,0,0,5
barbarian,barbarians,0,0,0,0,0,0
moor,moor,0,3,4,0,0,7
moor,moors,1,1,5,0,0,7
indian,indian,46,158,371,0,1,576
indian,indians,3,47,53,0,0,103
homo,homo,6,2,13,0,0,21
homo,homos,0,0,0,0,0,0
exotic,exotic,0,2,16,0,0,18
exotic,exotics,0,0,0,0,0,0
allochtoon,allochtoon,0,0,0,0,0,0
medicine man,medicine man,0,0,0,0,0,0
medicine man,medicine men,0,1,0,0,0,1
third world,third world,0,1,2,0,0,3
servant,servant,0,7,6,0,0,13
servant,servants,6,7,20,0,0,33
hottentot,hottentot,0,1,0,0,0,1
hottentot,hottentots,0,0,2,0,0,2
gypsy,gypsy,1,8,1,0,0,10
gypsy,gypsys,0,0,0,0,0,0
coolie,coolie,0,0,0,0,0,0
coolie,coolies,0,0,0,0,0,0
white,white,103,312,824,1,1,1241
white,whiter,0,0,3,0,0,3
white,whitest,0,0,0,0,0,0
white,whites,0,0,5,0,0,5
caucasian,caucasian,8,10,15,0,0,33
caucasian,caucasians,0,0,0,0,0,0
kaffir,kaffir,0,1,0,0,0,1
kaffir,kaffirs,0,0,0,0,0,0
descent,descent,0,0,40,0,0,40
mohammedan,mohammedan,0,1,0,0,0,1
mohammedan,mohammedans,0,0,0,0,0,0
mongoloid,mongoloid,0,0,4,0,0,4
mongoloid,mongoloids,0,0,0,0,0,0
discover,discover,0,0,7,0,0,7
homosexual,homosexual,0,6,1,0,0,7
homosexual,homosexuals,2,1,0,0,0,3
baboo,baboo,0,0,0,0,0,0
baboo,baboos,0,0,0,0,0,0
pygmy,pygmy,3,17,8,0,0,28
pygmy,pygmys,0,0,0,0,0,0
page,page,7,29,64,0,0,100
page,pages,8,8,99,0,0,115
bush negro,bush negro,0,0,0,0,0,0
second world,second world,0,0,12,0,0,12
native,native,75,78,1070,3,1,1227
native,natives,0,0,3,0,0,3
bombay,bombay,1,3,4,0,0,8
bombay,bombays,0,0,0,0,0,0
negro,negro,1,5,0,0,0,6
negro,negroes,0,0,0,0,0,0
negro,negros,0,0,0,0,0,0
berber,berber,8,6,36,0,0,50
berber,berbers,0,1,2,0,0,3
mulatto,mulatto,0,0,0,0,0,0
mulatto,mulattoes,0,0,0,0,0,0
mulatto,mulattos,0,0,1,0,0,1
disabled,disabled,1,7,13,0,0,21
disabled,disableds,0,0,0,0,0,0
roots,roots,4,2,62,0,0,68
mestizo,mestizo,0,1,1,0,0,2
mestizo,mestizoes,0,0,0,0,0,0
mestizo,mestizos,0,0,0,0,0,0
developing nations,developing nations,0,1,0,0,0,1
western,western,49,122,515,0,0,686
western,westerns,0,3,0,0,0,3
aboriginal,aboriginal,4,11,36,0,0,51
aboriginal,aboriginals,0,0,1,0,0,1
transvestite,transvestite,0,1,1,0,0,2
transvestite,transvestites,0,0,0,0,0,0
eskimo,eskimo,7,29,7,0,0,43
eskimo,eskimoes,0,0,0,0,0,0
eskimo,eskimos,0,1,3,0,0,4
hermaphrodite,hermaphrodite,0,1,2,0,0,3
hermaphrodite,hermaphrodites,1,1,0,0,0,2
gay,gay,1,7,3,0,0,11
gay,gayer,0,0,0,0,0,0
gay,gayest,0,0,0,0,0,0
gay,gays,0,0,0,0,0,0
indo,indo,9,29,42,0,0,80
oriental,oriental,5,22,27,0,1,55
oriental,orientals,0,1,1,0,0,2
colored,colored,1,2,313,0,0,316
colored,coloreds,0,0,0,0,0,0
inuit,inuit,8,15,11,0,0,34
inuit,inuits,0,0,0,0,0,0
black,black,106,284,596,1,0,987
black,blacks,0,0,5,0,0,5
black,blackest,0,0,0,0,0,0
black,blacker,0,0,0,0,0,0
queer,queer,0,1,0,0,0,1
queer,queerest,0,0,0,0,0,0
queer,queerer,0,0,0,0,0,0
queer,queers,0,0,0,0,0,0
calcutta,calcutta,0,0,2,0,0,2
calcutta,calcuttas,0,0,0,0,0,0
ethnic groups,ethnic groups,1,0,15,0,0,16
maroon,maroon,2,1,5,0,0,8
maroon,maroons,0,0,0,0,0,0
trans,trans,2,3,2,0,0,7
trans,transs,0,0,0,0,0,0
half-breed,half-breed,0,0,0,0,0,0
half-breed,half-breeds,0,0,0,0,0,0
lilliputian,lilliputian,0,0,0,0,0,0
lilliputian,lilliputians,0,0,0,0,0,0
dwarf,dwarf,7,43,12,0,0,62
dwarf,dwarves,0,1,0,0,0,1
dwarf,dwarfs,1,1,2,0,0,4
dwarf,dwarfer,0,0,0,0,0,0
dwarf,dwarfest,0,0,0,0,0,0
half-blood,half-blood,0,0,0,0,0,0
half-blood,half-bloods,0,0,0,0,0,0
burma,burma,0,2,24,0,0,26
race,race,4,20,24,0,0,48
race,races,2,8,18,0,0,28
handicap,handicap,0,0,3,0,0,3
primitive,primitive,3,4,45,0,0,52
primitive,primitives,0,0,0,0,0,0
retarded,retarded,1,3,0,0,0,4
footmen,footmen,0,0,1,0,0,1
slave,slave,2,17,2,0,0,21
slave,slaves,0,2,17,0,0,19
first world,first world,0,1,10,0,0,11
ethnicity,ethnicity,2,0,32,0,0,34
primitivism,primitivism,1,2,3,0,0,6
indigenous,indigenous,8,18,253,0,0,279
traditional,traditional,7,14,325,1,0,347
traditional,traditionals,0,0,0,0,0,0
full blood,full blood,0,0,0,0,0,0
métis,métis,0,1,4,0,0,5
tribe,tribe,2,14,106,0,1,123
tribe,tribes,1,2,89,0,1,93
