lemma,query_term,prefLabel,altLabel,scopeNote,prefLabel_comment,altLabel_comment,total_per_query_term
politionele actie,politionele actie,0,0,0,0,0,0
birma,birma,0,0,18,0,0,18
exotisch,exotisch,0,0,2,0,0,2
exotisch,exotischere,0,0,0,0,0,0
exotisch,exotischer,0,0,0,0,0,0
exotisch,exotische,0,0,9,0,0,9
handicap,handicap,0,0,5,0,0,5
handicap,handicaps,0,0,2,0,0,2
medicijnman,medicijnman,0,0,0,0,0,0
medicijnman,medicijnmannen,0,0,0,0,0,0
lilliputter,lilliputter,0,0,0,0,0,0
lilliputter,lilliputters,0,0,0,0,0,0
homo,homo,2,0,7,0,0,9
homo,homo's,0,0,0,0,0,0
mongool,mongool,0,0,0,0,0,0
mongool,mongolen,8,4,4,0,0,16
jap,jap,0,0,0,0,0,0
jap,jappen,0,0,0,0,0,0
jap,japs,0,0,0,0,0,0
islamiet,islamiet,0,0,0,0,0,0
islamiet,islamieten,0,0,1,0,0,1
westers,westers,3,0,10,0,0,13
westers,wester,0,0,0,0,0,0
westers,westerse,6,4,114,0,0,124
westers,westersere,0,0,0,0,0,0
westers,westerste,0,0,0,0,0,0
westers,westerst,0,0,0,0,0,0
westers,westerser,0,0,0,0,0,0
etniciteit,etniciteit,1,0,12,0,0,13
etniciteit,etniciteiten,0,0,0,0,0,0
homoseksualiteit,homoseksualiteit,2,1,0,0,0,3
neger,neger,0,0,0,0,0,0
neger,negers,0,0,0,0,0,0
bediende,bediende,0,1,14,0,0,15
bediende,bediendes,0,0,2,0,0,2
bediende,bediend,0,0,64,0,0,64
bediende,bedienden,1,0,15,0,0,16
hermafrodiet,hermafrodiet,1,1,2,0,0,4
hermafrodiet,hermafrodieten,1,0,0,0,0,1
inuk,inuk,0,0,0,0,0,0
inuk,inuit,3,0,5,0,0,8
indiaan,indiaan,0,3,4,0,0,7
indiaan,indianen,3,0,59,0,0,62
afkomst,afkomst,0,0,42,0,0,42
afkomst,afkomsten,0,0,0,0,0,0
blank,blank,2,3,1,0,0,6
blank,blankere,0,0,0,0,0,0
blank,blanker,0,0,0,0,0,0
blank,blanke,1,2,22,0,0,25
blank,blanks,0,0,0,0,0,0
blank,blankste,0,0,0,0,0,0
blank,blankst,0,0,0,0,0,0
bombay,bombay,1,0,3,0,0,4
knecht,knecht,0,1,1,0,0,2
knecht,knechten,0,1,5,0,0,6
knecht,knechts,0,0,0,0,0,0
jappenkamp,jappenkamp,0,0,0,0,0,0
jappenkamp,jappenkampen,0,0,0,0,0,0
homoseksueel,homoseksueel,0,0,1,0,0,1
homoseksueel,homoseksueler,0,0,0,0,0,0
homoseksueel,homoseksueelste,0,0,0,0,0,0
homoseksueel,homoseksuelere,0,0,0,0,0,0
homoseksueel,homoseksueelst,0,0,0,0,0,0
homoseksueel,homoseksueels,0,0,0,0,0,0
homoseksueel,homoseksuelen,0,0,1,0,0,1
homoseksueel,homoseksuele,0,0,1,0,0,1
stam,stam,23,1,134,0,0,158
stam,stammen,1,1,83,0,0,85
oriëntaals,oriëntaals,0,0,3,0,0,3
oriëntaals,oriëntaalste,0,0,0,0,0,0
oriëntaals,oriëntaalsere,0,0,0,0,0,0
oriëntaals,oriëntaal,0,0,1,0,0,1
oriëntaals,oriëntale,0,0,0,0,0,0
oriëntaals,oriëntalere,0,0,0,0,0,0
oriëntaals,oriëntaalse,0,0,2,0,0,2
oriëntaals,oriëntaalst,0,0,0,0,0,0
oriëntaals,oriëntaler,0,0,0,0,0,0
oriëntaals,oriëntaalser,0,0,0,0,0,0
batavia,batavia,1,0,0,0,0,1
halfbloed,halfbloed,0,0,0,0,0,0
halfbloed,halfbloeden,0,0,0,0,0,0
boslandcreool,boslandcreool,0,0,0,0,0,0
boslandcreool,boslandcreolen,0,0,0,0,0,0
queer,queer,0,0,0,0,0,0
zigeuner,zigeuner,0,0,1,0,0,1
zigeuner,zigeuners,0,1,4,0,0,5
bosneger,bosneger,0,0,0,0,0,0
bosneger,bosnegers,0,0,0,0,0,0
ontwikkelingsland,ontwikkelingsland,0,1,0,0,0,1
ontwikkelingsland,ontwikkelingslanden,1,0,2,0,0,3
zwart,zwart,37,8,225,0,0,270
zwart,zwarten,0,0,1,0,0,1
zwart,zwartst,0,0,0,0,0,0
zwart,zwarter,0,0,0,0,0,0
zwart,zwarts,0,0,0,0,0,0
zwart,zwarte,15,12,197,0,0,224
zwart,zwartere,0,0,0,0,0,0
zwart,zwartste,0,0,0,0,0,0
traditioneel,traditioneel,2,0,93,0,0,95
traditioneel,traditioneels,0,0,0,0,0,0
traditioneel,traditionele,1,0,215,0,0,216
traditioneel,traditioneelste,0,0,0,0,0,0
traditioneel,traditioneelst,0,0,0,0,0,0
traditioneel,traditionelere,0,0,2,0,0,2
traditioneel,traditioneler,0,0,0,0,0,0
mesties,mesties,0,0,0,0,0,0
mesties,mestiezen,0,0,0,0,0,0
primitief,primitief,0,0,3,0,0,3
primitief,primitiefst,0,0,0,0,0,0
primitief,primitievere,0,0,0,0,0,0
primitief,primitiefste,0,0,0,0,0,0
primitief,primitiefs,0,0,0,0,0,0
primitief,primitieve,3,0,28,0,0,31
primitief,primitiever,0,0,1,0,0,1
ontdekken,ontdekken,0,0,9,0,0,9
koppensneller,koppensneller,0,0,0,0,0,0
koppensneller,koppensnellers,0,0,0,0,0,0
lagelonenland,lagelonenland,0,0,0,0,0,0
lagelonenland,lagelonenlanden,0,0,0,0,0,0
inlander,inlander,0,0,0,0,0,0
inlander,inlanders,0,0,0,0,0,0
dwerg,dwerg,1,2,1,0,0,4
dwerg,dwergen,1,0,0,0,0,1
gay,gay,1,1,1,0,0,3
gay,gayer,0,0,0,0,0,0
gay,gayst,0,0,0,0,0,0
gay,gaye,0,0,0,0,0,0
gay,gayste,0,0,0,0,0,0
gay,gays,0,0,0,0,0,0
baboe,baboe,0,0,0,0,0,0
baboe,baboes,0,0,0,0,0,0
indisch,indisch,5,0,0,0,0,5
indisch,indischer,0,0,0,0,0,0
indisch,indische,4,3,26,0,0,33
indisch,indischere,0,0,0,0,0,0
berber,berber,3,1,1,0,0,5
berber,berbers,2,0,6,0,0,8
pygmee,pygmee,1,0,2,0,0,3
pygmee,pygmeeën,1,0,1,0,0,2
gekleurd,gekleurd,3,1,84,0,0,88
gekleurd,gekleurdste,0,0,0,0,0,0
gekleurd,gekleurdst,0,0,0,0,0,0
gekleurd,gekleurds,0,0,0,0,0,0
gekleurd,gekleurde,1,0,98,0,0,99
gekleurd,gekleurdere,0,0,0,0,0,0
gekleurd,gekleurder,0,0,0,0,0,0
roots,roots,0,0,0,0,0,0
kaukasisch,kaukasisch,2,0,0,0,0,2
kaukasisch,kaukasische,4,3,1,0,0,8
kaukasisch,kaukasischere,0,0,0,0,0,0
kaukasisch,kaukasischer,0,0,0,0,0,0
achterlijk,achterlijk,0,0,0,0,0,0
achterlijk,achterlijkst,0,0,0,0,0,0
achterlijk,achterlijkere,0,0,0,0,0,0
achterlijk,achterlijker,0,0,0,0,0,0
achterlijk,achterlijke,0,0,0,0,0,0
achterlijk,achterlijks,0,0,0,0,0,0
achterlijk,achterlijkste,0,0,0,0,0,0
mulat,mulat,0,0,0,0,0,0
mulat,mulatten,0,0,1,0,0,1
ras,ras,4,0,14,0,0,18
ras,rasser,0,0,0,0,0,0
ras,raste,0,0,0,0,0,0
ras,rasse,0,0,0,0,0,0
ras,rassere,0,0,0,0,0,0
ras,rast,0,0,0,0,0,0
ras,rassen,0,0,9,0,0,9
etnische groep,etnische groep,0,1,426,0,0,427
eerste wereld,eerste wereld,0,0,0,0,0,0
aboriginal,aboriginal,2,1,5,0,0,8
aboriginal,aboriginals,0,0,13,0,0,13
travestiet,travestiet,0,0,0,0,0,0
travestiet,travestieten,0,0,2,0,0,2
barbaar,barbaar,0,0,0,0,0,0
barbaar,barbaren,0,0,0,0,0,0
derde wereld,derde wereld,0,0,2,0,0,2
slaaf,slaaf,0,1,2,0,0,3
slaaf,slaven,1,0,13,0,0,14
primitivisme,primitivisme,1,0,3,0,0,4
primitivisme,primitivismen,0,0,0,0,0,0
eskimo,eskimo,8,0,4,0,0,12
eskimo,eskimo's,0,0,2,0,0,2
page,page,1,1,1,0,0,3
