term,lang,hits
batavias,en,0
batavia,en,1
southern rhodesia,en,0
madras,en,5
low-income country,en,0
low-income countries,en,0
headhunters,en,0
headhunter,en,0
immigrants,en,11
immigrant,en,2
barbarians,en,0
barbarian,en,3
moors,en,7
moor,en,7
indians,en,82
indian,en,467
homos,en,0
homo,en,14
exotics,en,0
exotic,en,17
allochtoons,en,0
allochtoon,en,0
medicine men,en,1
medicine man,en,0
third world,en,3
servants,en,22
servant,en,10
hottentots,en,2
hottentot,en,1
gypsies,en,3
gypsys,en,0
gypsy,en,5
coolies,en,0
coolie,en,0
whitest,en,0
whiter,en,3
whites,en,5
white,en,921
caucasians,en,0
caucasian,en,19
kaffirs,en,0
kaffir,en,1
descent,en,40
mohammedans,en,0
mohammedan,en,1
mongoloids,en,0
mongoloid,en,4
discover,en,7
homosexuals,en,2
homosexual,en,5
baboos,en,0
baboo,en,0
pygmys,en,0
pygmy,en,16
pages,en,104
page,en,77
bush negroes,en,0
bush negros,en,0
bush negro,en,0
second world,en,12
natives,en,3
native,en,1130
bombays,en,0
bombay,en,7
negros,en,0
negroes,en,0
negro,en,3
berbers,en,3
berber,en,43
mulattos,en,1
mulattoes,en,0
mulatto,en,0
disableds,en,0
disabled,en,17
roots,en,65
mestizoes,en,0
mestizos,en,0
mestizo,en,2
developing nation,en,0
developing nations,en,1
westerns,en,2
western,en,581
aboriginals,en,1
aboriginal,en,39
transvestites,en,0
transvestite,en,1
eskimos,en,4
eskimoes,en,0
eskimo,en,19
hermaphrodites,en,2
hermaphrodite,en,2
gayest,en,0
gays,en,0
gayer,en,0
gay,en,5
indos,en,0
indo,en,52
orientals,en,2
oriental,en,40
coloreds,en,0
colored,en,315
inuits,en,0
inuit,en,20
blacks,en,5
blacker,en,0
blackest,en,0
black,en,672
queers,en,0
queerest,en,0
queerer,en,0
queer,en,1
calcuttas,en,0
calcutta,en,2
ethnic group,en,398
ethnic groups,en,16
maroons,en,0
maroon,en,6
transs,en,0
trans,en,5
half-breeds,en,0
half-breed,en,0
lilliputians,en,0
lilliputian,en,0
dwarfer,en,0
dwarves,en,1
dwarfs,en,3
dwarfest,en,0
dwarf,en,29
half-bloods,en,0
half-blood,en,0
burma,en,24
races,en,24
race,en,36
handicaps,en,1
handicap,en,3
primitives,en,0
primitive,en,49
retarded,en,2
footman,en,0
footmen,en,1
slaves,en,18
slave,en,8
first world,en,10
ethnicities,en,0
ethnicity,en,33
primitivism,en,4
indigenous,en,259
traditionals,en,0
traditional,en,333
full blood,en,0
metis,en,2
métis,en,5
tribes,en,92
tribe,en,113
politionele acties,nl,0
politionele actie,nl,0
birma,nl,18
exotische,nl,9
exotischere,nl,0
exotischer,nl,0
exotisch,nl,2
handicaps,nl,2
handicap,nl,5
medicijnmannen,nl,0
medicijnman,nl,0
lilliputters,nl,0
lilliputter,nl,0
homo's,nl,0
homo,nl,8
mongools,nl,9
mongolen,nl,12
mongool,nl,0
japs,nl,0
jappen,nl,0
jap,nl,0
islamieten,nl,1
islamiet,nl,0
westersere,nl,0
westerse,nl,120
westerser,nl,0
wester,nl,0
westerste,nl,0
westerst,nl,0
westers,nl,13
etniciteiten,nl,0
etniciteit,nl,13
homoseksualiteit,nl,3
negers,nl,0
neger,nl,0
bedienden,nl,16
bediendes,nl,2
bediend,nl,64
bediende,nl,15
hermafrodieten,nl,1
hermafrodiet,nl,3
inuit,nl,8
inuk,nl,0
indiaans,nl,6
indianen,nl,61
indiaan,nl,7
afkomsten,nl,0
afkomst,nl,42
blankst,nl,0
blanke,nl,24
blankste,nl,0
blankere,nl,0
blanker,nl,0
blanks,nl,0
blanken,nl,1
blank,nl,5
bombay,nl,4
knechten,nl,6
knechts,nl,0
knecht,nl,2
jappenkampen,nl,0
jappenkamp,nl,0
homoseksueels,nl,0
homoseksuelen,nl,1
homoseksueelst,nl,0
homoseksueelste,nl,0
homoseksueler,nl,0
homoseksuelere,nl,0
homoseksuele,nl,1
homoseksueel,nl,1
stammen,nl,84
stam,nl,139
oriëntaal,nl,1
oriëntaalsere,nl,0
oriëntaler,nl,0
oriëntaalste,nl,0
oriëntaalser,nl,0
oriëntale,nl,0
oriëntalere,nl,0
oriëntaalse,nl,2
oriëntaalst,nl,0
oriëntaals,nl,3
batavia,nl,1
halfbloeden,nl,0
halfbloed,nl,0
boslandcreolen,nl,0
boslandcreool,nl,0
queer,nl,0
zigeuners,nl,5
zigeuner,nl,1
bosnegers,nl,0
bosneger,nl,0
ontwikkelingslanden,nl,3
ontwikkelingsland,nl,1
zwartste,nl,0
zwarten,nl,1
zwartst,nl,0
zwartere,nl,0
zwarte,nl,211
zwarter,nl,0
zwarts,nl,0
zwart,nl,256
traditioneelste,nl,0
traditioneels,nl,0
traditioneelst,nl,0
traditionelere,nl,2
traditionele,nl,216
traditioneler,nl,0
traditioneel,nl,95
mestiezen,nl,0
mesties,nl,0
primitieve,nl,31
primitiefste,nl,0
primitievere,nl,0
primitiefst,nl,0
primitiefs,nl,0
primitiever,nl,1
primitief,nl,3
ontdekken,nl,9
koppensnellers,nl,0
koppensneller,nl,0
lagelonenlanden,nl,0
lagelonenland,nl,0
inlanders,nl,0
inlander,nl,0
dwergen,nl,1
dwerg,nl,3
gaye,nl,0
gayer,nl,0
gayst,nl,0
gays,nl,0
gayste,nl,0
gay,nl,1
baboes,nl,0
baboe,nl,0
indische,nl,32
indischere,nl,0
indischer,nl,0
indisch,nl,5
berbers,nl,8
berber,nl,5
pygmeeën,nl,2
pygmee,nl,2
gekleurdste,nl,0
gekleurde,nl,99
gekleurdst,nl,0
gekleurder,nl,0
gekleurds,nl,0
gekleurdere,nl,0
gekleurd,nl,88
roots,nl,0
kaukasischer,nl,0
kaukasischere,nl,0
kaukasische,nl,6
kaukasisch,nl,2
achterlijkst,nl,0
achterlijkste,nl,0
achterlijker,nl,0
achterlijkheid,nl,1
achterlijkere,nl,0
achterlijken,nl,1
achterlijke,nl,0
achterlijks,nl,0
achterlijk,nl,0
mulatten,nl,1
mulat,nl,0
rast,nl,0
rassere,nl,0
rassen,nl,9
rasse,nl,0
rasser,nl,0
raste,nl,0
ras,nl,18
etnische groepen,nl,7
etnische groep,nl,427
eerste wereld,nl,0
aboriginals,nl,13
aboriginal,nl,7
travestieten,nl,2
travestiet,nl,0
barbaren,nl,0
barbaar,nl,0
derde wereld,nl,2
slaven,nl,14
slaaf,nl,3
primitivismen,nl,0
primitivisme,nl,4
eskimo's,nl,2
eskimo,nl,12
pages,nl,1
page,nl,2
zuid-rhodesië,nl,0
inboorlingen,nl,0
inboorling,nl,0
hottentotten,nl,2
hottentot,nl,0
calcutta,nl,2
indo's,nl,0
indo,nl,33
mohammedanen,nl,1
mohammedaan,nl,0
madras,nl,3
moors,nl,5
moren,nl,3
moor,nl,3
gehandicapten,nl,11
gehandicapte,nl,3
koelies,nl,0
koelie,nl,0
volbloeden,nl,0
volbloed,nl,0
metis,nl,1
métis,nl,0
marrons,nl,0
marron,nl,0
kaffers,nl,0
kaffer,nl,0
allochtoons,nl,0
allochtoner,nl,0
allochtone,nl,0
allochtonere,nl,0
allochtoonst,nl,0
allochtoonste,nl,0
allochtonen,nl,0
allochtoon,nl,0
tweede wereld,nl,0
wits,nl,0
witten,nl,2
witte,nl,294
witter,nl,1
wittere,nl,0
witst,nl,0
witste,nl,0
wit,nl,411
inheemsere,nl,0
inheemste,nl,0
inheemse,nl,229
inheemst,nl,0
inheemser,nl,0
inheems,nl,511
transen,nl,1
trans,nl,2
