lemma,lang,n_entities
aboriginal,en,40
allochtoon,en,0
baboo,en,0
barbarian,en,3
batavia,en,1
berber,en,46
black,en,677
bombay,en,7
burma,en,24
bush negro,en,0
calcutta,en,2
caucasian,en,19
colored,en,315
coolie,en,0
descent,en,40
developing nations,en,1
disabled,en,17
discover,en,7
dwarf,en,33
eskimo,en,23
ethnic groups,en,414
ethnicity,en,33
exotic,en,17
first world,en,10
footmen,en,1
full blood,en,0
gay,en,5
gypsy,en,8
half-blood,en,0
half-breed,en,0
handicap,en,4
headhunter,en,0
hermaphrodite,en,4
homo,en,14
homosexual,en,7
hottentot,en,3
immigrant,en,13
indian,en,549
indigenous,en,259
indo,en,52
inuit,en,20
kaffir,en,1
lilliputian,en,0
low-income countries,en,0
madras,en,5
maroon,en,6
medicine man,en,1
mestizo,en,2
mohammedan,en,1
mongoloid,en,4
moor,en,14
mulatto,en,1
métis,en,7
native,en,1133
negro,en,3
oriental,en,42
page,en,181
primitive,en,49
primitivism,en,4
pygmy,en,16
queer,en,1
race,en,60
retarded,en,2
roots,en,65
second world,en,12
servant,en,32
slave,en,26
southern rhodesia,en,0
third world,en,3
traditional,en,333
trans,en,5
transvestite,en,1
tribe,en,205
western,en,583
white,en,929
aboriginal,nl,20
achterlijk,nl,2
afkomst,nl,42
allochtoon,nl,0
baboe,nl,0
barbaar,nl,0
batavia,nl,1
bediende,nl,97
berber,nl,13
birma,nl,18
blank,nl,30
bombay,nl,4
boslandcreool,nl,0
bosneger,nl,0
calcutta,nl,2
derde wereld,nl,2
dwerg,nl,4
eerste wereld,nl,0
eskimo,nl,14
etniciteit,nl,13
etnische groep,nl,434
exotisch,nl,11
gay,nl,1
gehandicapte,nl,14
gekleurd,nl,187
halfbloed,nl,0
handicap,nl,7
hermafrodiet,nl,4
homo,nl,8
homoseksualiteit,nl,3
homoseksueel,nl,3
hottentot,nl,2
inboorling,nl,0
indiaan,nl,74
indisch,nl,37
indo,nl,33
inheems,nl,740
inlander,nl,0
inuk,nl,8
islamiet,nl,1
jap,nl,0
jappenkamp,nl,0
kaffer,nl,0
kaukasisch,nl,8
knecht,nl,8
koelie,nl,0
koppensneller,nl,0
lagelonenland,nl,0
lilliputter,nl,0
madras,nl,3
marron,nl,0
medicijnman,nl,0
mesties,nl,0
mohammedaan,nl,1
mongool,nl,21
moor,nl,11
mulat,nl,1
métis,nl,1
neger,nl,0
ontdekken,nl,9
ontwikkelingsland,nl,4
oriëntaals,nl,6
page,nl,3
politionele actie,nl,0
primitief,nl,35
primitivisme,nl,4
pygmee,nl,4
queer,nl,0
ras,nl,27
roots,nl,0
slaaf,nl,17
stam,nl,223
traditioneel,nl,313
trans,nl,3
travestiet,nl,2
tweede wereld,nl,0
volbloed,nl,0
westers,nl,133
wit,nl,708
zigeuner,nl,6
zuid-rhodesië,nl,0
zwart,nl,468
