lemma,term,lang,n_entities
batavia,batavias,en,0
batavia,batavia,en,1
southern rhodesia,southern rhodesia,en,0
madras,madras,en,5
low-income countries,low-income country,en,0
low-income countries,low-income countries,en,0
headhunter,headhunters,en,0
headhunter,headhunter,en,0
immigrant,immigrants,en,11
immigrant,immigrant,en,2
barbarian,barbarians,en,0
barbarian,barbarian,en,3
moor,moors,en,7
moor,moor,en,7
indian,indians,en,82
indian,indian,en,467
homo,homos,en,0
homo,homo,en,14
exotic,exotics,en,0
exotic,exotic,en,17
allochtoon,allochtoons,en,0
allochtoon,allochtoon,en,0
medicine man,medicine men,en,1
medicine man,medicine man,en,0
third world,third world,en,3
servant,servants,en,22
servant,servant,en,10
hottentot,hottentots,en,2
hottentot,hottentot,en,1
gypsy,gypsies,en,3
gypsy,gypsys,en,0
gypsy,gypsy,en,5
coolie,coolies,en,0
coolie,coolie,en,0
white,whitest,en,0
white,whiter,en,3
white,whites,en,5
white,white,en,921
caucasian,caucasians,en,0
caucasian,caucasian,en,19
kaffir,kaffirs,en,0
kaffir,kaffir,en,1
descent,descent,en,40
mohammedan,mohammedans,en,0
mohammedan,mohammedan,en,1
mongoloid,mongoloids,en,0
mongoloid,mongoloid,en,4
discover,discover,en,7
homosexual,homosexuals,en,2
homosexual,homosexual,en,5
baboo,baboos,en,0
baboo,baboo,en,0
pygmy,pygmys,en,0
pygmy,pygmy,en,16
page,pages,en,104
page,page,en,77
bush negro,bush negroes,en,0
bush negro,bush negros,en,0
bush negro,bush negro,en,0
second world,second world,en,12
native,natives,en,3
native,native,en,1130
bombay,bombays,en,0
bombay,bombay,en,7
negro,negros,en,0
negro,negroes,en,0
negro,negro,en,3
berber,berbers,en,3
berber,berber,en,43
mulatto,mulattos,en,1
mulatto,mulattoes,en,0
mulatto,mulatto,en,0
disabled,disableds,en,0
disabled,disabled,en,17
roots,roots,en,65
mestizo,mestizoes,en,0
mestizo,mestizos,en,0
mestizo,mestizo,en,2
developing nations,developing nation,en,0
developing nations,developing nations,en,1
western,westerns,en,2
western,western,en,581
aboriginal,aboriginals,en,1
aboriginal,aboriginal,en,39
transvestite,transvestites,en,0
transvestite,transvestite,en,1
eskimo,eskimos,en,4
eskimo,eskimoes,en,0
eskimo,eskimo,en,19
hermaphrodite,hermaphrodites,en,2
hermaphrodite,hermaphrodite,en,2
gay,gayest,en,0
gay,gays,en,0
gay,gayer,en,0
gay,gay,en,5
indo,indos,en,0
indo,indo,en,52
oriental,orientals,en,2
oriental,oriental,en,40
colored,coloreds,en,0
colored,colored,en,315
inuit,inuits,en,0
inuit,inuit,en,20
black,blacks,en,5
black,blacker,en,0
black,blackest,en,0
black,black,en,672
queer,queers,en,0
queer,queerest,en,0
queer,queerer,en,0
queer,queer,en,1
calcutta,calcuttas,en,0
calcutta,calcutta,en,2
ethnic groups,ethnic group,en,398
ethnic groups,ethnic groups,en,16
maroon,maroons,en,0
maroon,maroon,en,6
trans,transs,en,0
trans,trans,en,5
half-breed,half-breeds,en,0
half-breed,half-breed,en,0
lilliputian,lilliputians,en,0
lilliputian,lilliputian,en,0
dwarf,dwarfer,en,0
dwarf,dwarves,en,1
dwarf,dwarfs,en,3
dwarf,dwarfest,en,0
dwarf,dwarf,en,29
half-blood,half-bloods,en,0
half-blood,half-blood,en,0
burma,burma,en,24
race,races,en,24
race,race,en,36
handicap,handicaps,en,1
handicap,handicap,en,3
primitive,primitives,en,0
primitive,primitive,en,49
retarded,retarded,en,2
footmen,footman,en,0
footmen,footmen,en,1
slave,slaves,en,18
slave,slave,en,8
first world,first world,en,10
ethnicity,ethnicities,en,0
ethnicity,ethnicity,en,33
primitivism,primitivism,en,4
indigenous,indigenous,en,259
traditional,traditionals,en,0
traditional,traditional,en,333
full blood,full blood,en,0
métis,metis,en,2
métis,métis,en,5
tribe,tribes,en,92
tribe,tribe,en,113
politionele actie,politionele acties,nl,0
politionele actie,politionele actie,nl,0
birma,birma,nl,18
exotisch,exotische,nl,9
exotisch,exotischere,nl,0
exotisch,exotischer,nl,0
exotisch,exotisch,nl,2
handicap,handicaps,nl,2
handicap,handicap,nl,5
medicijnman,medicijnmannen,nl,0
medicijnman,medicijnman,nl,0
lilliputter,lilliputters,nl,0
lilliputter,lilliputter,nl,0
homo,homo's,nl,0
homo,homo,nl,8
mongool,mongools,nl,9
mongool,mongolen,nl,12
mongool,mongool,nl,0
jap,japs,nl,0
jap,jappen,nl,0
jap,jap,nl,0
islamiet,islamieten,nl,1
islamiet,islamiet,nl,0
westers,westersere,nl,0
westers,westerse,nl,120
westers,westerser,nl,0
westers,wester,nl,0
westers,westerste,nl,0
westers,westerst,nl,0
westers,westers,nl,13
etniciteit,etniciteiten,nl,0
etniciteit,etniciteit,nl,13
homoseksualiteit,homoseksualiteit,nl,3
neger,negers,nl,0
neger,neger,nl,0
bediende,bedienden,nl,16
bediende,bediendes,nl,2
bediende,bediend,nl,64
bediende,bediende,nl,15
hermafrodiet,hermafrodieten,nl,1
hermafrodiet,hermafrodiet,nl,3
inuk,inuit,nl,8
inuk,inuk,nl,0
indiaan,indiaans,nl,6
indiaan,indianen,nl,61
indiaan,indiaan,nl,7
afkomst,afkomsten,nl,0
afkomst,afkomst,nl,42
blank,blankst,nl,0
blank,blanke,nl,24
blank,blankste,nl,0
blank,blankere,nl,0
blank,blanker,nl,0
blank,blanks,nl,0
blank,blanken,nl,1
blank,blank,nl,5
bombay,bombay,nl,4
knecht,knechten,nl,6
knecht,knechts,nl,0
knecht,knecht,nl,2
jappenkamp,jappenkampen,nl,0
jappenkamp,jappenkamp,nl,0
homoseksueel,homoseksueels,nl,0
homoseksueel,homoseksuelen,nl,1
homoseksueel,homoseksueelst,nl,0
homoseksueel,homoseksueelste,nl,0
homoseksueel,homoseksueler,nl,0
homoseksueel,homoseksuelere,nl,0
homoseksueel,homoseksuele,nl,1
