lemma,lang,aat_prefLabel,aat_altLabel,aat_scopeNote,aat_prefLabel_comment,aat_altLabel_comment,total_lemma
aboriginal,en,4,11,37,0,0,52
allochtoon,en,0,0,0,0,0,0
baboo,en,0,0,0,0,0,0
barbarian,en,0,4,1,0,0,5
batavia,en,1,2,1,0,0,4
berber,en,8,7,38,0,0,53
black,en,106,284,601,1,0,992
bombay,en,1,3,4,0,0,8
burma,en,0,2,24,0,0,26
bush negro,en,0,0,0,0,0,0
calcutta,en,0,0,2,0,0,2
caucasian,en,8,10,15,0,0,33
colored,en,1,2,313,0,0,316
coolie,en,0,0,0,0,0,0
descent,en,0,0,40,0,0,40
developing nations,en,0,1,0,0,0,1
disabled,en,1,7,13,0,0,21
discover,en,0,0,7,0,0,7
dwarf,en,8,45,14,0,0,67
eskimo,en,7,30,10,0,0,47
ethnic groups,en,1,3,410,0,0,414
ethnicity,en,2,0,32,0,0,34
exotic,en,0,2,16,0,0,18
first world,en,0,1,10,0,0,11
footmen,en,0,0,1,0,0,1
full blood,en,0,0,0,0,0,0
gay,en,1,7,3,0,0,11
gypsy,en,1,8,4,0,0,13
half-blood,en,0,0,0,0,0,0
half-breed,en,0,0,0,0,0,0
handicap,en,0,0,4,0,0,4
headhunter,en,0,0,0,0,0,0
hermaphrodite,en,1,2,2,0,0,5
homo,en,6,2,13,0,0,21
homosexual,en,2,7,1,0,0,10
hottentot,en,0,1,2,0,0,3
immigrant,en,2,5,10,0,0,17
indian,en,49,205,424,0,1,679
indigenous,en,8,18,253,0,0,279
indo,en,9,29,42,0,0,80
inuit,en,8,15,11,0,0,34
kaffir,en,0,1,0,0,0,1
lilliputian,en,0,0,0,0,0,0
low-income countries,en,0,0,0,0,0,0
madras,en,1,0,5,0,0,6
maroon,en,2,1,5,0,0,8
medicine man,en,0,1,0,0,0,1
mestizo,en,0,1,1,0,0,2
mohammedan,en,0,1,0,0,0,1
mongoloid,en,0,0,4,0,0,4
moor,en,1,4,9,0,0,14
mulatto,en,0,0,1,0,0,1
métis,en,1,1,6,0,0,8
native,en,75,78,1073,3,1,1230
negro,en,1,5,0,0,0,6
oriental,en,5,23,28,0,1,57
page,en,15,37,163,0,0,215
primitive,en,3,4,45,0,0,52
primitivism,en,1,2,3,0,0,6
pygmy,en,3,17,8,0,0,28
queer,en,0,1,0,0,0,1
race,en,6,28,42,0,0,76
retarded,en,1,3,0,0,0,4
roots,en,4,2,62,0,0,68
second world,en,0,0,12,0,0,12
servant,en,6,14,26,0,0,46
slave,en,2,19,19,0,0,40
southern rhodesia,en,0,0,0,0,0,0
third world,en,0,1,2,0,0,3
traditional,en,7,14,325,1,0,347
trans,en,2,3,2,0,0,7
transvestite,en,0,1,1,0,0,2
tribe,en,3,16,195,0,2,216
western,en,49,125,515,0,0,689
white,en,103,312,832,1,1,1249
aboriginal,nl,2,1,18,0,0,21
achterlijk,nl,0,2,0,0,0,2
afkomst,nl,0,0,42,0,0,42
allochtoon,nl,0,0,0,0,0,0
baboe,nl,0,0,0,0,0,0
barbaar,nl,0,0,0,0,0,0
batavia,nl,1,0,0,0,0,1
bediende,nl,1,1,95,0,0,97
berber,nl,5,1,7,0,0,13
birma,nl,0,0,18,0,0,18
blank,nl,3,5,24,0,0,32
bombay,nl,1,0,3,0,0,4
boslandcreool,nl,0,0,0,0,0,0
bosneger,nl,0,0,0,0,0,0
calcutta,nl,0,0,2,0,0,2
derde wereld,nl,0,0,2,0,0,2
dwerg,nl,2,2,1,0,0,5
eerste wereld,nl,0,0,0,0,0,0
eskimo,nl,8,0,6,0,0,14
etniciteit,nl,1,0,12,0,0,13
etnische groep,nl,1,1,432,0,0,434
exotisch,nl,0,0,11,0,0,11
gay,nl,1,1,1,0,0,3
gehandicapte,nl,3,2,9,0,0,14
gekleurd,nl,4,1,182,0,0,187
halfbloed,nl,0,0,0,0,0,0
handicap,nl,0,0,7,0,0,7
hermafrodiet,nl,2,1,2,0,0,5
homo,nl,2,0,7,0,0,9
homoseksualiteit,nl,2,1,0,0,0,3
homoseksueel,nl,0,0,3,0,0,3
hottentot,nl,0,0,2,0,0,2
inboorling,nl,0,0,0,0,0,0
indiaan,nl,6,5,65,0,0,76
indisch,nl,9,3,26,0,0,38
indo,nl,10,2,24,0,0,36
inheems,nl,48,10,692,0,0,750
inlander,nl,0,0,0,0,0,0
inuk,nl,3,0,5,0,0,8
islamiet,nl,0,0,1,0,0,1
jap,nl,0,0,0,0,0,0
jappenkamp,nl,0,0,0,0,0,0
kaffer,nl,0,0,0,0,0,0
kaukasisch,nl,6,3,1,0,0,10
knecht,nl,0,2,6,0,0,8
koelie,nl,0,0,0,0,0,0
koppensneller,nl,0,0,0,0,0,0
lagelonenland,nl,0,0,0,0,0,0
lilliputter,nl,0,0,0,0,0,0
madras,nl,0,0,3,0,0,3
marron,nl,0,0,0,0,0,0
medicijnman,nl,0,0,0,0,0,0
mesties,nl,0,0,0,0,0,0
mohammedaan,nl,0,0,1,0,0,1
mongool,nl,15,4,8,0,0,27
moor,nl,2,1,9,0,0,12
mulat,nl,0,0,1,0,0,1
métis,nl,1,0,1,0,0,2
neger,nl,0,0,0,0,0,0
ontdekken,nl,0,0,9,0,0,9
ontwikkelingsland,nl,1,1,2,0,0,4
oriëntaals,nl,0,0,6,0,0,6
page,nl,1,1,2,0,0,4
