lemma,le,sense_definition,sense_examples,synset_definition,total_per_lemma
politionele actie,0,0,0,0,0
birma,2,0,1,0,3
exotisch,0,1,5,1,7
handicap,5,2,9,2,18
medicijnman,1,0,0,0,1
lilliputter,1,0,0,0,1
homo,2,3,15,3,23
mongool,3,1,0,0,4
jap,1,0,0,0,1
islamiet,1,1,1,0,3
westers,0,2,14,1,17
etniciteit,1,0,0,0,1
homoseksualiteit,2,0,0,0,2
neger,2,5,1,4,12
bediende,2,9,14,8,33
hermafrodiet,2,0,0,0,2
inuk,1,0,0,0,1
indiaan,1,5,8,5,19
afkomst,4,6,9,6,25
blank,1,7,13,5,26
bombay,1,0,0,0,1
knecht,4,4,2,2,12
jappenkamp,1,1,1,0,3
homoseksueel,2,6,2,5,15
stam,7,6,19,6,38
oriëntaals,0,0,0,0,0
batavia,0,0,1,0,1
halfbloed,4,0,0,0,4
boslandcreool,0,0,0,0,0
queer,0,0,0,0,0
zigeuner,2,3,4,3,12
bosneger,1,0,0,0,1
ontwikkelingsland,2,4,3,3,12
zwart,7,49,93,41,190
traditioneel,0,9,13,6,28
mesties,1,0,0,0,1
primitief,1,4,1,5,11
ontdekken,4,3,18,2,27
koppensneller,2,0,0,0,2
lagelonenland,0,0,0,0,0
inlander,1,0,1,0,2
dwerg,3,0,2,0,5
gay,1,0,0,0,1
baboe,2,0,0,0,2
indisch,0,5,8,4,17
berber,3,0,0,0,3
pygmee,2,0,1,0,3
gekleurd,0,7,8,7,22
roots,0,0,0,0,0
kaukasisch,1,0,0,0,1
achterlijk,2,0,1,0,3
mulat,2,0,0,0,2
ras,6,16,5,16,43
etnische groep,0,0,0,0,0
eerste wereld,0,0,0,0,0
aboriginal,1,0,0,0,1
travestiet,1,0,0,0,1
barbaar,4,0,3,0,7
derde wereld,0,1,4,1,6
slaaf,7,6,7,7,27
primitivisme,0,0,0,0,0
eskimo,2,0,4,2,8
page,2,0,0,0,2
zuid-rhodesië,0,0,0,0,0
inboorling,2,0,1,0,3
hottentot,1,0,0,0,1
calcutta,1,0,1,0,2
indo,0,1,0,1,2
mohammedaan,1,3,0,2,6
madras,1,0,0,0,1
moor,5,0,1,0,6
gehandicapte,1,5,13,4,23
koelie,3,0,0,0,3
volbloed,1,0,1,0,2
métis,0,0,0,0,0
marron,0,0,0,0,0
kaffer,2,0,1,0,3
allochtoon,2,0,5,0,7
tweede wereld,0,0,0,0,0
wit,7,42,109,36,194
inheems,0,2,2,2,6
trans,3,0,2,0,5
