lemma,query_term,le,sense_definition,sense_examples,synset_definition,total_per_query_term
politionele actie,politionele actie,0,0,0,0,0
birma,birma,2,0,1,0,3
exotisch,exotisch,0,0,2,0,2
exotisch,exotischere,0,0,0,0,0
exotisch,exotischer,0,0,0,0,0
exotisch,exotische,0,1,3,1,5
handicap,handicap,5,2,8,2,17
handicap,handicaps,0,0,1,0,1
medicijnman,medicijnman,1,0,0,0,1
medicijnman,medicijnmannen,0,0,0,0,0
lilliputter,lilliputter,1,0,0,0,1
lilliputter,lilliputters,0,0,0,0,0
homo,homo,2,2,8,2,14
homo,homo's,0,1,7,1,9
mongool,mongool,3,1,0,0,4
mongool,mongolen,0,0,0,0,0
jap,jap,1,0,0,0,1
jap,jappen,0,0,0,0,0
jap,japs,0,0,0,0,0
islamiet,islamiet,1,1,0,0,2
islamiet,islamieten,0,0,1,0,1
westers,westers,0,2,2,1,5
westers,wester,0,0,0,0,0
westers,westerse,0,0,12,0,12
westers,westersere,0,0,0,0,0
westers,westerste,0,0,0,0,0
westers,westerst,0,0,0,0,0
westers,westerser,0,0,0,0,0
etniciteit,etniciteit,1,0,0,0,1
etniciteit,etniciteiten,0,0,0,0,0
homoseksualiteit,homoseksualiteit,2,0,0,0,2
neger,neger,2,2,0,2,6
neger,negers,0,3,1,2,6
bediende,bediende,2,7,10,6,25
bediende,bediendes,0,0,0,0,0
bediende,bediend,0,2,4,2,8
bediende,bedienden,0,0,0,0,0
hermafrodiet,hermafrodiet,2,0,0,0,2
hermafrodiet,hermafrodieten,0,0,0,0,0
inuk,inuk,0,0,0,0,0
inuk,inuit,1,0,0,0,1
indiaan,indiaan,1,3,1,3,8
indiaan,indianen,0,2,7,2,11
afkomst,afkomst,4,6,9,6,25
afkomst,afkomsten,0,0,0,0,0
blank,blank,0,1,4,0,5
blank,blankere,0,0,0,0,0
blank,blanker,0,0,0,0,0
blank,blanke,1,6,9,5,21
blank,blanks,0,0,0,0,0
blank,blankste,0,0,0,0,0
blank,blankst,0,0,0,0,0
bombay,bombay,1,0,0,0,1
knecht,knecht,3,4,0,2,9
knecht,knechten,1,0,2,0,3
knecht,knechts,0,0,0,0,0
jappenkamp,jappenkamp,1,0,1,0,2
jappenkamp,jappenkampen,0,1,0,0,1
homoseksueel,homoseksueel,1,3,1,3,8
homoseksueel,homoseksueler,0,0,0,0,0
homoseksueel,homoseksueelste,0,0,0,0,0
homoseksueel,homoseksuelere,0,0,0,0,0
homoseksueel,homoseksueelst,0,0,0,0,0
homoseksueel,homoseksueels,0,0,0,0,0
homoseksueel,homoseksuelen,0,2,0,1,3
homoseksueel,homoseksuele,1,1,1,1,4
stam,stam,6,5,10,5,26
stam,stammen,1,1,9,1,12
oriëntaals,oriëntaals,0,0,0,0,0
oriëntaals,oriëntaalste,0,0,0,0,0
oriëntaals,oriëntaalsere,0,0,0,0,0
oriëntaals,oriëntaal,0,0,0,0,0
oriëntaals,oriëntale,0,0,0,0,0
oriëntaals,oriëntalere,0,0,0,0,0
oriëntaals,oriëntaalse,0,0,0,0,0
oriëntaals,oriëntaalst,0,0,0,0,0
oriëntaals,oriëntaler,0,0,0,0,0
oriëntaals,oriëntaalser,0,0,0,0,0
batavia,batavia,0,0,1,0,1
halfbloed,halfbloed,4,0,0,0,4
halfbloed,halfbloeden,0,0,0,0,0
boslandcreool,boslandcreool,0,0,0,0,0
boslandcreool,boslandcreolen,0,0,0,0,0
queer,queer,0,0,0,0,0
zigeuner,zigeuner,2,0,2,0,4
zigeuner,zigeuners,0,3,2,3,8
bosneger,bosneger,1,0,0,0,1
bosneger,bosnegers,0,0,0,0,0
ontwikkelingsland,ontwikkelingsland,2,1,1,0,4
ontwikkelingsland,ontwikkelingslanden,0,3,2,3,8
zwart,zwart,3,17,26,16,62
