lemma,query_term,le_written_form,sense_definition,sense_examples,synset_definition,total_query_term
politionele actie,politionele acties,0,0,1,0,1
politionele actie,politionele actie,0,0,0,0,0
birma,birma,2,0,1,0,3
exotisch,exotische,0,1,3,1,5
exotisch,exotischere,0,0,0,0,0
exotisch,exotischer,0,0,0,0,0
exotisch,exotisch,0,0,2,0,2
handicap,handicaps,0,0,1,0,1
handicap,handicap,5,2,8,2,17
medicijnman,medicijnmannen,0,0,0,0,0
medicijnman,medicijnman,1,0,0,0,1
lilliputter,lilliputters,0,0,0,0,0
lilliputter,lilliputter,1,0,0,0,1
homo,homo's,0,1,7,1,9
homo,homo,2,2,8,2,14
mongool,mongools,2,0,0,0,2
mongool,mongolen,0,0,0,0,0
mongool,mongool,3,1,0,0,4
jap,japs,0,0,0,0,0
jap,jappen,0,0,0,0,0
jap,jap,1,0,0,0,1
islamiet,islamieten,0,0,1,0,1
islamiet,islamiet,1,1,0,0,2
westers,westersere,0,0,0,0,0
westers,westerse,0,0,12,0,12
westers,westerser,0,0,0,0,0
westers,wester,0,0,0,0,0
westers,westerste,0,0,0,0,0
westers,westerst,0,0,0,0,0
westers,westers,0,2,2,1,5
etniciteit,etniciteiten,0,0,0,0,0
etniciteit,etniciteit,1,0,0,0,1
homoseksualiteit,homoseksualiteit,2,0,0,0,2
neger,negers,0,3,1,2,6
neger,neger,2,2,0,2,6
bediende,bedienden,0,0,0,0,0
bediende,bediendes,0,0,0,0,0
bediende,bediend,0,2,4,2,8
bediende,bediende,2,7,10,6,25
hermafrodiet,hermafrodieten,0,0,0,0,0
hermafrodiet,hermafrodiet,2,0,0,0,2
inuk,inuit,1,0,0,0,1
inuk,inuk,0,0,0,0,0
indiaan,indiaans,1,0,0,0,1
indiaan,indianen,0,2,7,2,11
indiaan,indiaan,1,3,1,3,8
afkomst,afkomsten,0,0,0,0,0
afkomst,afkomst,4,6,9,6,25
blank,blankst,0,0,0,0,0
blank,blanke,1,6,9,5,21
blank,blankste,0,0,0,0,0
blank,blankere,0,0,0,0,0
blank,blanker,0,0,0,0,0
blank,blanks,0,0,0,0,0
blank,blanken,0,0,4,0,4
blank,blank,0,1,4,0,5
bombay,bombay,1,0,0,0,1
knecht,knechten,1,0,2,0,3
knecht,knechts,0,0,0,0,0
knecht,knecht,3,4,0,2,9
jappenkamp,jappenkampen,0,1,0,0,1
jappenkamp,jappenkamp,1,0,1,0,2
homoseksueel,homoseksueels,0,0,0,0,0
homoseksueel,homoseksuelen,0,2,0,1,3
homoseksueel,homoseksueelst,0,0,0,0,0
homoseksueel,homoseksueelste,0,0,0,0,0
homoseksueel,homoseksueler,0,0,0,0,0
homoseksueel,homoseksuelere,0,0,0,0,0
homoseksueel,homoseksuele,1,1,1,1,4
homoseksueel,homoseksueel,1,3,1,3,8
stam,stammen,1,1,9,1,12
stam,stam,6,5,10,5,26
oriëntaals,oriëntaal,0,0,0,0,0
oriëntaals,oriëntaalsere,0,0,0,0,0
oriëntaals,oriëntaler,0,0,0,0,0
oriëntaals,oriëntaalste,0,0,0,0,0
oriëntaals,oriëntaalser,0,0,0,0,0
oriëntaals,oriëntale,0,0,0,0,0
oriëntaals,oriëntalere,0,0,0,0,0
oriëntaals,oriëntaalse,0,0,0,0,0
oriëntaals,oriëntaalst,0,0,0,0,0
oriëntaals,oriëntaals,0,0,0,0,0
batavia,batavia,0,0,1,0,1
halfbloed,halfbloeden,0,0,0,0,0
halfbloed,halfbloed,4,0,0,0,4
boslandcreool,boslandcreolen,0,0,0,0,0
boslandcreool,boslandcreool,0,0,0,0,0
queer,queer,0,0,0,0,0
zigeuner,zigeuners,0,3,2,3,8
zigeuner,zigeuner,2,0,2,0,4
bosneger,bosnegers,0,0,0,0,0
bosneger,bosneger,1,0,0,0,1
ontwikkelingsland,ontwikkelingslanden,0,3,2,3,8
ontwikkelingsland,ontwikkelingsland,2,1,1,0,4
zwart,zwartste,0,0,0,0,0
zwart,zwarten,0,0,5,0,5
zwart,zwartst,0,0,0,0,0
zwart,zwartere,0,0,0,0,0
zwart,zwarte,4,32,62,25,123
zwart,zwarter,0,0,0,0,0
zwart,zwarts,0,0,0,0,0
zwart,zwart,3,17,26,16,62
traditioneel,traditioneelste,0,0,0,0,0
traditioneel,traditioneels,0,0,0,0,0
traditioneel,traditioneelst,0,0,0,0,0
traditioneel,traditionelere,0,0,0,0,0
traditioneel,traditionele,0,3,11,3,17
