lemma,query_term,n_synsets,n_LE
politionele actie,politionele acties,1,0
politionele actie,politionele actie,0,0
birma,birma,2,1
exotisch,exotische,4,0
exotisch,exotischere,0,0
exotisch,exotischer,0,0
exotisch,exotisch,2,0
handicap,handicaps,1,0
handicap,handicap,7,1
medicijnman,medicijnmannen,0,0
medicijnman,medicijnman,1,0
lilliputter,lilliputters,0,0
lilliputter,lilliputter,1,0
homo,homo's,5,0
homo,homo,6,1
mongool,mongools,2,0
mongool,mongolen,0,0
mongool,mongool,4,0
jap,japs,0,0
jap,jappen,0,0
jap,jap,1,0
islamiet,islamieten,1,0
islamiet,islamiet,1,1
westers,westersere,0,0
westers,westerse,10,2
westers,westerser,0,0
westers,wester,0,0
westers,westerste,0,0
westers,westerst,0,0
westers,westers,3,1
etniciteit,etniciteiten,0,0
etniciteit,etniciteit,1,0
homoseksualiteit,homoseksualiteit,2,0
neger,negers,3,1
neger,neger,2,0
bediende,bedienden,0,0
bediende,bediendes,0,0
bediende,bediend,6,0
bediende,bediende,15,1
hermafrodiet,hermafrodieten,0,0
hermafrodiet,hermafrodiet,2,0
inuk,inuit,0,1
inuk,inuk,0,0
indiaan,indiaans,1,0
indiaan,indianen,8,1
indiaan,indiaan,5,0
afkomst,afkomsten,0,0
afkomst,afkomst,12,0
blank,blankst,0,0
blank,blanke,14,2
blank,blankste,0,0
blank,blankere,0,0
blank,blanker,0,0
blank,blanks,0,0
blank,blanken,3,0
blank,blank,4,1
bombay,bombay,1,0
knecht,knechten,2,0
knecht,knechts,0,0
knecht,knecht,5,2
jappenkamp,jappenkampen,0,1
jappenkamp,jappenkamp,0,1
homoseksueel,homoseksueels,0,0
homoseksueel,homoseksuelen,1,1
homoseksueel,homoseksueelst,0,0
homoseksueel,homoseksueelste,0,0
homoseksueel,homoseksueler,0,0
homoseksueel,homoseksuelere,0,0
homoseksueel,homoseksuele,3,0
homoseksueel,homoseksueel,3,0
stam,stammen,7,1
stam,stam,16,1
oriëntaals,oriëntaal,0,0
oriëntaals,oriëntaalsere,0,0
oriëntaals,oriëntaler,0,0
oriëntaals,oriëntaalste,0,0
oriëntaals,oriëntaalser,0,0
oriëntaals,oriëntale,0,0
oriëntaals,oriëntalere,0,0
oriëntaals,oriëntaalse,0,0
oriëntaals,oriëntaalst,0,0
oriëntaals,oriëntaals,0,0
batavia,batavia,1,0
halfbloed,halfbloeden,0,0
halfbloed,halfbloed,4,0
boslandcreool,boslandcreolen,0,0
boslandcreool,boslandcreool,0,0
queer,queer,0,0
zigeuner,zigeuners,5,0
zigeuner,zigeuner,2,0
bosneger,bosnegers,0,0
bosneger,bosneger,1,0
ontwikkelingsland,ontwikkelingslanden,4,0
ontwikkelingsland,ontwikkelingsland,3,1
zwart,zwartste,0,0
zwart,zwarten,3,1
zwart,zwartst,0,0
zwart,zwartere,0,0
zwart,zwarte,78,14
zwart,zwarter,0,0
zwart,zwarts,0,0
zwart,zwart,37,4
traditioneel,traditioneelste,0,0
traditioneel,traditioneels,0,0
traditioneel,traditioneelst,0,0
traditioneel,traditionelere,0,0
traditioneel,traditionele,12,1
