lemma,n_synsets
aboriginal,6
allochtoon,0
baboo,1
barbarian,6
batavia,0
berber,8
black,690
bombay,3
burma,18
bush negro,0
calcutta,7
caucasian,13
colored,343
coolie,1
descent,78
developing nations,2
disabled,16
discover,35
dwarf,44
eskimo,10
ethnic groups,20
ethnicity,2
exotic,9
first world,2
footmen,3
full blood,0
gay,20
gypsy,14
half-blood,0
half-breed,2
handicap,12
headhunter,2
hermaphrodite,4
homo,12
homosexual,18
hottentot,1
immigrant,35
indian,316
indigenous,27
indo,30
inuit,2
kaffir,2
lilliputian,5
low-income countries,0
madras,4
maroon,19
medicine man,1
mestizo,2
mohammedan,2
mongoloid,5
moor,16
mulatto,2
métis,1
native,625
negro,6
oriental,20
page,107
primitive,130
primitivism,2
pygmy,9
queer,8
race,229
retarded,8
roots,204
second world,1
servant,42
slave,56
southern rhodesia,0
third world,1
traditional,79
trans,1
transvestite,2
tribe,81
western,736
white,1568
