lemma,query_term,n_synsets
batavia,batavias,0
batavia,batavia,0
southern rhodesia,southern rhodesia,0
madras,madras,4
low-income countries,low-income country,0
low-income countries,low-income countries,0
headhunter,headhunters,0
headhunter,headhunter,2
immigrant,immigrants,8
immigrant,immigrant,3
barbarian,barbarians,0
barbarian,barbarian,5
moor,moors,8
moor,moor,8
indian,indians,28
indian,indian,277
homo,homos,0
homo,homo,9
exotic,exotics,0
exotic,exotic,6
allochtoon,allochtoons,0
allochtoon,allochtoon,0
medicine man,medicine men,0
medicine man,medicine man,1
third world,third world,0
servant,servants,5
servant,servant,23
hottentot,hottentots,0
hottentot,hottentot,1
gypsy,gypsies,3
gypsy,gypsys,0
gypsy,gypsy,7
coolie,coolies,0
coolie,coolie,1
white,whitest,0
white,whiter,1
white,whites,18
white,white,1468
caucasian,caucasians,0
caucasian,caucasian,13
kaffir,kaffirs,0
kaffir,kaffir,2
descent,descent,77
mohammedan,mohammedans,0
mohammedan,mohammedan,2
mongoloid,mongoloids,0
mongoloid,mongoloid,5
discover,discover,31
homosexual,homosexuals,2
homosexual,homosexual,15
baboo,baboos,0
baboo,baboo,1
pygmy,pygmys,0
pygmy,pygmy,9
page,pages,30
page,page,45
bush negro,bush negroes,0
bush negro,bush negros,0
bush negro,bush negro,0
second world,second world,0
native,natives,5
native,native,598
bombay,bombays,0
bombay,bombay,2
negro,negros,0
negro,negroes,0
negro,negro,5
berber,berbers,1
berber,berber,7
mulatto,mulattos,0
mulatto,mulattoes,0
mulatto,mulatto,2
disabled,disableds,0
disabled,disabled,12
roots,roots,193
mestizo,mestizoes,0
mestizo,mestizos,0
mestizo,mestizo,1
developing nations,developing nation,0
developing nations,developing nations,1
western,westerns,0
western,western,721
aboriginal,aboriginals,0
aboriginal,aboriginal,6
transvestite,transvestites,0
transvestite,transvestite,2
eskimo,eskimos,2
eskimo,eskimoes,0
eskimo,eskimo,7
hermaphrodite,hermaphrodites,0
hermaphrodite,hermaphrodite,4
gay,gayest,0
gay,gays,0
gay,gayer,0
gay,gay,12
indo,indos,0
indo,indo,29
oriental,orientals,0
oriental,oriental,16
colored,coloreds,0
colored,colored,338
inuit,inuits,0
inuit,inuit,2
black,blacks,7
black,blacker,0
black,blackest,1
black,black,612
queer,queers,0
queer,queerest,0
queer,queerer,0
queer,queer,5
calcutta,calcuttas,0
calcutta,calcutta,5
ethnic groups,ethnic group,17
ethnic groups,ethnic groups,2
maroon,maroons,0
maroon,maroon,19
trans,transs,0
trans,trans,1
half-breed,half-breeds,0
half-breed,half-breed,2
lilliputian,lilliputians,0
lilliputian,lilliputian,5
dwarf,dwarfer,0
dwarf,dwarves,0
dwarf,dwarfs,1
dwarf,dwarfest,0
dwarf,dwarf,40
half-blood,half-bloods,0
half-blood,half-blood,0
burma,burma,18
race,races,43
race,race,142
handicap,handicaps,1
handicap,handicap,9
primitive,primitives,0
primitive,primitive,124
retarded,retarded,5
footmen,footman,2
footmen,footmen,0
slave,slaves,17
slave,slave,29
first world,first world,0
ethnicity,ethnicities,0
ethnicity,ethnicity,2
primitivism,primitivism,2
indigenous,indigenous,24
traditional,traditionals,0
traditional,traditional,66
full blood,full blood,0
métis,metis,1
métis,métis,0
tribe,tribes,29
tribe,tribe,35
