lemma,query_term,synsets,definitions,examples,total_per_query_term
batavia,batavia,0,0,0,0
batavia,batavias,0,0,0,0
southern rhodesia,southern rhodesia,0,0,0,0
madras,madras,3,3,0,6
low-income countries,low-income countries,0,0,0,0
headhunter,headhunter,2,0,0,2
headhunter,headhunters,0,0,0,0
immigrant,immigrant,1,2,2,5
immigrant,immigrants,0,8,22,30
barbarian,barbarian,3,2,1,6
barbarian,barbarians,0,0,1,1
moor,moor,5,3,1,9
moor,moors,0,8,0,8
indian,indian,4,273,10,287
indian,indians,0,28,4,32
homo,homo,2,7,3,12
homo,homos,0,0,0,0
exotic,exotic,2,4,8,14
exotic,exotics,0,0,0,0
allochtoon,allochtoon,0,0,0,0
medicine man,medicine man,0,1,0,1
medicine man,medicine men,0,0,0,0
third world,third world,0,0,1,1
servant,servant,2,21,6,29
servant,servants,0,5,10,15
hottentot,hottentot,1,0,0,1
hottentot,hottentots,0,0,0,0
gypsy,gypsy,4,4,1,9
gypsy,gypsys,0,0,0,0
coolie,coolie,1,0,0,1
coolie,coolies,0,0,0,0
white,white,25,1441,112,1578
white,whiter,0,1,0,1
white,whitest,0,0,0,0
white,whites,0,18,4,22
caucasian,caucasian,4,11,1,16
caucasian,caucasians,0,0,0,0
kaffir,kaffir,2,0,0,2
kaffir,kaffirs,0,0,0,0
descent,descent,6,71,1,78
mohammedan,mohammedan,2,0,0,2
mohammedan,mohammedans,0,0,0,0
mongoloid,mongoloid,5,1,1,7
mongoloid,mongoloids,0,0,0,0
discover,discover,8,24,5,37
homosexual,homosexual,2,13,0,15
homosexual,homosexuals,0,2,1,3
baboo,baboo,1,0,0,1
baboo,baboos,0,0,0,0
pygmy,pygmy,2,7,0,9
pygmy,pygmys,0,0,0,0
page,page,9,37,22,68
page,pages,0,30,15,45
bush negro,bush negro,0,0,0,0
second world,second world,0,0,1,1
native,native,7,591,24,622
native,natives,0,5,7,12
bombay,bombay,1,1,1,3
bombay,bombays,0,0,0,0
negro,negro,2,4,0,6
negro,negroes,0,0,1,1
negro,negros,0,0,0,0
berber,berber,2,5,0,7
berber,berbers,1,1,0,2
mulatto,mulatto,1,1,0,2
mulatto,mulattoes,0,0,0,0
mulatto,mulattos,0,0,0,0
disabled,disabled,2,10,5,17
disabled,disableds,0,0,0,0
roots,roots,1,192,14,207
mestizo,mestizo,1,0,0,1
mestizo,mestizoes,0,0,0,0
mestizo,mestizos,0,0,1,1
developing nations,developing nations,0,1,1,2
western,western,6,718,19,743
western,westerns,0,0,1,1
aboriginal,aboriginal,3,3,3,9
aboriginal,aboriginals,0,0,0,0
transvestite,transvestite,2,0,0,2
transvestite,transvestites,0,0,0,0
eskimo,eskimo,2,7,1,10
eskimo,eskimoes,0,0,0,0
eskimo,eskimos,0,2,1,3
hermaphrodite,hermaphrodite,2,2,0,4
hermaphrodite,hermaphrodites,0,0,0,0
gay,gay,7,5,16,28
gay,gayer,0,0,0,0
gay,gayest,0,0,0,0
gay,gays,0,0,0,0
indo,indo,0,29,2,31
oriental,oriental,1,15,5,21
oriental,orientals,0,0,0,0
colored,colored,4,334,8,346
colored,coloreds,0,0,0,0
inuit,inuit,1,2,1,4
inuit,inuits,0,0,0,0
black,black,22,594,96,712
black,blacks,0,7,1,8
black,blackest,0,1,1,2
black,blacker,0,0,0,0
queer,queer,5,0,4,9
queer,queerest,0,0,0,0
queer,queerer,0,0,0,0
queer,queers,0,0,0,0
calcutta,calcutta,1,4,2,7
calcutta,calcuttas,0,0,0,0
ethnic groups,ethnic groups,0,2,0,2
maroon,maroon,6,13,1,20
maroon,maroons,0,0,0,0
trans,trans,0,1,0,1
trans,transs,0,0,0,0
half-breed,half-breed,2,0,0,2
half-breed,half-breeds,0,0,0,0
lilliputian,lilliputian,5,1,3,9
lilliputian,lilliputians,0,0,0,0
dwarf,dwarf,5,35,3,43
dwarf,dwarves,0,0,0,0
dwarf,dwarfs,0,1,1,2
dwarf,dwarfer,0,0,0,0
dwarf,dwarfest,0,0,0,0
half-blood,half-blood,0,0,0,0
half-blood,half-bloods,0,0,0,0
burma,burma,1,17,0,18
race,race,10,134,42,186
race,races,0,43,6,49
handicap,handicap,6,3,2,11
primitive,primitive,7,117,13,137
primitive,primitives,0,0,0,0
retarded,retarded,2,4,5,11
footmen,footmen,0,0,1,1
slave,slave,4,27,5,36
slave,slaves,0,17,8,25
first world,first world,0,0,2,2
ethnicity,ethnicity,1,1,1,3
primitivism,primitivism,2,0,0,2
indigenous,indigenous,1,23,4,28
traditional,traditional,2,64,16,82
traditional,traditionals,0,0,0,0
full blood,full blood,0,0,0,0
métis,métis,0,0,0,0
tribe,tribe,4,31,8,43
tribe,tribes,0,29,9,38
