lemma,synset_lemmas,definitions,examples,total_lemma
aboriginal,3,3,0,6
allochtoon,0,0,0,0
baboo,1,0,0,1
barbarian,3,2,0,5
batavia,0,0,0,0
berber,3,6,0,9
black,22,601,0,623
bombay,1,1,0,2
burma,1,17,0,18
bush negro,0,0,0,0
calcutta,1,4,0,5
caucasian,4,11,0,15
colored,4,334,0,338
coolie,1,0,0,1
descent,6,71,0,77
developing nations,0,1,0,1
disabled,2,10,0,12
discover,8,24,0,32
dwarf,5,36,0,41
eskimo,2,9,0,11
ethnic groups,0,19,0,19
ethnicity,1,1,0,2
exotic,2,4,0,6
first world,0,0,0,0
footmen,1,1,0,2
full blood,0,0,0,0
gay,7,5,0,12
gypsy,4,7,0,11
half-blood,0,0,0,0
half-breed,2,0,0,2
handicap,6,4,0,10
headhunter,2,0,0,2
hermaphrodite,2,2,0,4
homo,2,7,0,9
homosexual,2,15,0,17
hottentot,1,0,0,1
immigrant,1,10,0,11
indian,4,301,0,305
indigenous,1,23,0,24
indo,0,29,0,29
inuit,1,2,0,3
kaffir,2,0,0,2
lilliputian,5,1,0,6
low-income countries,0,0,0,0
madras,3,3,0,6
maroon,6,13,0,19
medicine man,0,1,0,1
mestizo,1,0,0,1
mohammedan,2,0,0,2
mongoloid,5,1,0,6
moor,5,11,0,16
mulatto,1,1,0,2
métis,1,0,0,1
native,7,596,0,603
negro,2,3,0,5
oriental,1,15,0,16
page,9,67,0,76
primitive,7,117,0,124
primitivism,2,0,0,2
pygmy,2,7,0,9
queer,5,0,0,5
race,10,177,0,187
retarded,2,4,0,6
roots,1,192,0,193
second world,0,0,0,0
servant,2,26,0,28
slave,4,44,0,48
southern rhodesia,0,0,0,0
third world,0,0,0,0
traditional,2,64,0,66
trans,0,1,0,1
transvestite,2,0,0,2
tribe,4,60,0,64
western,6,718,0,724
white,25,1466,0,1491
