lemma,query_term,synset_lemmas,definitions,examples,total_query_term
batavia,batavias,0,0,0,0
batavia,batavia,0,0,0,0
southern rhodesia,southern rhodesia,0,0,0,0
madras,madras,3,3,0,6
low-income countries,low-income country,0,0,0,0
low-income countries,low-income countries,0,0,0,0
headhunter,headhunters,0,0,0,0
headhunter,headhunter,2,0,0,2
immigrant,immigrants,0,8,0,8
immigrant,immigrant,1,2,0,3
barbarian,barbarians,0,0,0,0
barbarian,barbarian,3,2,0,5
moor,moors,0,8,0,8
moor,moor,5,3,0,8
indian,indians,0,28,0,28
indian,indian,4,273,0,277
homo,homos,0,0,0,0
homo,homo,2,7,0,9
exotic,exotics,0,0,0,0
exotic,exotic,2,4,0,6
allochtoon,allochtoons,0,0,0,0
allochtoon,allochtoon,0,0,0,0
medicine man,medicine men,0,0,0,0
medicine man,medicine man,0,1,0,1
third world,third world,0,0,0,0
servant,servants,0,5,0,5
servant,servant,2,21,0,23
hottentot,hottentots,0,0,0,0
hottentot,hottentot,1,0,0,1
gypsy,gypsies,0,3,0,3
gypsy,gypsys,0,0,0,0
gypsy,gypsy,4,4,0,8
coolie,coolies,0,0,0,0
coolie,coolie,1,0,0,1
white,whitest,0,0,0,0
white,whiter,0,1,0,1
white,whites,0,18,0,18
white,white,25,1447,0,1472
caucasian,caucasians,0,0,0,0
caucasian,caucasian,4,11,0,15
kaffir,kaffirs,0,0,0,0
kaffir,kaffir,2,0,0,2
descent,descent,6,71,0,77
mohammedan,mohammedans,0,0,0,0
mohammedan,mohammedan,2,0,0,2
mongoloid,mongoloids,0,0,0,0
mongoloid,mongoloid,5,1,0,6
discover,discover,8,24,0,32
homosexual,homosexuals,0,2,0,2
homosexual,homosexual,2,13,0,15
baboo,baboos,0,0,0,0
baboo,baboo,1,0,0,1
pygmy,pygmys,0,0,0,0
pygmy,pygmy,2,7,0,9
page,pages,0,30,0,30
page,page,9,37,0,46
bush negro,bush negroes,0,0,0,0
bush negro,bush negros,0,0,0,0
bush negro,bush negro,0,0,0,0
second world,second world,0,0,0,0
native,natives,0,5,0,5
native,native,7,591,0,598
bombay,bombays,0,0,0,0
bombay,bombay,1,1,0,2
negro,negros,0,0,0,0
negro,negroes,0,0,0,0
negro,negro,2,3,0,5
berber,berbers,1,1,0,2
berber,berber,2,5,0,7
mulatto,mulattos,0,0,0,0
mulatto,mulattoes,0,0,0,0
mulatto,mulatto,1,1,0,2
disabled,disableds,0,0,0,0
disabled,disabled,2,10,0,12
roots,roots,1,192,0,193
mestizo,mestizoes,0,0,0,0
mestizo,mestizos,0,0,0,0
mestizo,mestizo,1,0,0,1
developing nations,developing nation,0,0,0,0
developing nations,developing nations,0,1,0,1
western,westerns,0,0,0,0
western,western,6,718,0,724
aboriginal,aboriginals,0,0,0,0
aboriginal,aboriginal,3,3,0,6
transvestite,transvestites,0,0,0,0
transvestite,transvestite,2,0,0,2
eskimo,eskimos,0,2,0,2
eskimo,eskimoes,0,0,0,0
eskimo,eskimo,2,7,0,9
hermaphrodite,hermaphrodites,0,0,0,0
hermaphrodite,hermaphrodite,2,2,0,4
gay,gayest,0,0,0,0
gay,gays,0,0,0,0
gay,gayer,0,0,0,0
gay,gay,7,5,0,12
indo,indos,0,0,0,0
indo,indo,0,29,0,29
oriental,orientals,0,0,0,0
oriental,oriental,1,15,0,16
colored,coloreds,0,0,0,0
colored,colored,4,334,0,338
inuit,inuits,0,0,0,0
inuit,inuit,1,2,0,3
black,blacks,0,7,0,7
black,blacker,0,0,0,0
black,blackest,0,1,0,1
black,black,22,593,0,615
queer,queers,0,0,0,0
queer,queerest,0,0,0,0
queer,queerer,0,0,0,0
queer,queer,5,0,0,5
calcutta,calcuttas,0,0,0,0
calcutta,calcutta,1,4,0,5
ethnic groups,ethnic group,0,17,0,17
ethnic groups,ethnic groups,0,2,0,2
maroon,maroons,0,0,0,0
maroon,maroon,6,13,0,19
trans,transs,0,0,0,0
trans,trans,0,1,0,1
half-breed,half-breeds,0,0,0,0
half-breed,half-breed,2,0,0,2
lilliputian,lilliputians,0,0,0,0
lilliputian,lilliputian,5,1,0,6
dwarf,dwarfer,0,0,0,0
dwarf,dwarves,0,0,0,0
dwarf,dwarfs,0,1,0,1
dwarf,dwarfest,0,0,0,0
dwarf,dwarf,5,35,0,40
half-blood,half-bloods,0,0,0,0
half-blood,half-blood,0,0,0,0
burma,burma,1,17,0,18
race,races,0,43,0,43
race,race,10,134,0,144
handicap,handicaps,0,1,0,1
handicap,handicap,6,3,0,9
primitive,primitives,0,0,0,0
primitive,primitive,7,117,0,124
retarded,retarded,2,4,0,6
footmen,footman,1,1,0,2
footmen,footmen,0,0,0,0
slave,slaves,0,17,0,17
slave,slave,4,27,0,31
first world,first world,0,0,0,0
ethnicity,ethnicities,0,0,0,0
ethnicity,ethnicity,1,1,0,2
primitivism,primitivism,2,0,0,2
indigenous,indigenous,1,23,0,24
traditional,traditionals,0,0,0,0
traditional,traditional,2,64,0,66
full blood,full blood,0,0,0,0
métis,metis,1,0,0,1
métis,métis,0,0,0,0
tribe,tribes,0,29,0,29
tribe,tribe,4,31,0,35
