N,term NL,term EN,page NL,page EN,explanation NL,explanation EN,preferred alternative NL,preferred alternative EN,links to,links to 2,links to 3,links to 4,links to 5,links to 6,links to 7,links to 8,links to 9,links to 10
1,Aboriginal,Aboriginal,94.0,90.0,"De term ‘Aboriginal' komt van de Latijnse woorden ab en origine, die samen ‘van het begin’ betekenen. ‘Aboriginal' komt vaak voor, onder andere in collectiedatabases van musea, om de oorspronkelijke bewoners van een plek te omschrijven. De term wordt vooral gebruikt om te verwijzen naar inheemse volken in Australië en Canada (zie: Inheems). In Canada heeft men echter recentelijk de voorkeur gegeven aan de term Inheems.
‘Aboriginal’ houdt onvoldoende rekening met de complexiteit en diversiteit van inheemse volken. Veel inheemse volken in beide landen willen geen ‘Aboriginal’ genoemd worden en geven de voorkeur aan andere termen die hun identiteit kenmerken, zoals taal, land en clan relaties. In Canada begon men de term toe te passen in de jaren 1980, toen men een juridische en overkoepelende term zocht om de bestaande
– maar controversiële – categorieën ‘indiaan’, ‘Inuit’ en ‘Métis’ te beschrijven (zie: Indiaan en Eskimo).","The term “Aboriginal” stems from the Latin words ab and origine, meaning “from the beginning”, and is a commonly used word, including in museum databases. “Aboriginal” describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also “Indigenous”). However, in Canada, there has been a recent preference for the use of Indigenous.
The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as “Aboriginal”, preferring to emphasize other markers of their identity such as language, land and clan relationships. In Canada the term came into general use in the 1980s, when a legal and overarching term was sought to collectively describe
the existing—but controversial—categories “Indian,” “Inuit” and “Métis” (see also “Indian” and “Eskimo”).","• Gebruik terminologie die door de groepen zelf wordt gebruikt en als respectvol wordt beschouwd.
• Als het niet mogelijk is om generalisatie te voorkomen, bijvoorbeeld wanneer de groepsnaam niet te achterhalen valt: gebruik dan ‘Aboriginal’ als samengesteld zelfstandig naamwoord – altijd
met hoofdletter A. Bijvoorbeeld: 'Aboriginal personen', Aboriginal Australiërs.
• In Canada geven sommige First Nation groepen de voorkeur aan ‘inheems’, bijvoorbeeld ‘inheemse persoon/personen’. ‘First Nations’ kan ook acceptabel zijn.
• In Australië passen ‘Aboriginal’ en ‘Straat Torres­eilanders’ soms.","• Adopt the terminology used and accepted as respectful by the people themselves.
• In cases where it is not possible to avoid generalization, for example, should it be impossible to find out the specific group from which a person/object comes, then use “Aboriginal” as a compound noun, always with capital “A”: Aboriginal people(s), Aboriginal Australians.
• In Canada, certain First Nations groups in Ontario prefer “Indigenous,” i.e. “Indigenous people(s).” “First Nation(s) people(s)” may also be acceptable.
• In Australia, “Aboriginal” and “Torres Strait Islander peoples” is in most situations appropriate.",12,23.0,26.0,,,,,,,
2,Afkomst,Descent,95.0,101.0,"‘Afkomst' is op zich geen controversiële term, maar de term wordt vaak gebruikt om aan iemand te vragen waar hij of zij geboren is. Omdat de vraag vaak gesteld wordt aan mensen waarvan op basis van hun uiterlijk aangenomen wordt dat zij ergens anders vandaan komen dan uit Nederland, kan de term in deze context wel als gevoelig ervaren worden.","The term refers to the group or place where someone comes from or was born. It is not a controversial term in itself. However, because the term is often used to ask someone where they are from based on a presumption of him or her being non-Dutch because of their appearance, it can be experienced as offensive (See article Zeefuik and Modest; also words such as “Roots""and “Allochtoon"".",Zie de suggesties voor Roots en Allochtoon,See suggestions for Roots and Allochtoon.,3,13.0,49.0,,,,,,,
3,Allochtoon,Allochtoon,96.0,91.0,"‘Allochtoon’ wordt in het Nederlands gebruikt sinds de 20ste eeuw, oorspronkelijk als een geologische term. Het woord (waarvan het antoniem ‘autochtoon' is) betekent letterlijk ‘van een andere grond/ locatie'. Het werd in de jaren 1970 in Nederland geïntroduceerd als identiteitscategorie, ter vervanging voor ‘immigrant' dat in die tijd een steeds negatievere connotatie kreeg. De term was bedoeld als generieke term om iemand te benoemen die zelf, of waarvan een ouder buiten Nederland geboren was. De term werd echter gesplitst in de subcategorieën ‘westerse’ en ‘niet­westerse’ allochtonen, waarmee een onderscheid gemaakt werd tussen verschillende categorieën buitenstaanders.
De term is geleidelijk aan meer en meer gebruikt als synoniem voor mensen die zichtbaar anders lijken, bijvoorbeeld niet­witte mensen.
De term is impopulair geworden bij zowel beleidsmakers als het publiek en sommige gemeentes hebben zelfs besloten om het woord niet meer te gebruiken.","Allochtoon entered the Dutch language in the 20th century as a geological term. The term, which literally means “from another soil/location” (antonym autochtoon) was introduced as an identity category in the Netherlands in the 1970s to replace “immigrant,” which by that time had started to develop negative connotations.
While the term itself was intended to be generic and to describe anyone born outside or with one parent born outside the Netherlands, it was split into the subcategories of Western and non-Western, thus creating a distinction between different categories of outsiders.
The term has increasingly been used as a stand-in for people who appear to be visibly different, i.e. non-White people.
“Allochtoon” has lost favor with some, including policy makers and the public alike, with some municipalities deciding no longer to use the term.","•	Gebruik terminologie die de groepen zelf gebruiken en respectvol vinden.
•	Er is een groeiende tendens om het koppelteken te gebruiken, zoals in Marokkaans­Nederlands, Surinaams­Nederlands etc.
•	De term ‘persoon met een … achtergrond’ wordt algemeen gebruikt en is voor velen aanvaardbaar.
•	Welke van de drie alternatieven ook gekozen wordt, het moet consistent worden gebruikt. Als we bijvoorbeeld kiezen voor ‘persoon met een Surinaamse achtergrond’ moeten we het ook hebben over een ‘persoon met een Duitse of Japanse achtergrond’.","•	Adopt the terminology used and accepted as respectful by the people themselves.
•	There is an increasing tendency to use hyphenated identification, for example, Moroccan-Dutch, Surinamese-Dutch etc.
•	The phrase “person of ... background” is commonly used and acceptable for many.
•	Whatever of the three alternatives you choose, it should be used consistently. For example, if we choose to describe someone as a person of Surinamese background then we should also say a person of German or Japanese background.",2,13.0,49.0,,,,,,,
4,Barbaar,Barbarian,97.0,92.0,"De term ‘barbaar' komt uit de klassieke oudheid. In het oude Griekenland verwees het naar mensen met een onbekende taal of cultuur. Vanaf de 16de eeuw werden kaarten en reisverslagen gemaakt die naar Noord­ Afrika verwezen als ‘Barbarije' en naar de inwoners als ‘barbaren'. Deze woorden kregen in de volgende eeuwen een steeds negatievere associatie met piraterij en de slavenhandel en de betekenis van ‘barbaar' veranderde geleidelijk aan in onbeschaafd.
Tegenwoordig wordt de term vaak gebruikt om aan te geven dat iets of iemand niet voldoet aan de algemeen aanvaarde normen en waarden, waarmee gewoonlijk de waarden van de hogere sociale klassen worden bedoeld.","The term “barbarian” originates in antiquity. In Ancient Greece, “barbarians” referred to people with an unfamiliar language and/or culture. Then the term “Barbarije” was used for North Africa, for example in 16th century cartography and travel accounts. Its inhabitants were described as “barbarians”. These words became negatively associated with piracy and the slave trade and the word “barbarian” increasingly gained the meaning of uncivilized.
Nowadays the word is often used to express the idea that someone or something does not meet generally accepted standards, norms and values, usually those associated with the higher social classes.","•	Er bestaat geen alternatief voor deze term.
•	De term kan wel gebruikt worden in een beschrijvende of historische context. Gebruik in dat geval aanhalingstekens.
Bijvoorbeeld: “De ‘barbaren’ waren mensen met wie de Grieken in de Oudheid in contact kwamen.”","•	There is no suitable alternative for this term, except when used in a descriptive or historical context, in which case we suggest the use of quotation marks.
For example: The “barbarians” were a group of people with whom the Greeks came into contact in antiquity",6,45.0,,,,,,,,
5,Bediende,Servant,98.0,137.0,"‘Bediende’, ‘page’, ‘knecht’ en ‘baboe’ zijn termen die vaak voorkomen in museumdatabases, en dan met name in de beschrijvingen van schilderijen en foto’s.
Deze verwante termen beschrijven een persoon die in andermans huishouden werkzaam is om huishoudelijke taken te verrichten, zoals koken en schoonmaken, of ter assistentie.
De termen veronderstellen op zich geen grove uitbuiting ofschoon zij een hiërarchische relatie op basis van klasse en macht beschrijven die soms gekenmerkt wordt door uitbuiting. De veelvoudige en complexe relaties die bedienden kunnen hebben met hun meesters maken het
niet makkelijk, zelfs riskant, om een oordeel te vellen over de rol van de bediende of de omstandigheden waaronder deze leefde.
De term ‘page' beschrijft een jonge, mannelijke bediende die voor een edelman werkt, of – wanneer het de Renaissance betreft ­ als bediende voor modieuze dames en heren.
Vandaag de dag wordt het in sommige kringen als vernederend of beledigend beschouwd om te verwijzen naar iemand als bediende of page. De term noemen in de beschrijving van historische schilderijen of foto’s kan in sommige gevallen echter wel worden aangeraden","“Servant”, like other terms such as “Page”, “Footmen” and “Baboo”, are frequently occurring terms in many museums databases and can most often be found in the descriptions of paintings and photographs.
These interrelated terms describe a person employed in another’s household to do diverse domestic duties such as cooking and cleaning, or to be someone’s attendant. The terms do not in themselves suppose gross exploitation, even if they describe a hierarchical relation in class and power, sometimes marked by exploitation. The multiple and complex relations that servants may have with their masters makes any too easy judgement of the role of the servant or conditions under which they lived an incautious one.
“Page” describes a young male servant or attendant, working for a nobleman, or from the Renaissance as servants for fashionable women and men.
Referring to someone as servant or page today is regarded as demeaning or insulting in some circles. Maintaining the term in the description of historic paintings and photographs may however be recommended in some situations, especially when the person’s name is not known, since it conveys the power relations more transparently.","•	Over het algemeen adviseren wij een meer kritische benadering van de termen.
•	Indien bekend, gebruik de naam van de persoon.
•	Indien de naam niet bekend is, kan het gebruik van ‘bediende' de machtsverhoudingen soms juist transparant en duidelijk maken.
•	De term ‘page' wordt nog zelden gebruikt, en kan beter vermeden worden.","•	Use the person’s name if known
•	The use of “servant” can be a transparent representation of power relation.
•	The use of “page” is very infrequent in the present-day and its use should be avoided.",,,,,,,,,,
6,Berber,Berber,99.0,93.0,"‘Berber’ verwijst naar diverse groepen mensen die in verschillende landen in het noorden van Afrika leven. De term stamt uit de klassieke oudheid en verscheen voor het eerst in Arabische manuscripten in 900 v.C. Velen denken echter ten onrechte dat de term door Europeanen gecreëerd is en gerelateerd is aan de term ‘barbaar' (zie: Barbaar).
Hoewel nog steeds gebruikt door veel mensen die zichzelf als Berber beschouwen, raakt het uit de gratie en geven steeds meer mensen de voorkeur aan de term ‘Amazigh’.","“Berber” refers to various groups of people living across several countries in Northern Africa. The term dates back to antiquity and appears in Arabic manuscripts by 900 AD. Many people, however, believe it to be a European invention related to the term “barbarian” (see previous entry). While the term is still used by many people who self-identify as Berber, it is rapidly falling out of favor and more and more people now refer to themselves as “Amazigh.”",Amazigh (enkelvoud) en Imazighen (meervoud),•	Amazigh (singular) and Imazighen (plural),4,,,,,,,,,
7,Blank,Blank,100.0,95.0,"In Nederland wordt ‘blank’ vaak in plaats van ‘wit’ gebruikt (zie: Wit).
De term wordt gebruikt als identiteitscategorie en deelt zijn genealogie met andere termen, zoals bijvoorbeeld Zwart (afkomstig uit het Latijn). De term komt voort uit de raciale wetenschappen in de 18de en 19de eeuw.
Van Dale definieert ‘blank’ onder andere als “niet bevlekt” en “niet gekleurd” (zie: Wit, Zwart en Mensen van kleur). De associatie met zulke ‘neutrale’ en zelfs positieve connotaties van het woord heeft tot kritiek geleid van de antiracisme­beweging, die er voor pleit om de term te vervangen door de term ‘wit’.","In the Netherlands, the term “blank” is a synonym for “White"" (see also “White”).
As an identity category, the term shares its genealogy with other terms such as Black (from the Latin) and associated with the racial sciences of the 18th and 19th century.
The Van Dale dictionary, defines the term as “unblemished” and non-colored. (See “White”, “Black” and “Person of Color”).
The association of such ‘neutral’ and even ‘positive’ connotations of the word has generated critique from anti-racist/racial equality activists in the Netherlands, demanding that the word be replaced with the term “White” as a racial and political identity.","•	De term ‘wit’ wordt steeds vaker gebruikt, vooral door activisten en wetenschappers.
•	Wit","•	White
•	The term White is increasingly used, especially by activists and academics.",16,31.0,48.0,55.0,,,,,,
8,Bombay,Bombay,101.0,96.0,"‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw.
Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land.
Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme.
Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode.
Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid­Rhodesië).","Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century.
The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today.
On claiming territory, colonizers named cities and towns after important people or after their own places.
Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism.
The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period.
Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia)",Mumbai,Mumbai,,,,,,,,,,
9,Bosneger,Bush Negro,102.0,97.0,"In het Nederlands komt de term ‘bosneger’ voort uit de termen ‘bosch’ en ‘neger’ (zie: Neger).
Het was een pejoratieve term voor Afrikanen (en hun afstammelingen) die aan de slavernij ontsnapten in Suriname en de Guyana’s en in bergachtige gebieden gingen wonen. Hiervandaan vochten zij tegen kolonisatie.
Sommige mensen in Suriname en in Nederland gebruiken de term vandaag de dag als synoniem voor ‘Marron’ en ‘Boslandcreool’
Hoewel de term ‘Marron’ ook betwist wordt, wordt deze beter aanvaard (zie: Marron).","In Dutch, this term originates from the two terms “bosch,” meaning “wild land” and “neger” (see also “Negro”).
It was a pejorative term for Africans (and their descendants) who escaped from slavery in Suriname and the Guyanas and settled in inaccessible, interior/mountainous regions, from which they fought against colonization.
Some people in Suriname and the Netherlands still use the term interchangeably with “Maroon” and “Boslandcreool”
While the term “Maroon” is itself contested, there is broader popular and academic agreement about its appropriateness. (see also “Maroon”).","•	Marron
•	De term is gepast in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens","•	Maroon
•	Should it be necessary to used this term, for example, in a descriptive or historical context then we suggest the use of quotation marks.
For example: The term “Bush Negro” originates from…",34,41.0,,,,,,,,
10,(De) Derde Wereld,Third World,103.0,139.0,"Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties.
De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond­ genoten, waaronder Japan, Canada en landen in West­Europa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost­Europa, de ‘Tweede Wereld’ vormden.
‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns­Amerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd.
Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet­westerse inferioriteit.","While still used in everyday speech, the term “Third World” is regarded as a vestige of Cold War politics, when the world was divided into three groups based on political and economic orientations or alliances.
“First World” describes the United States and its allies, including Japan, Canada and countries in Western Europe, while nations that were part of the Communist Bloc, including China, USSR, Cuba and countries in Eastern Europe comprised the “Second World.”
The term was first used (Alfred Akfred Sauvy 1952) to describe countries that were politically aligned with neither the First nor the Second worlds. “Third World” also became an economic categorization, used to refer to the poorest countries and regions of the world. This included countries in Asia, Africa, Latin America and the Caribbean, many of which were formerly colonized by Europe.
An increasing number of people agree that the term is no longer appropriate, as it is not an accurate description of the complexity of the world and because it reinforces a division of the world into Western superiority and non-Western inferiority.","•	Zowel ‘ontwikkelingslanden’ als ‘lagelonenlanden’ zijn als alternatieven genoemd. Deze termen worden echter net zo goed betwist, om dezelfde redenen als Derde Wereld.
•	Het heeft de voorkeur om zo specifiek mogelijk te zijn, en de landen te benoemen.","•	“Developing nations” as well as “low-income countries” have been suggested as alternatives. These terms, however, are also contested, for the same reasons as Third World.
•	It is preferable to name the countries and thus be as specific as possible.",54,,,,,,,,,
