,lemma,lang,wd_prefLabel,wd_aliases,wd_descr,wd_lemma_total
0,aboriginal,en,5,10,7,22
1,allochtoon,en,1,0,0,1
2,barbarian,en,5,9,4,18
3,batavia,en,6,0,7,13
4,berber,en,14,6,9,29
5,black,en,14,11,4,29
6,bombay,en,1,4,1,6
7,burma,en,2,18,3,23
8,calcutta,en,1,7,0,8
9,caucasian,en,7,1,1,9
10,colored,en,1,0,0,1
11,coolie,en,12,1,2,15
12,descent,en,4,1,4,9
13,developing nations,en,8,0,3,11
14,disabled,en,3,10,3,16
15,dwarf,en,5,2,5,12
16,eskimo,en,13,1,5,19
17,ethnic groups,en,7,4,12,23
18,ethnicity,en,4,0,16,20
19,exotic,en,2,0,3,5
20,first world,en,4,2,2,8
21,footmen,en,4,0,2,6
22,gay,en,11,10,9,30
23,gypsy,en,8,6,2,16
24,half-breed,en,4,0,0,4
25,handicap,en,13,10,3,26
26,headhunter,en,1,0,1,2
27,hermaphrodite,en,8,3,5,16
28,homo,en,2,2,1,5
29,homosexual,en,7,11,8,26
30,hottentot,en,7,2,2,11
31,immigrant,en,11,6,6,23
32,indian,en,5,25,0,30
33,indigenous,en,6,9,4,19
34,indo,en,1,1,6,8
35,inuit,en,8,1,7,16
36,kaffir,en,3,2,0,5
37,lilliputian,en,8,2,1,11
38,madras,en,0,6,0,6
39,maroon,en,8,4,2,14
40,medicine man,en,11,1,3,15
41,mestizo,en,13,2,3,18
42,mohammedan,en,13,0,0,13
43,mongoloid,en,5,1,1,7
44,moor,en,2,0,2,4
45,mulatto,en,10,1,3,14
46,métis,en,8,8,5,21
47,native,en,6,7,9,22
48,negro,en,13,18,3,34
49,oriental,en,9,6,1,16
50,page,en,3,1,0,4
51,primitive,en,4,1,3,8
52,primitivism,en,9,1,0,10
53,pygmy,en,2,0,2,4
54,queer,en,12,11,3,26
55,race,en,3,12,9,24
56,retarded,en,5,3,2,10
57,second world,en,1,0,0,1
58,servant,en,3,6,0,9
59,slave,en,6,10,7,23
60,southern rhodesia,en,10,1,0,11
61,third world,en,7,1,2,10
62,traditional,en,5,2,5,12
63,trans,en,3,29,1,33
64,transvestite,en,7,3,9,19
65,tribe,en,11,24,8,43
66,western,en,1,4,0,5
67,white,en,12,9,8,29
