,lemma,lang,wd_prefLabel,wd_aliases,wd_descr,wd_lemma_total
0,aboriginal,en,8,3,1,12
1,barbarian,en,1,0,0,1
2,batavia,en,4,1,0,5
3,berber,en,12,1,6,19
4,black,en,8,7,2,17
5,bombay,en,3,3,5,11
6,burma,en,4,1,5,10
7,calcutta,en,4,0,3,7
8,caucasian,en,9,0,0,9
9,coolie,en,2,0,0,2
10,descent,en,1,0,1,2
11,developing nations,en,2,0,2,4
12,disabled,en,1,1,0,2
13,dwarf,en,6,1,1,8
14,eskimo,en,3,1,4,8
15,ethnic groups,en,8,0,5,13
16,ethnicity,en,4,3,3,10
17,exotic,en,6,1,0,7
18,first world,en,2,0,1,3
19,gay,en,5,9,4,18
20,gypsy,en,7,2,2,11
21,handicap,en,4,0,0,4
22,headhunter,en,2,0,0,2
23,hermaphrodite,en,2,0,2,4
24,homosexual,en,2,1,3,6
25,hottentot,en,0,0,1,1
26,immigrant,en,6,2,10,18
27,indian,en,3,2,1,6
28,indigenous,en,2,1,4,7
29,indo,en,1,1,4,6
30,inuit,en,4,1,4,9
31,kaffir,en,2,0,0,2
32,madras,en,6,0,2,8
33,maroon,en,0,0,1,1
34,medicine man,en,4,0,0,4
35,mestizo,en,3,0,0,3
36,mohammedan,en,1,1,0,2
37,moor,en,1,0,0,1
38,mulatto,en,1,0,0,1
39,métis,en,7,3,3,13
40,native,en,2,0,2,4
41,negro,en,7,7,3,17
42,oriental,en,3,1,0,4
43,primitive,en,2,1,0,3
44,primitivism,en,2,0,0,2
45,pygmy,en,1,0,1,2
46,queer,en,2,2,0,4
47,race,en,1,3,5,9
48,roots,en,0,0,1,1
49,servant,en,4,0,0,4
50,slave,en,11,3,8,22
51,southern rhodesia,en,2,6,1,9
52,third world,en,3,1,1,5
53,traditional,en,2,2,3,7
54,trans,en,1,4,1,6
55,transvestite,en,0,0,2,2
56,tribe,en,5,8,7,20
57,western,en,1,1,6,8
58,white,en,6,2,3,11
