,lemma,check,entity_id,term,text_1,text_2,text_3,text_4,text_5
46,batavia,1.0,Q28163844,batavia,"Marine Hotel, Batavia",,"['hotel in Batavia, Dutch East Indies']",['building'],[]
57,berber,1.0,Q2511788,berber,Eastern Berber,['Eastern Berber languages'],['group of Berber languages spoken in Libya and Egypt'],"['language family', 'language subfamily']",['Berber']
68,berber,1.0,Q410453,berbers,Ethiopia,"['Aethiopia', 'Ethiopia (region)', 'Africa']","A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",['historical region'],[]
77,black,1.0,Q3075017,black,Black people in France,['African immigration to France'],['racial and multi-ethnic group'],['human population'],[]
80,black,1.0,Q410453,black,Ethiopia,"['Aethiopia', 'Ethiopia (region)', 'Africa']","A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",['historical region'],[]
139,calcutta,0.0,Q17802195,calcutta,"Dundee, 22, 26, 32 Commercial Street, Calcutta Buildings",,"['architectural structure in Dundee City, Scotland, UK']",['architectural structure'],[]
170,coolie,1.0,Q548135,coolie,coolie,,['labourer from Asia'],['occupation'],['worker']
173,coolie,1.0,Q110626609,coolie,The prohibition of coolie traffic by the Portuguese government,,,"['image', 'work']",[]
209,developing nations,1.0,Q1073779,developing nations,Point Four Program,,Post World War II US technical assistance program to developing nations,['project'],[]
284,ethnic groups,1.0,Q212926,ethnic group,endogamy,,"practice of marrying within a specific ethnic group, class, or social group",[],"['marriage', 'assortative mating']"
292,ethnic groups,1.0,Q110441926,ethnic groups,white nationalist,,"person who supports the perceived political interests of the white population within a particular country, especially to the exclusion or detriment of other racial and ethnic groups",['occupation'],['nationalist']
314,ethnicity,1.0,Q7604529,ethnicity,status group,,"group of people within a society differentiated on the basis of non-economic qualities such as honour, prestige, ethnicity, race and religion",['classification'],['group of humans']
317,ethnicity,1.0,Q112078715,ethnicity,inferred from nationality or ethnicity,,['heuristics for attributing and referencing Wikidata statements'],"['heuristic', 'reasoning']",[]
328,exotic,1.0,Q112856680,exotic,Effects of litter and woody debris quality on decomposition and nutrient release in exotic forests in New Zealand,,['2001 doctoral thesis by G. K. Girisha at Lincoln University'],['doctoral thesis'],[]
338,first world,1.0,Q100097293,first world,Persia and Babylonia: Creating a New Context for Understanding the Emergence of the First World Empire,['Persia and Babylonia'],['EU Funded (H2020) Research Project'],"['research grant', 'research project']",[]
