term,entity_id,text_1,text_2,text_3,text_4,text_5,check
aboriginal,Q1493806,indigenous peoples of Australia,"['Australian aborigine people', 'Australian aborigines', 'Australian indigenous people', 'indigenous people of Australia', 'Aboriginal Australians']",['groupings of people that existed before the British colonisation of Australia in 1788'],['ethnic group'],['indigenous people'],TRUE
aboriginal,Q113211688,traditional Aboriginal and Torres Strait Islander knowledges,,['traditional knowledge of the Indigenous Australian people'],"['knowledge system', 'traditional knowledge']",['knowledge'],TRUE
aboriginal,Q3699302,Australian Aboriginal cultures,['Indigenous heritage in Australia'],['cultures'],[],['culture'],TRUE
aboriginal,Q115959477,"traditional Aboriginal and Torres Strait Islander culture, language and history",,['traditional knowledge of the Indigenous Australian people'],"['knowledge system', 'traditional knowledge']",['knowledge'],TRUE
aboriginal,Q6922014,Mount Margaret Aboriginal Community,"['Mount Margaret Mission', 'Mount Margaret Community']",['community in Western Australia'],['Indigenous Australian community'],[],TRUE
aboriginal,Q7721134,The Canadian Crown and Aboriginal peoples ya,,['association between the Canadian Crown and natives of Canada'],[],[],TRUE
aboriginal,Q106809106,British Columbia Aboriginal Network on Disability Society,,['Indigenous charity in Canada'],['organization'],[],TRUE
aboriginal,Q4668330,Aboriginal English,"['First Nations English', 'Indigenous English', 'Aboriginal English in Canada']",['variety of English dialect used by the Indigenous peoples of Canada'],['dialect'],['Canadian English'],TRUE
aboriginals,Q5260661,Indigenous people of Cape York,['Cape York aboriginals'],,['group of humans'],[],TRUE
aboriginals,Q114875084,Aboriginals Benefit Account,,"['Australian government agency, 1978-']",['Australian Government body'],[],TRUE
aboriginals,Q16211163,Nunga,,term of self-reference for many Australian aboriginals,[],[],TRUE
baboo,Q28911267,Nuclear translation,,doctoral thesis by Sabyasachi Baboo,['doctoral thesis'],[],FALSE
baboo,Q56280783,Kedarnath Bhattacharya,['Baboo Kedarnath Bhattacharya'],['Indian politician and financier'],['human'],[],FALSE
baboo,Q23649752,"Baboo Hurry Bungsho Jabberjee, B.A.","['Baboo Hurry Bungsho Jabberjee', 'Baboo Jabberjee B.A.']",['1897 edition of a work by Thomas Anstey Guthrie'],"['version, edition, or translation']",[],FALSE
baboo,Q65999266,"State Bank of India, Bhanpur Baboo branch","['SBI, Bhanpur Baboo branch']",,['State Bank of India branch'],[],FALSE
barbarian,Q48997993,Barbarian Kings,,"['1980 board game published by Simulations Publications, Inc.']",['board game'],[],FALSE
barbarian,Q79979564,"Gourmet Shop, published in Endgrain:  Contemporary Wood Engravings in North America, 1994-1995",,"bound volume by Barry Moser (American, 1940-); Barbarian Press (1996.351)",['book'],[],FALSE
barbarian,Q59582349,The Balkans during the reign of Justinian : barbarian invasions and imperial responses,,['doctoral thesis by Alexander Constantine Sarantis'],['thesis'],[],FALSE
barbarian,Q4388317,Conversation with a Barbarian: Interviews with a Chechen Field Commander on Banditry and Islam,,['book'],['written work'],[],TRUE
barbarian,Q99691584,"Warfare and Society in the Barbarian West, 450–900",,['book published in 2003'],['book'],[],FALSE
barbarians,Q112333158,New Order Of Barbarians,,"['transcription of Dr. Richard Day’s 1969 remarks about implementation of the “New World System""']",['lecture'],[],FALSE
barbarians,Q113577293,"Greeks, Romans and Barbarians: spheres of interaction, by Barry Cunliffe",,['book review published in Archaeologia Cambrensis in 1990'],['book review'],[],FALSE
barbarians,Q97394741,"Greeks, Romans and Barbarians: Spheres of Interaction",,['book published in 1988'],['book'],[],FALSE
