target_term_en,aat_close_match,wikidata_close_match,wn_close_match
"""bush negro""",none,none,none
"""differently abled""",none,none,none
"""first world""",none,none,none
"""full blood""",none,none,none
"""little people""",none,none,none
"""little person""",none,none,none
"""little persons""",none,none,none
"""people with disabilities""",none,none,none
"""second world""",none,none,none
"""short stature""",none,none,none
"""spiritual healer""",none,none,none
"""third world""",none,none,none
baboo,none,none,none
half-blood,none,none,none
traditional,none,none,traditional.a.01'
lilliputian,none,none,"lilliputian.n.01', 'bantam.s.01'"
homo,none,none,homosexual.n.01'
historic,none,none,historic.s.01'
headhunter,none,none,headhunter.n.02'
discover,none,none,discover.v.07'
root,none,none,ancestor.n.01'
exotic,none,none,"alien.s.02', 'exotic.s.02'"
maroon,300443390,none,none
transvestite,300400510,none,"transvestite.n.01', 'transvestic.s.01'"
"""developing nation""",300379994,none,none
"""low-income country""",300379994,none,none
native,300379660,none,"native.n.01', 'native.n.02', 'native.a.01', 'native.a.03'"
moor,300375152,none,moor.n.01'
dwarf,300236748,none,dwarf.n.01'
oriental,300018279,none,"oriental.n.01', 'oriental.s.01'"
indigenous,300379660,Q103817,autochthonal.s.01'
aboriginal,300379660,Q103817,"aborigine.n.02', 'native.n.01', 'aboriginal.a.01', 'native.a.03'"
mestizo,none,Q106713,mestizo.n.01'
intersex,300386060,Q1097630,hermaphrodite.n.01'
negro,300018125,Q1130557,"black.n.05', 'negro.s.01'"
bombay,none,Q1156,mumbai.n.01'
mumbai,none,Q1156,mumbai.n.01'
batavia,none,Q1199713,none
handicap,300025921,Q12131,"disability.n.01', 'disable.v.02'"
immigrant,300025844,Q12547146,immigrant.n.01'
slave,300230899,Q12773225,slave.n.01'
enslaved,300230899,Q12773225,enslave.v.01'
kaffir,none,Q1285250,kaffir.n.02'
eskimo,300017447,Q131242,eskimo.n.01'
primitive,300056500,Q13165863,"primitive.n.01', 'crude.s.04', 'primitive.s.03', 'primitive.s.04'"
tribe,300049946,Q133311,"tribe.n.01', 'tribe.n.02', 'kin.n.02'"
barbarian,none,Q134313,"savage.n.01', 'peasant.n.03', 'barbarian.s.01'"
calcutta,none,Q1348,kolkata.n.01'
madras,none,Q1352,chennai.n.01'
"""mixed race""",300417371,Q1378555,none
disabled,300025921,Q15978181,"disabled.n.01', 'disable.v.02', 'disabled.s.01'"
western,none,Q160381,western.a.01'
hottentot,300016575,Q1631241,none
half-breed,none,Q17144151,half-breed.n.01'
pygmy,300016430,Q171927,"pygmy.n.01', 'pygmy.n.02'"
lgbt,300400510,Q17884,none
retarded,300025925,Q18394147,"mentally_retarded.n.01', 'retarded.a.01'"
trans,none,Q189125,none
inuit,300017455,Q189975,eskimo.n.01'
mulatto,none,Q191923,mulatto.n.01'
dwarfism,none,Q194101,dwarfism.n.01'
allochtoon,none,Q2008347,none
"""people of color""",none,Q2072081,none
"""person of color""",none,Q2072081,none
mongoloid,none,Q207912,"mongoloid.n.01', 'mongoloid.n.02', 'mongoloid.a.01', 'mongoloid.a.02', 'mongoloid.a.03'"
white,none,Q235155,"white.n.01', 'white.a.02', 'white.s.05'"
mohammedan,300073715,Q2367463,"mohammedan.n.01', 'muhammadan.a.01'"
métis,300265512,Q262457,none
"""medicine man""",300218522,Q266750,none
"""medicine men""",300218522,Q266750,none
"""first nation""",300343402,Q2882257,none
"""first nations""",300343402,Q2882257,none
hermaphrodite,300386060,Q303479,hermaphrodite.n.01'
race,300256475,Q3254959,race.n.03'
"""torres strait""",300021914,Q379636,none
asian,300018279,Q4058325,"asian.n.01', 'asian.a.01'"
"""ethnic group""",300191997,Q41710,none
"""ethnic groups""",300191997,Q41710,none
footman,none,Q4382663,footman.n.01'
amazigh,none,Q45315,none
imazighen,none,Q45315,none
berber,300016593,Q45315,berber.n.01'
khoisan,300016573,Q459387,none
indo,300386794,Q475027,none
indo-european,300386794,Q475027,"aryan.n.02', 'indo-european.a.02'"
muslim,300073715,Q47740,"muslim.n.01', 'muslim.a.01'"
cross-dresser,none,Q486680,transvestite.n.01'
queer,300055188,Q51415,"fagot.n.01', 'gay.s.06'"
colored,none,Q5149038,"colored_person.n.01', 'colored.s.02'"
indian,300017437,Q5398059,"indian.n.01', 'indian.a.02'"
ethnicity,300250435,Q5404323,ethnicity.n.01'
servant,300025874,Q54128,servant.n.01'
coolie,none,Q548135,coolie.n.01'
homosexual,300435115,Q592,"homosexual.n.01', 'homosexual.a.01'"
gay,300055188,Q592,"homosexual.n.01', 'gay.s.06'"
caucasian,300244536,Q7129609,"white.n.01', 'caucasian.s.02'"
"""southern rhodesia""",none,Q750583,none
gypsy,300404070,Q8060,gypsy.n.02'
roma,300404070,Q8060,gypsy.n.02'
black,300435249,Q817393,"black.n.05', 'black.a.02'"
burma,none,Q836,myanmar.n.01'
primitivism,300056548,Q848365,"crudeness.n.01', 'primitivism.n.02'"
page,none,Q855855,"page.n.04', 'page.n.05', 'page.n.06'"
descent,none,Q89659343,"origin.n.02', 'descent.n.04', 'lineage.n.01'"
