term,lang,hits_clean
batavias,en,0
batavia,en,408
southern rhodesia,en,296
madras,en,781
low-income country,en,5
low-income countries,en,8
headhunters,en,27
headhunter,en,27
immigrants,en,591
immigrant,en,648
barbarians,en,147
barbarian,en,178
moors,en,365
moor,en,3885
indians,en,2703
indian,en,9419
homos,en,3
homo,en,6401
exotics,en,5
exotic,en,418
allochtoons,en,0
allochtoon,en,1
medicine men,en,11
medicine man,en,71
third world,en,119
servants,en,972
servant,en,8617
hottentots,en,14
hottentot,en,14
gypsies,en,156
gypsys,en,10
gypsy,en,678
coolies,en,19
coolie,en,20
whitest,en,5
whiter,en,36
whites,en,529
white,en,6450
caucasians,en,13
caucasian,en,642
kaffirs,en,3
kaffir,en,16
descent,en,9449
mohammedans,en,4
mohammedan,en,35
mongoloids,en,0
mongoloid,en,11
discover,en,283
homosexuals,en,31
homosexual,en,307
baboos,en,0
baboo,en,26
pygmys,en,0
pygmy,en,73
pages,en,1088
page,en,329
bush negroes,en,0
bush negros,en,0
bush negro,en,1
second world,en,908
natives,en,242
native,en,5302
bombays,en,0
bombay,en,872
negros,en,762
negroes,en,102
negro,en,3137
berbers,en,56
berber,en,407
mulattos,en,1
mulattoes,en,3
mulatto,en,49
disableds,en,0
disabled,en,1078
roots,en,1233
mestizoes,en,0
mestizos,en,12
mestizo,en,41
developing nation,en,1
developing nations,en,36
westerns,en,66
western,en,9178
aboriginals,en,19
aboriginal,en,1803
transvestites,en,8
transvestite,en,28
eskimos,en,96
eskimoes,en,0
eskimo,en,276
hermaphrodites,en,5
hermaphrodite,en,79
gayest,en,2
gays,en,88
gayer,en,25
gay,en,2883
indos,en,6
indo,en,4298
orientals,en,26
oriental,en,4239
coloreds,en,0
colored,en,9625
inuits,en,4
inuit,en,420
blacks,en,347
blacker,en,70
blackest,en,9
black,en,8035
queers,en,31
queerest,en,1
queerer,en,1
queer,en,706
calcuttas,en,0
calcutta,en,971
ethnic group,en,4093
ethnic groups,en,616
maroons,en,316
maroon,en,245
transs,en,0
trans,en,7705
half-breeds,en,1
half-breed,en,42
lilliputians,en,3
lilliputian,en,8
dwarfer,en,0
dwarves,en,60
dwarfs,en,159
dwarfest,en,0
dwarf,en,9095
half-bloods,en,0
half-blood,en,48
burma,en,2049
races,en,1955
race,en,9270
handicaps,en,22
handicap,en,517
primitives,en,49
primitive,en,898
retarded,en,64
footman,en,49
footmen,en,10
slaves,en,494
slave,en,2395
first world,en,827
ethnicities,en,28
ethnicity,en,692
primitivism,en,26
indigenous,en,4303
traditionals,en,0
traditional,en,7893
full blood,en,7
metis,en,104
métis,en,180
tribes,en,1167
tribe,en,3978
politionele acties,nl,1
politionele actie,nl,2
birma,nl,42
exotische,nl,26
exotischere,nl,0
exotischer,nl,3
exotisch,nl,19
handicaps,nl,2
handicap,nl,42
medicijnmannen,nl,0
medicijnman,nl,9
lilliputters,nl,0
lilliputter,nl,2
homo's,nl,2
homo,nl,3208
mongools,nl,79
mongolen,nl,10
mongool,nl,1
japs,nl,1
jappen,nl,1
jap,nl,27
islamieten,nl,1
islamiet,nl,1
westersere,nl,0
westerse,nl,71
westerser,nl,0
wester,nl,150
westerste,nl,0
westerst,nl,0
westers,nl,8
etniciteiten,nl,0
etniciteit,nl,13
homoseksualiteit,nl,24
negers,nl,5
neger,nl,38
bedienden,nl,13
bediendes,nl,0
bediend,nl,10
bediende,nl,201
hermafrodieten,nl,0
hermafrodiet,nl,5
inuit,nl,19
inuk,nl,5
indiaans,nl,10
indianen,nl,36
indiaan,nl,9174
afkomsten,nl,0
afkomst,nl,141
blankst,nl,0
blanke,nl,32
blankste,nl,0
blankere,nl,0
blanker,nl,3
blanks,nl,7
blanken,nl,21
blank,nl,107
bombay,nl,188
knechten,nl,4
knechts,nl,6
knecht,nl,58
jappenkampen,nl,1
jappenkamp,nl,6
homoseksueels,nl,0
homoseksuelen,nl,6
homoseksueelst,nl,0
homoseksueelste,nl,0
homoseksueler,nl,0
homoseksuelere,nl,0
homoseksuele,nl,10
homoseksueel,nl,10
stammen,nl,25
stam,nl,197
oriëntaal,nl,0
oriëntaalsere,nl,0
oriëntaler,nl,0
oriëntaalste,nl,0
oriëntaalser,nl,0
oriëntale,nl,0
oriëntalere,nl,0
oriëntaalse,nl,6
oriëntaalst,nl,0
oriëntaals,nl,14
batavia,nl,134
halfbloeden,nl,0
halfbloed,nl,4
boslandcreolen,nl,0
boslandcreool,nl,1
queer,nl,94
zigeuners,nl,20
zigeuner,nl,12
bosnegers,nl,1
bosneger,nl,1
ontwikkelingslanden,nl,9
ontwikkelingsland,nl,2
zwartste,nl,0
zwarten,nl,7
zwartst,nl,0
zwartere,nl,0
zwarte,nl,852
zwarter,nl,0
zwarts,nl,11
zwart,nl,496
traditioneelste,nl,0
traditioneels,nl,0
traditioneelst,nl,0
traditionelere,nl,0
traditionele,nl,409
traditioneler,nl,0
traditioneel,nl,200
mestiezen,nl,1
mesties,nl,2
primitieve,nl,24
primitiefste,nl,0
primitievere,nl,0
primitiefst,nl,0
primitiefs,nl,0
primitiever,nl,0
primitief,nl,14
ontdekken,nl,15
koppensnellers,nl,2
koppensneller,nl,0
lagelonenlanden,nl,0
lagelonenland,nl,1
inlanders,nl,2
inlander,nl,13
dwergen,nl,21
dwerg,nl,126
gaye,nl,128
gayer,nl,7
gayst,nl,0
gays,nl,22
gayste,nl,0
gay,nl,402
baboes,nl,0
baboe,nl,3
indische,nl,375
indischere,nl,0
indischer,nl,1
indisch,nl,112
berbers,nl,9
berber,nl,19
pygmeeën,nl,4
pygmee,nl,1
gekleurdste,nl,0
gekleurde,nl,18
gekleurdst,nl,0
gekleurder,nl,0
gekleurds,nl,0
gekleurdere,nl,0
gekleurd,nl,9
roots,nl,229
kaukasischer,nl,0
kaukasischere,nl,0
kaukasische,nl,25
kaukasisch,nl,53
achterlijkst,nl,0
achterlijkste,nl,0
achterlijker,nl,0
achterlijkheid,nl,0
achterlijkere,nl,0
achterlijken,nl,0
achterlijke,nl,0
achterlijks,nl,0
achterlijk,nl,1
mulatten,nl,2
mulat,nl,8
rast,nl,31
rassere,nl,0
rassen,nl,16
rasse,nl,5
rasser,nl,2
raste,nl,1
ras,nl,644
etnische groepen,nl,4
etnische groep,nl,9245
eerste wereld,nl,1
aboriginals,nl,6
aboriginal,nl,55
travestieten,nl,0
travestiet,nl,4
barbaren,nl,4
barbaar,nl,5
derde wereld,nl,5
slaven,nl,38
slaaf,nl,43
primitivismen,nl,0
primitivisme,nl,2
eskimo's,nl,4
eskimo,nl,92
pages,nl,99
page,nl,20
zuid-rhodesië,nl,17
inboorlingen,nl,0
inboorling,nl,1
hottentotten,nl,1
hottentot,nl,1
calcutta,nl,367
indo's,nl,1
indo,nl,144
mohammedanen,nl,2
mohammedaan,nl,1
madras,nl,123
moors,nl,56
moren,nl,20
moor,nl,626
gehandicapten,nl,46
gehandicapte,nl,8
koelies,nl,1
koelie,nl,1
volbloeden,nl,0
volbloed,nl,6
metis,nl,29
métis,nl,9
marrons,nl,14
marron,nl,31
kaffers,nl,1
kaffer,nl,2
allochtoons,nl,0
allochtoner,nl,0
allochtone,nl,2
allochtonere,nl,0
allochtoonst,nl,0
allochtoonste,nl,0
allochtonen,nl,1
allochtoon,nl,3
tweede wereld,nl,2
wits,nl,12
witten,nl,299
witte,nl,1487
witter,nl,22
wittere,nl,1
witst,nl,0
witste,nl,1
wit,nl,9440
inheemsere,nl,0
inheemste,nl,0
inheemse,nl,73
inheemst,nl,0
inheemser,nl,0
inheems,nl,41
transen,nl,0
trans,nl,410
