lemma,lang,e_no_filter,e_filter_keywords,e_filter_keywords_statements
aboriginal,en,7980,2138,1880
allochtoon,en,5,4,3
baboo,en,231,93,41
barbarian,en,631,498,366
batavia,en,795,591,562
berber,en,1853,727,635
black,en,133834,45454,34522
bombay,en,2877,1715,1408
burma,en,5081,3720,3368
bush negro,en,10,1,1
calcutta,en,3120,1864,1462
caucasian,en,7376,870,688
colored,en,205250,202106,201803
coolie,en,148,87,55
descent,en,21161,18145,17808
developing nations,en,494,57,38
disabled,en,8882,1460,1155
discover,en,4240,2692,2590
dwarf,en,33516,17763,15787
eskimo,en,1636,720,601
ethnic groups,en,8443,4855,4774
ethnicity,en,10101,1231,799
exotic,en,7521,1475,456
first world,en,1964,1067,881
footmen,en,147,102,79
full blood,en,113,9,8
gay,en,24690,6567,5180
gypsy,en,2557,1200,937
half-blood,en,66,55,51
half-breed,en,74,63,49
handicap,en,4286,893,756
headhunter,en,130,105,65
hermaphrodite,en,929,162,104
homo,en,236373,232008,139395
homosexual,en,3885,525,430
hottentot,en,124,69,38
immigrant,en,15151,2101,1396
indian,en,178614,129111,120725
indigenous,en,22509,5382,4469
indo,en,9062,5703,4905
inuit,en,1790,641,586
kaffir,en,67,41,23
lilliputian,en,67,21,13
low-income countries,en,1185,49,28
madras,en,2233,1197,1006
maroon,en,1179,744,631
medicine man,en,270,110,89
mestizo,en,625,100,83
mohammedan,en,91,53,45
mongoloid,en,529,24,15
moor,en,9220,5579,5137
mulatto,en,148,68,56
métis,en,1091,734,590
native,en,51530,9514,5860
negro,en,14737,8314,6991
oriental,en,17944,13146,11833
page,en,7128256,6825480,5360308
primitive,en,9642,1922,1230
primitivism,en,51,34,27
pygmy,en,1489,555,79
queer,en,2273,1252,970
race,en,58881,36741,34561
retarded,en,8951,230,66
roots,en,24692,3055,1456
second world,en,1836,1080,936
servant,en,12513,10844,10614
slave,en,6400,4333,3712
southern rhodesia,en,574,356,307
third world,en,1698,257,125
traditional,en,42579,9625,8221
trans,en,44909,15108,8948
transvestite,en,160,44,41
tribe,en,18917,13795,5591
western,en,128318,65013,55925
white,en,233465,69812,57836
aboriginal,nl,7980,1992,1901
achterlijk,nl,2,2,1
afkomst,nl,141,141,141
allochtoon,nl,16,10,9
baboe,nl,20,13,12
barbaar,nl,60,58,43
batavia,nl,795,585,561
bediende,nl,233,233,231
berber,nl,1853,677,638
birma,nl,1017,990,964
blank,nl,13925,4562,4221
bombay,nl,2873,1544,1405
boslandcreool,nl,1,1,1
bosneger,nl,3,3,2
calcutta,nl,3116,1539,1472
derde wereld,nl,6,5,5
dwerg,nl,168,167,150
eerste wereld,nl,1,1,1
eskimo,nl,1028,540,485
etniciteit,nl,20,16,16
etnische groep,nl,20219,20215,20214
exotisch,nl,151,80,72
gay,nl,26801,6674,6124
gehandicapte,nl,60,58,57
gekleurd,nl,29,28,27
halfbloed,nl,15,15,4
handicap,nl,4286,818,769
hermafrodiet,nl,5,5,5
homo,nl,236352,231738,139396
homoseksualiteit,nl,33,31,30
homoseksueel,nl,28,27,27
hottentot,nl,95,56,28
inboorling,nl,1,1,1
indiaan,nl,34660,34659,34649
indisch,nl,8239,8136,7698
indo,nl,9037,5141,4883
inheems,nl,151,140,127
inlander,nl,74,33,29
inuk,nl,1846,643,616
islamiet,nl,3,3,3
jap,nl,2619,240,199
jappenkamp,nl,9,8,8
kaffer,nl,67,15,9
kaukasisch,nl,215,200,115
knecht,nl,3101,370,343
koelie,nl,2,2,2
koppensneller,nl,4,3,2
lagelonenland,nl,1,1,1
lilliputter,nl,2,2,2
madras,nl,2233,1063,1007
marron,nl,1508,543,385
medicijnman,nl,9,9,9
mesties,nl,4,4,4
mohammedaan,nl,3,3,3
mongool,nl,132,131,127
moor,nl,9748,5590,5369
mulat,nl,274,37,35
métis,nl,1091,660,595
neger,nl,202,148,129
ontdekken,nl,2001,2001,2001
ontwikkelingsland,nl,16,16,16
oriëntaals,nl,26,26,21
page,nl,7128257,6913545,5452690
politionele actie,nl,5,5,5
primitief,nl,45,44,40
primitivisme,nl,6,6,5
pygmee,nl,97,94,17
queer,nl,2164,988,928
ras,nl,30990,10036,4987
roots,nl,24692,2126,1519
slaaf,nl,1104,246,215
stam,nl,3709,1060,622
traditioneel,nl,617,615,615
trans,nl,44910,13562,8964
travestiet,nl,4,4,4
tweede wereld,nl,2,2,2
volbloed,nl,7,7,6
westers,nl,4635,969,941
wit,nl,45949,26520,25636
zigeuner,nl,339,124,101
zuid-rhodesië,nl,17,17,17
zwart,nl,4876,2264,1591
