term,lang,e_no_filter,e_filter_keywords,e_filter_keywords_statements
batavias,en,0,0,0
batavia,en,795,591,562
southern rhodesia,en,574,356,307
madras,en,2233,1197,1006
low-income country,en,278,15,9
low-income countries,en,907,34,19
headhunters,en,71,59,32
headhunter,en,59,46,33
immigrants,en,7889,1064,698
immigrant,en,7262,1037,698
barbarians,en,314,241,169
barbarian,en,317,257,197
moors,en,1058,540,471
moor,en,8162,5039,4666
indians,en,8885,3229,2877
indian,en,169729,125882,117848
homos,en,24,12,10
homo,en,236349,231996,139385
exotics,en,115,29,6
exotic,en,7406,1446,450
allochtoons,en,1,0,0
allochtoon,en,4,4,3
medicine men,en,84,19,13
medicine man,en,186,91,76
third world,en,1698,257,125
servants,en,1646,1078,1007
servant,en,10867,9766,9607
hottentots,en,45,27,23
hottentot,en,79,42,15
gypsies,en,424,216,167
gypsys,en,17,16,10
gypsy,en,2116,968,760
coolies,en,57,38,24
coolie,en,91,49,31
whitest,en,15,12,6
whiter,en,117,52,41
whites,en,2821,672,580
white,en,230512,69076,57209
caucasians,en,1665,32,18
caucasian,en,5711,838,670
kaffirs,en,4,3,3
kaffir,en,63,38,20
descent,en,21161,18145,17808
mohammedans,en,20,5,5
mohammedan,en,71,48,40
mongoloids,en,96,2,0
mongoloid,en,433,22,15
discover,en,4240,2692,2590
homosexuals,en,613,57,44
homosexual,en,3272,468,386
baboos,en,0,0,0
baboo,en,231,93,41
pygmys,en,0,0,0
pygmy,en,1489,555,79
pages,en,27735,19056,17029
page,en,7100521,6806424,5343279
bush negroes,en,5,0,0
bush negros,en,0,0,0
bush negro,en,5,1,1
second world,en,1836,1080,936
natives,en,2020,402,270
native,en,49510,9112,5590
bombays,en,4,4,4
bombay,en,2873,1711,1404
negros,en,1277,1182,1066
negroes,en,760,147,112
negro,en,12700,6985,5813
berbers,en,332,90,78
berber,en,1521,637,557
mulattos,en,11,3,1
mulattoes,en,23,4,3
mulatto,en,114,61,52
disableds,en,0,0,0
disabled,en,8882,1460,1155
roots,en,24692,3055,1456
mestizoes,en,1,0,0
mestizos,en,161,18,17
mestizo,en,463,82,66
developing nation,en,126,3,2
developing nations,en,368,54,36
westerns,en,112,96,85
western,en,128206,64917,55840
aboriginals,en,195,34,29
aboriginal,en,7785,2104,1851
transvestites,en,71,11,10
transvestite,en,89,33,31
eskimos,en,614,150,123
eskimoes,en,6,1,1
eskimo,en,1016,569,477
hermaphrodites,en,225,23,8
hermaphrodite,en,704,139,96
gayest,en,2,2,2
gays,en,463,251,224
gayer,en,782,181,137
gay,en,23443,6133,4817
indos,en,26,19,17
indo,en,9036,5684,4888
orientals,en,424,282,272
oriental,en,17520,12864,11561
coloreds,en,6,0,0
colored,en,205244,202106,201803
inuits,en,52,33,32
inuit,en,1738,608,554
blacks,en,3288,508,384
blacker,en,1218,396,312
blackest,en,22,21,10
black,en,129306,44529,33816
queers,en,96,73,45
queerest,en,2,1,1
queerer,en,11,10,10
queer,en,2164,1168,914
calcuttas,en,4,4,3
calcutta,en,3116,1860,1459
ethnic group,en,4948,4155,4129
ethnic groups,en,3495,700,645
maroons,en,404,369,332
maroon,en,775,375,299
transs,en,5,5,4
trans,en,44904,15103,8944
half-breeds,en,8,5,4
half-breed,en,66,58,45
lilliputians,en,11,5,4
lilliputian,en,56,16,9
dwarfer,en,0,0,0
dwarves,en,109,92,70
dwarfs,en,4281,527,193
dwarfest,en,0,0,0
dwarf,en,29126,17144,15524
half-bloods,en,0,0,0
half-blood,en,66,55,51
burma,en,5081,3720,3368
races,en,4690,2529,2223
race,en,54191,34212,32338
handicaps,en,906,50,30
handicap,en,3380,843,726
primitives,en,502,201,98
primitive,en,9140,1721,1132
retarded,en,8951,230,66
footman,en,133,88,67
footmen,en,14,14,12
slaves,en,1215,794,644
slave,en,5185,3539,3068
first world,en,1964,1067,881
ethnicities,en,377,44,33
ethnicity,en,9724,1187,766
primitivism,en,51,34,27
indigenous,en,22509,5382,4469
traditionals,en,3,1,1
traditional,en,42576,9624,8220
full blood,en,113,9,8
metis,en,708,482,350
métis,en,383,252,240
tribes,en,2622,1461,1235
tribe,en,16295,12334,4356
politionele acties,nl,1,1,1
politionele actie,nl,4,4,4
birma,nl,1017,990,964
exotische,nl,109,46,44
exotischere,nl,0,0,0
exotischer,nl,21,13,9
exotisch,nl,21,21,19
handicaps,nl,906,31,29
handicap,nl,3380,787,740
medicijnmannen,nl,0,0,0
medicijnman,nl,9,9,9
lilliputters,nl,0,0,0
lilliputter,nl,2,2,2
homo's,nl,3,3,3
homo,nl,236349,231735,139393
mongools,nl,80,80,80
mongolen,nl,50,49,46
mongool,nl,2,2,1
japs,nl,183,27,15
jappen,nl,2,2,2
jap,nl,2434,211,182
islamieten,nl,2,2,2
islamiet,nl,1,1,1
westersere,nl,0,0,0
westerse,nl,97,85,81
westerser,nl,0,0,0
wester,nl,4314,863,841
westerste,nl,0,0,0
westerst,nl,0,0,0
westers,nl,224,21,19
etniciteiten,nl,0,0,0
etniciteit,nl,20,16,16
homoseksualiteit,nl,33,31,30
negers,nl,16,11,11
neger,nl,186,137,118
bedienden,nl,15,15,15
bediendes,nl,0,0,0
bediend,nl,10,10,10
bediende,nl,208,208,206
hermafrodieten,nl,0,0,0
hermafrodiet,nl,5,5,5
inuit,nl,1738,573,557
inuk,nl,108,70,59
indiaans,nl,11,11,10
indianen,nl,47,46,44
indiaan,nl,34602,34602,34595
afkomsten,nl,0,0,0
afkomst,nl,141,141,141
blankst,nl,0,0,0
blanke,nl,1579,225,175
blankste,nl,0,0,0
blankere,nl,0,0,0
blanker,nl,74,25,20
blanks,nl,743,125,109
blanken,nl,416,79,73
blank,nl,11113,4108,3844
bombay,nl,2873,1544,1405
knechten,nl,63,8,8
knechts,nl,13,13,13
knecht,nl,3025,349,322
jappenkampen,nl,3,2,2
jappenkamp,nl,6,6,6
homoseksueels,nl,0,0,0
homoseksuelen,nl,7,7,7
homoseksueelst,nl,0,0,0
homoseksueelste,nl,0,0,0
homoseksueler,nl,0,0,0
homoseksuelere,nl,0,0,0
homoseksuele,nl,11,10,10
homoseksueel,nl,10,10,10
stammen,nl,294,156,149
stam,nl,3415,904,473
oriëntaal,nl,0,0,0
oriëntaalsere,nl,0,0,0
oriëntaler,nl,0,0,0
oriëntaalste,nl,0,0,0
oriëntaalser,nl,0,0,0
oriëntale,nl,2,2,1
oriëntalere,nl,0,0,0
oriëntaalse,nl,10,10,6
oriëntaalst,nl,0,0,0
oriëntaals,nl,14,14,14
batavia,nl,795,585,561
halfbloeden,nl,0,0,0
halfbloed,nl,15,15,4
boslandcreolen,nl,0,0,0
boslandcreool,nl,1,1,1
queer,nl,2164,988,928
zigeuners,nl,23,22,21
zigeuner,nl,316,102,80
bosnegers,nl,2,2,1
bosneger,nl,1,1,1
ontwikkelingslanden,nl,13,13,13
ontwikkelingsland,nl,3,3,3
zwartste,nl,0,0,0
zwarten,nl,10,10,8
zwartst,nl,0,0,0
zwartere,nl,0,0,0
zwarte,nl,1469,1429,908
zwarter,nl,2,1,1
zwarts,nl,376,54,25
zwart,nl,3019,770,649
traditioneelste,nl,0,0,0
traditioneels,nl,0,0,0
traditioneelst,nl,0,0,0
traditionelere,nl,0,0,0
traditionele,nl,416,414,414
traditioneler,nl,0,0,0
traditioneel,nl,201,201,201
mestiezen,nl,1,1,1
mesties,nl,3,3,3
primitieve,nl,29,28,25
primitiefste,nl,0,0,0
primitievere,nl,0,0,0
primitiefst,nl,0,0,0
primitiefs,nl,0,0,0
primitiever,nl,0,0,0
primitief,nl,16,16,15
ontdekken,nl,2001,2001,2001
koppensnellers,nl,4,3,2
koppensneller,nl,0,0,0
lagelonenlanden,nl,0,0,0
lagelonenland,nl,1,1,1
inlanders,nl,5,4,4
inlander,nl,69,29,25
dwergen,nl,30,29,23
dwerg,nl,138,138,127
gaye,nl,2111,620,528
gayer,nl,782,151,134
gayst,nl,2,1,1
gays,nl,463,239,233
gayste,nl,0,0,0
gay,nl,23443,5663,5228
baboes,nl,0,0,0
baboe,nl,20,13,12
indische,nl,3751,3693,3442
indischere,nl,1,1,1
indischer,nl,4129,4102,3928
indisch,nl,358,340,327
berbers,nl,332,79,77
berber,nl,1521,598,561
pygmeeën,nl,6,6,4
pygmee,nl,91,88,13
