lemma,lang,e_clean
aboriginal,en,1822
allochtoon,en,1
baboo,en,26
barbarian,en,325
batavia,en,408
berber,en,463
black,en,8461
bombay,en,872
burma,en,2049
bush negro,en,1
calcutta,en,971
caucasian,en,655
colored,en,9625
coolie,en,39
descent,en,9449
developing nations,en,37
disabled,en,1078
discover,en,283
dwarf,en,9314
eskimo,en,372
ethnic groups,en,4709
ethnicity,en,720
exotic,en,423
first world,en,827
footmen,en,59
full blood,en,7
gay,en,2998
gypsy,en,844
half-blood,en,48
half-breed,en,43
handicap,en,539
headhunter,en,54
hermaphrodite,en,84
homo,en,6404
homosexual,en,338
hottentot,en,28
immigrant,en,1239
indian,en,12122
indigenous,en,4303
indo,en,4304
inuit,en,424
kaffir,en,19
lilliputian,en,11
low-income countries,en,13
madras,en,781
maroon,en,561
medicine man,en,82
mestizo,en,53
mohammedan,en,39
mongoloid,en,11
moor,en,4250
mulatto,en,53
métis,en,284
native,en,5544
negro,en,4001
oriental,en,4265
page,en,1417
primitive,en,947
primitivism,en,26
pygmy,en,73
queer,en,739
race,en,11225
retarded,en,64
roots,en,1233
second world,en,908
servant,en,9589
slave,en,2889
southern rhodesia,en,296
third world,en,119
traditional,en,7893
trans,en,7705
transvestite,en,36
tribe,en,5145
western,en,9244
white,en,7020
aboriginal,nl,61
achterlijk,nl,1
afkomst,nl,141
allochtoon,nl,6
baboe,nl,3
barbaar,nl,9
batavia,nl,134
bediende,nl,224
berber,nl,28
birma,nl,42
blank,nl,170
bombay,nl,188
boslandcreool,nl,1
bosneger,nl,2
calcutta,nl,367
derde wereld,nl,5
dwerg,nl,147
eerste wereld,nl,1
eskimo,nl,96
etniciteit,nl,13
etnische groep,nl,9249
exotisch,nl,48
gay,nl,559
gehandicapte,nl,54
gekleurd,nl,27
halfbloed,nl,4
handicap,nl,44
hermafrodiet,nl,5
homo,nl,3210
homoseksualiteit,nl,24
homoseksueel,nl,26
hottentot,nl,2
inboorling,nl,1
indiaan,nl,9220
indisch,nl,488
indo,nl,145
inheems,nl,114
inlander,nl,15
inuk,nl,24
islamiet,nl,2
jap,nl,29
jappenkamp,nl,7
kaffer,nl,3
kaukasisch,nl,78
knecht,nl,68
koelie,nl,2
koppensneller,nl,2
lagelonenland,nl,1
lilliputter,nl,2
madras,nl,123
marron,nl,45
medicijnman,nl,9
mesties,nl,3
mohammedaan,nl,3
mongool,nl,90
moor,nl,702
mulat,nl,10
métis,nl,38
neger,nl,43
ontdekken,nl,15
ontwikkelingsland,nl,11
oriëntaals,nl,20
page,nl,119
politionele actie,nl,3
primitief,nl,38
primitivisme,nl,2
pygmee,nl,5
queer,nl,94
ras,nl,699
roots,nl,229
slaaf,nl,81
stam,nl,222
traditioneel,nl,609
trans,nl,410
travestiet,nl,4
tweede wereld,nl,2
volbloed,nl,6
westers,nl,229
wit,nl,11262
zigeuner,nl,32
zuid-rhodesië,nl,17
zwart,nl,1366
