lemma,term,lang,e_clean
batavia,batavias,en,0
batavia,batavia,en,408
southern rhodesia,southern rhodesia,en,296
madras,madras,en,781
low-income countries,low-income country,en,5
low-income countries,low-income countries,en,8
headhunter,headhunters,en,27
headhunter,headhunter,en,27
immigrant,immigrants,en,591
immigrant,immigrant,en,648
barbarian,barbarians,en,147
barbarian,barbarian,en,178
moor,moors,en,365
moor,moor,en,3885
indian,indians,en,2703
indian,indian,en,9419
homo,homos,en,3
homo,homo,en,6401
exotic,exotics,en,5
exotic,exotic,en,418
allochtoon,allochtoons,en,0
allochtoon,allochtoon,en,1
medicine man,medicine men,en,11
medicine man,medicine man,en,71
third world,third world,en,119
servant,servants,en,972
servant,servant,en,8617
hottentot,hottentots,en,14
hottentot,hottentot,en,14
gypsy,gypsies,en,156
gypsy,gypsys,en,10
gypsy,gypsy,en,678
coolie,coolies,en,19
coolie,coolie,en,20
white,whitest,en,5
white,whiter,en,36
white,whites,en,529
white,white,en,6450
caucasian,caucasians,en,13
caucasian,caucasian,en,642
kaffir,kaffirs,en,3
kaffir,kaffir,en,16
descent,descent,en,9449
mohammedan,mohammedans,en,4
mohammedan,mohammedan,en,35
mongoloid,mongoloids,en,0
mongoloid,mongoloid,en,11
discover,discover,en,283
homosexual,homosexuals,en,31
homosexual,homosexual,en,307
baboo,baboos,en,0
baboo,baboo,en,26
pygmy,pygmys,en,0
pygmy,pygmy,en,73
page,pages,en,1088
page,page,en,329
bush negro,bush negroes,en,0
bush negro,bush negros,en,0
bush negro,bush negro,en,1
second world,second world,en,908
native,natives,en,242
native,native,en,5302
bombay,bombays,en,0
bombay,bombay,en,872
negro,negros,en,762
negro,negroes,en,102
negro,negro,en,3137
berber,berbers,en,56
berber,berber,en,407
mulatto,mulattos,en,1
mulatto,mulattoes,en,3
mulatto,mulatto,en,49
disabled,disableds,en,0
disabled,disabled,en,1078
roots,roots,en,1233
mestizo,mestizoes,en,0
mestizo,mestizos,en,12
mestizo,mestizo,en,41
developing nations,developing nation,en,1
developing nations,developing nations,en,36
western,westerns,en,66
western,western,en,9178
aboriginal,aboriginals,en,19
aboriginal,aboriginal,en,1803
transvestite,transvestites,en,8
transvestite,transvestite,en,28
eskimo,eskimos,en,96
eskimo,eskimoes,en,0
eskimo,eskimo,en,276
hermaphrodite,hermaphrodites,en,5
hermaphrodite,hermaphrodite,en,79
gay,gayest,en,2
gay,gays,en,88
gay,gayer,en,25
gay,gay,en,2883
indo,indos,en,6
indo,indo,en,4298
oriental,orientals,en,26
oriental,oriental,en,4239
colored,coloreds,en,0
