lemma,lang,n_e_retrieved
aboriginal,en,1876
allochtoon,en,3
baboo,en,41
barbarian,en,366
batavia,en,562
berber,en,634
black,en,10633
bombay,en,1408
burma,en,3326
bush negro,en,1
calcutta,en,1461
caucasian,en,687
colored,en,9645
coolie,en,55
descent,en,9573
developing nations,en,38
disabled,en,1154
discover,en,2584
dwarf,en,9437
eskimo,en,601
ethnic groups,en,4769
ethnicity,en,799
exotic,en,456
first world,en,880
footmen,en,79
full blood,en,8
gay,en,5164
gypsy,en,937
half-blood,en,51
half-breed,en,49
handicap,en,756
headhunter,en,65
hermaphrodite,en,104
homo,en,9848
homosexual,en,430
hottentot,en,38
immigrant,en,1396
indian,en,12821
indigenous,en,4439
indo,en,4870
inuit,en,584
kaffir,en,23
lilliputian,en,13
low-income countries,en,28
madras,en,1003
maroon,en,631
medicine man,en,89
mestizo,en,83
mohammedan,en,45
mongoloid,en,15
moor,en,5107
mulatto,en,56
métis,en,590
native,en,5837
negro,en,6986
oriental,en,10097
page,en,19875
primitive,en,1227
primitivism,en,27
pygmy,en,79
queer,en,968
race,en,12200
retarded,en,66
roots,en,1451
second world,en,936
servant,en,10480
slave,en,3707
southern rhodesia,en,307
third world,en,125
traditional,en,8178
trans,en,8884
transvestite,en,41
tribe,en,5573
western,en,10024
white,en,10542
aboriginal,nl,1901
achterlijk,nl,1
afkomst,nl,141
allochtoon,nl,9
baboe,nl,12
barbaar,nl,43
batavia,nl,561
bediende,nl,231
berber,nl,636
birma,nl,964
blank,nl,4191
bombay,nl,1405
boslandcreool,nl,1
bosneger,nl,2
calcutta,nl,1471
derde wereld,nl,5
dwerg,nl,150
eerste wereld,nl,1
eskimo,nl,485
etniciteit,nl,16
etnische groep,nl,9249
exotisch,nl,72
gay,nl,6111
gehandicapte,nl,57
gekleurd,nl,27
halfbloed,nl,4
handicap,nl,769
hermafrodiet,nl,5
homo,nl,9905
homoseksualiteit,nl,30
homoseksueel,nl,27
hottentot,nl,28
inboorling,nl,1
indiaan,nl,9228
indisch,nl,7683
indo,nl,4861
inheems,nl,127
inlander,nl,29
inuk,nl,616
islamiet,nl,3
jap,nl,199
jappenkamp,nl,8
kaffer,nl,9
kaukasisch,nl,115
knecht,nl,343
koelie,nl,2
koppensneller,nl,2
lagelonenland,nl,1
lilliputter,nl,2
madras,nl,1006
marron,nl,385
medicijnman,nl,9
mesties,nl,4
mohammedaan,nl,3
mongool,nl,127
moor,nl,5349
mulat,nl,35
métis,nl,595
neger,nl,129
ontdekken,nl,2001
ontwikkelingsland,nl,16
oriëntaals,nl,21
page,nl,19872
politionele actie,nl,5
primitief,nl,40
primitivisme,nl,5
pygmee,nl,17
queer,nl,928
ras,nl,4974
roots,nl,1513
slaaf,nl,215
stam,nl,622
traditioneel,nl,615
trans,nl,8886
travestiet,nl,4
tweede wereld,nl,2
volbloed,nl,6
westers,nl,941
wit,nl,13208
zigeuner,nl,101
zuid-rhodesië,nl,17
zwart,nl,1590
