lemma,term,lang,n_e_retrieved
batavia,batavias,en,0
batavia,batavia,en,562
southern rhodesia,southern rhodesia,en,307
madras,madras,en,1003
low-income countries,low-income country,en,9
low-income countries,low-income countries,en,19
headhunter,headhunters,en,32
headhunter,headhunter,en,33
immigrant,immigrants,en,698
immigrant,immigrant,en,698
barbarian,barbarians,en,169
barbarian,barbarian,en,197
moor,moors,en,471
moor,moor,en,4636
indian,indians,en,2863
indian,indian,en,9958
homo,homos,en,10
homo,homo,en,9838
exotic,exotics,en,6
exotic,exotic,en,450
allochtoon,allochtoons,en,0
allochtoon,allochtoon,en,3
medicine man,medicine men,en,13
medicine man,medicine man,en,76
third world,third world,en,125
servant,servants,en,1007
servant,servant,en,9473
hottentot,hottentots,en,23
hottentot,hottentot,en,15
gypsy,gypsies,en,167
gypsy,gypsys,en,10
gypsy,gypsy,en,760
coolie,coolies,en,24
coolie,coolie,en,31
white,whitest,en,6
white,whiter,en,41
white,whites,en,578
white,white,en,9917
caucasian,caucasians,en,18
caucasian,caucasian,en,669
kaffir,kaffirs,en,3
kaffir,kaffir,en,20
descent,descent,en,9573
mohammedan,mohammedans,en,5
mohammedan,mohammedan,en,40
mongoloid,mongoloids,en,0
mongoloid,mongoloid,en,15
discover,discover,en,2584
homosexual,homosexuals,en,44
homosexual,homosexual,en,386
baboo,baboos,en,0
baboo,baboo,en,41
pygmy,pygmys,en,0
pygmy,pygmy,en,79
page,pages,en,9888
page,page,en,9987
bush negro,bush negroes,en,0
bush negro,bush negros,en,0
bush negro,bush negro,en,1
second world,second world,en,936
native,natives,en,270
native,native,en,5567
bombay,bombays,en,4
bombay,bombay,en,1404
negro,negros,en,1066
negro,negroes,en,112
negro,negro,en,5808
berber,berbers,en,78
berber,berber,en,556
mulatto,mulattos,en,1
mulatto,mulattoes,en,3
mulatto,mulatto,en,52
disabled,disableds,en,0
disabled,disabled,en,1154
roots,roots,en,1451
mestizo,mestizoes,en,0
mestizo,mestizos,en,17
mestizo,mestizo,en,66
developing nations,developing nation,en,2
developing nations,developing nations,en,36
western,westerns,en,85
western,western,en,9939
aboriginal,aboriginals,en,29
aboriginal,aboriginal,en,1847
transvestite,transvestites,en,10
transvestite,transvestite,en,31
eskimo,eskimos,en,123
eskimo,eskimoes,en,1
eskimo,eskimo,en,477
hermaphrodite,hermaphrodites,en,8
hermaphrodite,hermaphrodite,en,96
gay,gayest,en,2
gay,gays,en,224
gay,gayer,en,137
gay,gay,en,4801
indo,indos,en,17
indo,indo,en,4853
oriental,orientals,en,272
oriental,oriental,en,9825
colored,coloreds,en,0
colored,colored,en,9645
inuit,inuits,en,32
inuit,inuit,en,552
black,blacks,en,384
black,blacker,en,312
black,blackest,en,10
black,black,en,9927
queer,queers,en,45
queer,queerest,en,1
queer,queerer,en,10
queer,queer,en,912
calcutta,calcuttas,en,3
calcutta,calcutta,en,1458
ethnic groups,ethnic group,en,4124
ethnic groups,ethnic groups,en,645
maroon,maroons,en,332
maroon,maroon,en,299
trans,transs,en,4
trans,trans,en,8880
half-breed,half-breeds,en,4
half-breed,half-breed,en,45
lilliputian,lilliputians,en,4
lilliputian,lilliputian,en,9
dwarf,dwarfer,en,0
dwarf,dwarves,en,70
dwarf,dwarfs,en,193
dwarf,dwarfest,en,0
dwarf,dwarf,en,9174
half-blood,half-bloods,en,0
half-blood,half-blood,en,51
burma,burma,en,3326
race,races,en,2223
race,race,en,9977
handicap,handicaps,en,30
handicap,handicap,en,726
primitive,primitives,en,98
primitive,primitive,en,1129
retarded,retarded,en,66
footmen,footman,en,67
footmen,footmen,en,12
slave,slaves,en,644
slave,slave,en,3063
first world,first world,en,880
ethnicity,ethnicities,en,33
ethnicity,ethnicity,en,766
primitivism,primitivism,en,27
indigenous,indigenous,en,4439
traditional,traditionals,en,1
traditional,traditional,en,8177
full blood,full blood,en,8
métis,metis,en,350
métis,métis,en,240
tribe,tribes,en,1235
tribe,tribe,en,4338
politionele actie,politionele acties,nl,1
politionele actie,politionele actie,nl,4
birma,birma,nl,964
exotisch,exotische,nl,44
exotisch,exotischere,nl,0
exotisch,exotischer,nl,9
exotisch,exotisch,nl,19
handicap,handicaps,nl,29
handicap,handicap,nl,740
medicijnman,medicijnmannen,nl,0
medicijnman,medicijnman,nl,9
lilliputter,lilliputters,nl,0
lilliputter,lilliputter,nl,2
homo,homo's,nl,3
homo,homo,nl,9902
mongool,mongools,nl,80
mongool,mongolen,nl,46
mongool,mongool,nl,1
jap,japs,nl,15
jap,jappen,nl,2
jap,jap,nl,182
islamiet,islamieten,nl,2
islamiet,islamiet,nl,1
westers,westersere,nl,0
