lemma,term,lang,wd_prefLabel,wd_aliases,wd_description,total
batavia,batavias,en,0,0,0,0
batavia,batavia,en,208,51,213,472
southern rhodesia,southern rhodesia,en,271,13,19,303
madras,madras,en,433,100,343,876
low-income countries,low-income country,en,5,0,0,5
low-income countries,low-income countries,en,7,2,0,9
headhunter,headhunters,en,24,2,5,31
headhunter,headhunter,en,24,6,2,32
immigrant,immigrants,en,447,35,137,619
immigrant,immigrant,en,411,53,218,682
barbarian,barbarians,en,122,20,18,160
barbarian,barbarian,en,142,30,28,200
moor,moors,en,247,52,114,413
moor,moor,en,3088,276,826,4190
indian,indians,en,2360,352,203,2915
indian,indian,en,1278,433,8137,9848
homo,homos,en,3,0,0,3
homo,homo,en,121,63,6248,6432
exotic,exotics,en,4,0,1,5
exotic,exotic,en,311,68,90,469
allochtoon,allochtoons,en,0,0,0,0
allochtoon,allochtoon,en,1,0,0,1
medicine man,medicine men,en,10,0,1,11
medicine man,medicine man,en,52,5,18,75
third world,third world,en,98,11,17,126
servant,servants,en,869,43,103,1015
servant,servant,en,585,106,8020,8711
hottentot,hottentots,en,11,3,2,16
hottentot,hottentot,en,12,3,1,16
gypsy,gypsies,en,129,22,12,163
gypsy,gypsys,en,10,0,0,10
gypsy,gypsy,en,547,80,90,717
coolie,coolies,en,11,0,9,20
coolie,coolie,en,18,2,1,21
white,whitest,en,5,0,0,5
white,whiter,en,32,17,3,52
white,whites,en,461,53,55,569
white,white,en,4106,1829,1657,7592
caucasian,caucasians,en,12,1,0,13
caucasian,caucasian,en,432,108,152,692
kaffir,kaffirs,en,2,1,0,3
kaffir,kaffir,en,11,6,3,20
descent,descent,en,8313,137,1105,9555
mohammedan,mohammedans,en,4,0,0,4
mohammedan,mohammedan,en,34,6,4,44
mongoloid,mongoloids,en,0,0,0,0
mongoloid,mongoloid,en,9,3,2,14
discover,discover,en,213,39,61,313
homosexual,homosexuals,en,13,7,13,33
homosexual,homosexual,en,79,60,206,345
baboo,baboos,en,0,0,0,0
baboo,baboo,en,17,9,4,30
pygmy,pygmys,en,0,0,0,0
pygmy,pygmy,en,55,6,20,81
page,pages,en,738,170,295,1203
page,page,en,78,126,253,457
bush negro,bush negroes,en,0,0,0,0
bush negro,bush negros,en,0,0,0,0
bush negro,bush negro,en,0,0,1,1
second world,second world,en,237,29,664,930
native,natives,en,175,22,58,255
native,native,en,2404,386,2849,5639
bombay,bombays,en,0,0,0,0
bombay,bombay,en,487,109,383,979
negro,negros,en,445,106,326,877
negro,negroes,en,87,19,7,113
negro,negro,en,2223,295,826,3344
berber,berbers,en,48,4,8,60
berber,berber,en,223,38,195,456
mulatto,mulattos,en,1,0,0,1
mulatto,mulattoes,en,1,0,2,3
mulatto,mulatto,en,31,5,16,52
disabled,disableds,en,0,0,0,0
disabled,disabled,en,848,70,206,1124
roots,roots,en,870,126,360,1356
mestizo,mestizoes,en,0,0,0,0
mestizo,mestizos,en,11,1,0,12
mestizo,mestizo,en,27,7,11,45
developing nations,developing nation,en,1,0,0,1
developing nations,developing nations,en,31,0,6,37
western,westerns,en,52,5,11,68
western,western,en,2771,3307,6295,12373
aboriginal,aboriginals,en,5,7,9,21
aboriginal,aboriginal,en,683,144,1161,1988
transvestite,transvestites,en,4,1,3,8
transvestite,transvestite,en,9,3,17,29
eskimo,eskimos,en,90,4,4,98
eskimo,eskimoes,en,0,0,0,0
eskimo,eskimo,en,189,48,70,307
hermaphrodite,hermaphrodites,en,3,2,1,6
hermaphrodite,hermaphrodite,en,41,2,40,83
gay,gayest,en,1,1,0,2
gay,gays,en,68,18,17,103
gay,gayer,en,20,8,1,29
gay,gay,en,1598,749,1158,3505
indo,indos,en,4,2,0,6
indo,indo,en,3812,134,496,4442
oriental,orientals,en,25,1,0,26
oriental,oriental,en,2677,357,2642,5676
colored,coloreds,en,0,0,0,0
colored,colored,en,9424,79,162,9665
inuit,inuits,en,1,1,2,4
inuit,inuit,en,154,18,275,447
black,blacks,en,311,52,24,387
black,blacker,en,48,20,6,74
black,blackest,en,8,1,0,9
black,black,en,5054,1969,2281,9304
queer,queers,en,24,8,5,37
queer,queerest,en,1,0,0,1
queer,queerer,en,1,0,0,1
queer,queer,en,506,107,191,804
calcutta,calcuttas,en,0,0,0,0
calcutta,calcutta,en,542,194,367,1103
ethnic groups,ethnic group,en,126,12,3967,4105
ethnic groups,ethnic groups,en,502,16,122,640
maroon,maroons,en,307,19,7,333
maroon,maroon,en,148,21,90,259
trans,transs,en,0,0,0,0
trans,trans,en,4804,2338,2101,9243
half-breed,half-breeds,en,1,0,0,1
half-breed,half-breed,en,42,0,0,42
lilliputian,lilliputians,en,2,0,1,3
lilliputian,lilliputian,en,6,2,0,8
dwarf,dwarfer,en,0,0,0,0
dwarf,dwarves,en,46,6,11,63
dwarf,dwarfs,en,89,25,68,182
dwarf,dwarfest,en,0,0,0,0
dwarf,dwarf,en,430,105,8660,9195
half-blood,half-bloods,en,0,0,0,0
half-blood,half-blood,en,46,1,1,48
burma,burma,en,1203,228,759,2190
race,races,en,1397,131,515,2043
race,race,en,2935,413,6656,10004
handicap,handicaps,en,19,5,1,25
handicap,handicap,en,485,25,22,532
primitive,primitives,en,37,6,9,52
primitive,primitive,en,570,205,355,1130
retarded,retarded,en,48,13,6,67
footmen,footman,en,40,1,8,49
footmen,footmen,en,8,0,2,10
slave,slaves,en,359,40,121,520
slave,slave,en,1119,242,1259,2620
first world,first world,en,289,24,532,845
ethnicity,ethnicities,en,11,1,16,28
ethnicity,ethnicity,en,511,35,175,721
primitivism,primitivism,en,24,2,1,27
