,lemma,query_term,lang,wd_prefLabel,wd_aliases,wd_descr,wd_qt_total
0,batavia,batavias,en,0,0,0,0
1,batavia,batavia,en,208,51,213,472
2,southern rhodesia,southern rhodesia,en,271,13,19,303
3,madras,madras,en,433,100,343,876
4,low-income countries,low-income country,en,5,0,0,5
5,low-income countries,low-income countries,en,7,2,0,9
6,headhunter,headhunters,en,24,2,5,31
7,headhunter,headhunter,en,24,6,2,32
8,immigrant,immigrants,en,447,35,137,619
9,immigrant,immigrant,en,411,53,218,682
10,barbarian,barbarians,en,122,20,18,160
11,barbarian,barbarian,en,142,30,28,200
12,moor,moors,en,247,52,114,413
13,moor,moor,en,3088,276,826,4190
14,indian,indians,en,2360,352,203,2915
15,indian,indian,en,1278,433,8137,9848
16,homo,homos,en,3,0,0,3
17,homo,homo,en,121,63,6248,6432
18,exotic,exotics,en,4,0,1,5
19,exotic,exotic,en,311,68,90,469
20,allochtoon,allochtoons,en,0,0,0,0
21,allochtoon,allochtoon,en,1,0,0,1
22,medicine man,medicine men,en,10,0,1,11
23,medicine man,medicine man,en,52,5,18,75
24,third world,third world,en,98,11,17,126
25,servant,servants,en,869,43,103,1015
26,servant,servant,en,585,106,8020,8711
27,hottentot,hottentots,en,11,3,2,16
28,hottentot,hottentot,en,12,3,1,16
29,gypsy,gypsies,en,129,22,12,163
30,gypsy,gypsys,en,10,0,0,10
31,gypsy,gypsy,en,547,80,90,717
32,coolie,coolies,en,11,0,9,20
33,coolie,coolie,en,18,2,1,21
34,white,whitest,en,5,0,0,5
35,white,whiter,en,32,17,3,52
36,white,whites,en,461,53,55,569
37,white,white,en,4106,1829,1657,7592
38,caucasian,caucasians,en,12,1,0,13
39,caucasian,caucasian,en,432,108,152,692
40,kaffir,kaffirs,en,2,1,0,3
41,kaffir,kaffir,en,11,6,3,20
42,descent,descent,en,8313,137,1105,9555
43,mohammedan,mohammedans,en,4,0,0,4
44,mohammedan,mohammedan,en,34,6,4,44
45,mongoloid,mongoloids,en,0,0,0,0
46,mongoloid,mongoloid,en,9,3,2,14
47,discover,discover,en,213,39,61,313
48,homosexual,homosexuals,en,13,7,13,33
49,homosexual,homosexual,en,79,60,206,345
50,baboo,baboos,en,0,0,0,0
51,baboo,baboo,en,17,9,4,30
52,pygmy,pygmys,en,0,0,0,0
53,pygmy,pygmy,en,55,6,20,81
54,page,pages,en,738,170,295,1203
55,page,page,en,78,126,253,457
56,bush negro,bush negroes,en,0,0,0,0
57,bush negro,bush negros,en,0,0,0,0
58,bush negro,bush negro,en,0,0,1,1
59,second world,second world,en,237,29,664,930
60,native,natives,en,175,22,58,255
61,native,native,en,2404,386,2849,5639
62,bombay,bombays,en,0,0,0,0
63,bombay,bombay,en,487,109,383,979
64,negro,negros,en,445,106,326,877
65,negro,negroes,en,87,19,7,113
66,negro,negro,en,2223,295,826,3344
67,berber,berbers,en,48,4,8,60
68,berber,berber,en,223,38,195,456
69,mulatto,mulattos,en,1,0,0,1
70,mulatto,mulattoes,en,1,0,2,3
71,mulatto,mulatto,en,31,5,16,52
72,disabled,disableds,en,0,0,0,0
73,disabled,disabled,en,848,70,206,1124
74,roots,roots,en,870,126,360,1356
75,mestizo,mestizoes,en,0,0,0,0
76,mestizo,mestizos,en,11,1,0,12
77,mestizo,mestizo,en,27,7,11,45
78,developing nations,developing nation,en,1,0,0,1
79,developing nations,developing nations,en,31,0,6,37
80,western,westerns,en,52,5,11,68
81,western,western,en,2771,3307,6295,12373
82,aboriginal,aboriginals,en,5,7,9,21
83,aboriginal,aboriginal,en,683,144,1161,1988
84,transvestite,transvestites,en,4,1,3,8
85,transvestite,transvestite,en,9,3,17,29
86,eskimo,eskimos,en,90,4,4,98
87,eskimo,eskimoes,en,0,0,0,0
88,eskimo,eskimo,en,189,48,70,307
89,hermaphrodite,hermaphrodites,en,3,2,1,6
90,hermaphrodite,hermaphrodite,en,41,2,40,83
91,gay,gayest,en,1,1,0,2
92,gay,gays,en,68,18,17,103
93,gay,gayer,en,20,8,1,29
94,gay,gay,en,1598,749,1158,3505
95,indo,indos,en,4,2,0,6
96,indo,indo,en,3812,134,496,4442
97,oriental,orientals,en,25,1,0,26
98,oriental,oriental,en,2677,357,2642,5676
99,colored,coloreds,en,0,0,0,0
100,colored,colored,en,9424,79,162,9665
101,inuit,inuits,en,1,1,2,4
102,inuit,inuit,en,154,18,275,447
103,black,blacks,en,311,52,24,387
104,black,blacker,en,48,20,6,74
105,black,blackest,en,8,1,0,9
106,black,black,en,5054,1969,2281,9304
107,queer,queers,en,24,8,5,37
108,queer,queerest,en,1,0,0,1
109,queer,queerer,en,1,0,0,1
110,queer,queer,en,506,107,191,804
111,calcutta,calcuttas,en,0,0,0,0
112,calcutta,calcutta,en,542,194,367,1103
113,ethnic groups,ethnic group,en,126,12,3967,4105
114,ethnic groups,ethnic groups,en,502,16,122,640
115,maroon,maroons,en,307,19,7,333
116,maroon,maroon,en,148,21,90,259
117,trans,transs,en,0,0,0,0
118,trans,trans,en,4804,2338,2101,9243
119,half-breed,half-breeds,en,1,0,0,1
120,half-breed,half-breed,en,42,0,0,42
