,lemma,query_term,lang,wd_prefLabel,wd_aliases,wd_descr,wd_qt_total
0,politionele actie,politionele acties,nl,1,0,0,1
1,politionele actie,politionele actie,nl,2,1,0,3
2,birma,birma,nl,35,11,3,49
3,exotisch,exotische,nl,24,0,2,26
4,exotisch,exotischere,nl,0,0,0,0
5,exotisch,exotischer,nl,3,0,0,3
6,exotisch,exotisch,nl,11,2,6,19
7,handicap,handicaps,nl,1,0,1,2
8,handicap,handicap,nl,31,5,10,46
9,medicijnman,medicijnmannen,nl,0,0,0,0
10,medicijnman,medicijnman,nl,5,1,3,9
11,lilliputter,lilliputters,nl,0,0,0,0
12,lilliputter,lilliputter,nl,1,2,0,3
13,homo,homo's,nl,0,0,2,2
14,homo,homo,nl,83,28,3121,3232
15,mongool,mongools,nl,26,5,49,80
16,mongool,mongolen,nl,10,1,0,11
17,mongool,mongool,nl,0,1,0,1
18,jap,japs,nl,1,0,0,1
19,jap,jappen,nl,1,0,0,1
20,jap,jap,nl,24,3,0,27
21,islamiet,islamieten,nl,0,1,0,1
22,islamiet,islamiet,nl,0,1,0,1
23,westers,westersere,nl,0,0,0,0
24,westers,westerse,nl,34,16,29,79
25,westers,westerser,nl,0,0,0,0
26,westers,wester,nl,100,27,49,176
27,westers,westerste,nl,0,0,0,0
28,westers,westerst,nl,0,0,0,0
29,westers,westers,nl,5,1,2,8
30,etniciteit,etniciteiten,nl,0,0,0,0
31,etniciteit,etniciteit,nl,2,2,10,14
32,homoseksualiteit,homoseksualiteit,nl,20,1,4,25
33,neger,negers,nl,3,2,0,5
34,neger,neger,nl,27,3,8,38
35,bediende,bedienden,nl,13,1,0,14
36,bediende,bediendes,nl,0,0,0,0
37,bediende,bediend,nl,5,0,5,10
38,bediende,bediende,nl,59,5,139,203
39,hermafrodiet,hermafrodieten,nl,0,0,0,0
40,hermafrodiet,hermafrodiet,nl,4,1,0,5
41,inuk,inuit,nl,14,4,3,21
42,inuk,inuk,nl,4,1,0,5
43,indiaan,indiaans,nl,2,2,6,10
44,indiaan,indianen,nl,21,6,12,39
45,indiaan,indiaan,nl,9,0,9165,9174
46,afkomst,afkomsten,nl,0,0,0,0
47,afkomst,afkomst,nl,4,12,126,142
48,blank,blankst,nl,0,0,0,0
49,blank,blanke,nl,25,5,4,34
50,blank,blankste,nl,0,0,0,0
51,blank,blankere,nl,0,0,0,0
52,blank,blanker,nl,3,0,0,3
53,blank,blanks,nl,6,0,1,7
54,blank,blanken,nl,18,3,2,23
55,blank,blank,nl,75,13,28,116
56,bombay,bombay,nl,82,20,105,207
57,knecht,knechten,nl,4,0,0,4
58,knecht,knechts,nl,5,1,0,6
