query_term,total_hits
"""developing nation""",3
transvestite,33
indo,5072
"""spiritual healer""",8
bombay,1539
indigenous,5127
western,64318
traditional,9383
immigrant,2163
indo-european,2121
homo,220090
"""southern rhodesia""",333
queer,1190
retarded,243
"""ethnic groups""",615
calcutta,1826
mestizo,101
page,6608316
black,44184
"""medicine man""",87
white,54250
disabled,1440
"""ethnic group""",3798
"""person of color""",2
"""mixed race""",29
hermaphrodite,228
"""full blood""",8
dwarf,4387
oriental,23505
coolie,88
primitivism,75
baboo,92
eskimo,589
"""first world""",963
colored,202078
"""short stature""",295
descent,17332
burma,37259
primitive,1902
cross-dresser,34
gay,6476
roma,25608
exotic,1573
muslim,6701
madras,1175
half-blood,76
"""little people""",55
moor,6380
enslaved,321
ethnicity,9512
caucasian,789
"""first nation""",798
mohammedan,53
lilliputian,22
"""people with disabilities""",304
aboriginal,2014
handicap,1398
half-breed,68
trans,26724
lgbt,7401
berber,743
tribe,13456
imazighen,6
race,31309
amazigh,112
"""differently abled""",6
"""medicine men""",19
native,9700
khoisan,43
barbarian,491
historic,62426
hottentot,67
"""second world""",1013
"""third world""",253
métis,544
dwarfism,4387
discover,5801
homosexual,747
kaffir,39
root,7462
maroon,773
slave,4207
"""torres strait""",230
"""little persons""",0
headhunter,98
negro,7960
"""little person""",3
asian,46687
mumbai,4155
"""bush negro""",0
"""people of color""",24
gypsy,1184
indian,140364
inuit,656
mulatto,71
intersex,276
pygmy,589
mongoloid,21
"""low-income country""",15
"""first nations""",438
footman,77
allochtoon,3
batavia,544
servant,9916
