query_term,total_hits
batavia,519
batavias,0
southern rhodesia,289
madras,994
low-income countries,18
headhunter,30
headhunters,32
immigrant,669
immigrants,653
barbarian,186
barbarians,166
moor,4578
moors,446
indian,115785
indians,2780
homo,138260
homos,10
exotic,431
exotics,6
allochtoon,3
medicine man,73
medicine men,12
third world,120
servant,9228
servants,944
hottentot,15
hottentots,21
gypsy,735
gypsys,10
coolie,29
coolies,23
white,41982
whiter,40
whitest,6
whites,574
caucasian,641
caucasians,18
kaffir,20
kaffirs,3
descent,17397
mohammedan,40
mohammedans,5
mongoloid,11
mongoloids,0
discover,2575
homosexual,369
homosexuals,42
baboo,41
baboos,0
pygmy,77
pygmys,0
page,5263827
pages,16474
bush negro,0
second world,902
native,5380
natives,255
bombay,1239
bombays,4
negro,5713
negroes,109
negros,1047
berber,528
berbers,78
mulatto,48
mulattoes,2
mulattos,1
disabled,1099
disableds,0
roots,1366
mestizo,63
mestizoes,0
mestizos,16
developing nations,36
western,54443
westerns,84
aboriginal,1748
aboriginals,27
transvestite,23
transvestites,7
eskimo,338
eskimoes,1
eskimos,121
hermaphrodite,93
hermaphrodites,8
gay,4540
gayer,127
gayest,1
gays,208
indo,4396
oriental,11380
orientals,263
colored,201757
coloreds,0
inuit,544
inuits,32
black,32401
blacks,375
blackest,6
blacker,308
queer,863
queerest,1
queerer,10
queers,40
calcutta,1439
calcuttas,3
ethnic groups,578
maroon,292
maroons,325
trans,8359
transs,4
half-breed,44
half-breeds,4
lilliputian,9
lilliputians,4
dwarf,1459
dwarves,61
dwarfs,173
dwarfer,0
dwarfest,0
half-blood,51
half-bloods,0
burma,3315
race,29994
races,2104
handicap,714
primitive,1033
primitives,85
retarded,63
footmen,11
slave,2913
slaves,620
first world,811
ethnicity,731
primitivism,26
indigenous,4207
traditional,7889
traditionals,0
full blood,8
métis,211
tribe,4133
tribes,1195
