query_term,total_hits
politionele actie,4
birma,945
exotisch,17
exotischere,0
exotischer,8
exotische,38
handicap,727
handicaps,28
medicijnman,9
medicijnmannen,0
lilliputter,2
lilliputters,0
homo,138267
homo's,3
mongool,1
mongolen,41
jap,176
jappen,2
japs,15
islamiet,1
islamieten,2
westers,19
wester,830
westerse,81
westersere,0
westerste,0
westerst,0
westerser,0
etniciteit,15
etniciteiten,0
homoseksualiteit,29
neger,119
negers,11
bediende,153
bediendes,0
bediend,9
bedienden,14
hermafrodiet,5
hermafrodieten,0
inuk,58
inuit,547
indiaan,34594
indianen,42
afkomst,134
afkomsten,0
blank,3794
blankere,0
blanker,20
blanke,170
blanks,100
blankste,0
blankst,0
bombay,1240
knecht,307
knechten,8
knechts,12
jappenkamp,6
jappenkampen,1
homoseksueel,10
homoseksueler,0
homoseksueelste,0
homoseksuelere,0
homoseksueelst,0
homoseksueels,0
homoseksuelen,7
homoseksuele,10
stam,458
stammen,136
oriëntaals,14
oriëntaalste,0
oriëntaalsere,0
oriëntaal,0
oriëntale,1
oriëntalere,0
oriëntaalse,5
oriëntaalst,0
oriëntaler,0
oriëntaalser,0
batavia,517
halfbloed,3
halfbloeden,0
boslandcreool,1
boslandcreolen,0
queer,871
zigeuner,74
zigeuners,19
bosneger,1
bosnegers,1
ontwikkelingsland,3
ontwikkelingslanden,13
zwart,601
zwarten,8
zwartst,0
zwarter,1
zwarts,25
zwarte,838
zwartere,0
zwartste,0
traditioneel,190
traditioneels,0
traditionele,412
traditioneelste,0
traditioneelst,0
traditionelere,0
traditioneler,0
mesties,3
mestiezen,1
primitief,15
primitiefst,0
primitievere,0
primitiefste,0
primitiefs,0
primitieve,25
primitiever,0
ontdekken,1998
koppensneller,0
koppensnellers,2
lagelonenland,1
lagelonenlanden,0
inlander,24
inlanders,4
dwerg,126
dwergen,22
gay,4943
gayer,123
gayst,0
gaye,501
gayste,0
gays,216
baboe,12
baboes,0
indisch,316
indischer,3854
indische,3354
indischere,1
berber,529
berbers,77
pygmee,11
pygmeeën,4
gekleurd,9
gekleurdste,0
gekleurdst,0
gekleurds,0
gekleurde,16
gekleurdere,0
gekleurder,0
roots,1425
kaukasisch,59
kaukasische,47
kaukasischere,0
kaukasischer,8
achterlijk,1
achterlijkst,0
achterlijkere,0
achterlijker,0
achterlijke,0
achterlijks,0
achterlijkste,0
mulat,31
mulatten,3
ras,4048
rasser,22
raste,28
rasse,213
rassere,0
rast,449
rassen,58
etnische groep,20215
eerste wereld,1
aboriginal,1768
aboriginals,27
travestiet,4
travestieten,0
barbaar,9
barbaren,34
derde wereld,5
slaaf,51
slaven,156
primitivisme,5
primitivismen,0
eskimo,338
eskimo's,7
page,5356741
pages,16158
zuid-rhodesië,17
inboorling,0
inboorlingen,0
hottentot,21
hottentotten,6
calcutta,1451
indo,4388
indo's,1
mohammedaan,1
mohammedanen,1
madras,995
moor,4585
moren,213
gehandicapte,9
gehandicapten,48
koelie,1
koelies,1
volbloed,6
volbloeden,0
métis,213
marron,327
marrons,48
kaffer,6
kaffers,1
allochtoon,3
allochtonen,2
allochtoons,0
allochtoonste,0
allochtoonst,0
allochtoner,0
allochtonere,0
allochtone,4
tweede wereld,2
wit,22188
witten,743
wittere,1
witst,0
witte,2154
witter,163
wits,111
witste,1
inheems,40
inheemst,0
inheemse,83
inheemsere,0
inheemste,0
inheemser,0
trans,8369
transen,4
