query_term,total_hits
batavia,746
batavias,0
southern rhodesia,543
madras,2181
low-income countries,900
headhunter,56
headhunters,70
immigrant,7112
immigrants,7742
barbarian,300
barbarians,306
moor,7990
moors,1020
indian,165702
indians,8659
homo,235172
homos,24
exotic,7177
exotics,111
allochtoon,4
medicine man,182
medicine men,83
third world,1667
servant,10463
servants,1545
hottentot,77
hottentots,42
gypsy,2051
gypsys,17
coolie,70
coolies,52
white,212941
whiter,115
whitest,14
whites,2803
caucasian,5633
caucasians,1664
kaffir,56
kaffirs,4
descent,20677
mohammedan,71
mohammedans,19
mongoloid,427
mongoloids,96
discover,4188
homosexual,3240
homosexuals,603
baboo,230
baboos,0
pygmy,1446
pygmys,0
page,7001241
pages,26727
bush negro,4
second world,1780
native,48202
natives,1975
bombay,2672
bombays,4
negro,12362
negroes,744
negros,1250
berber,1479
berbers,331
mulatto,108
mulattoes,20
mulattos,11
disabled,8752
disableds,0
roots,23973
mestizo,452
mestizoes,1
mestizos,158
developing nations,361
western,123594
westerns,109
aboriginal,7557
aboriginals,192
transvestite,80
transvestites,66
eskimo,872
eskimoes,6
eskimos,610
hermaphrodite,697
hermaphrodites,222
gay,23022
gayer,766
gayest,1
gays,406
indo,8390
oriental,17140
orientals,413
colored,205138
coloreds,6
inuit,1690
inuits,52
black,125643
blacks,3249
blackest,18
blacker,1205
queer,2057
queerest,2
queerer,11
queers,85
calcutta,3070
calcuttas,4
ethnic groups,3409
maroon,760
maroons,397
trans,43957
transs,5
half-breed,64
half-breeds,8
lilliputian,55
lilliputians,11
dwarf,14755
dwarves,101
dwarfs,4223
dwarfer,0
dwarfest,0
half-blood,66
half-bloods,0
burma,4965
race,51275
races,4519
handicap,3297
primitive,8925
primitives,448
retarded,8867
footmen,13
slave,4930
slaves,1141
first world,1860
ethnicity,9566
primitivism,48
indigenous,21466
traditional,41350
traditionals,2
full blood,113
métis,346
tribe,15965
tribes,2531
