query_term,total_hits
politionele actie,4
birma,997
exotisch,19
exotischere,0
exotischer,20
exotische,102
handicap,3297
handicaps,902
medicijnman,9
medicijnmannen,0
lilliputter,2
lilliputters,0
homo,235172
homo's,3
mongool,2
mongolen,45
jap,1618
jappen,2
japs,132
islamiet,1
islamieten,2
westers,224
wester,4281
westerse,97
westersere,0
westerste,0
westerst,0
westerser,0
etniciteit,19
etniciteiten,0
homoseksualiteit,32
neger,186
negers,16
bediende,155
bediendes,0
bediend,9
bedienden,14
hermafrodiet,5
hermafrodieten,0
inuk,105
inuit,1690
indiaan,34601
indianen,45
afkomst,134
afkomsten,0
blank,10980
blankere,0
blanker,74
blanke,1566
blanks,730
blankste,0
blankst,0
bombay,2673
knecht,2996
knechten,63
knechts,12
jappenkamp,6
jappenkampen,2
homoseksueel,10
homoseksueler,0
homoseksueelste,0
homoseksuelere,0
homoseksueelst,0
homoseksueels,0
homoseksuelen,7
homoseksuele,11
stam,3385
stammen,270
oriëntaals,14
oriëntaalste,0
oriëntaalsere,0
oriëntaal,0
oriëntale,2
oriëntalere,0
oriëntaalse,9
oriëntaalst,0
oriëntaler,0
oriëntaalser,0
batavia,746
halfbloed,15
halfbloeden,0
boslandcreool,1
boslandcreolen,0
queer,2058
zigeuner,308
zigeuners,21
bosneger,1
bosnegers,2
ontwikkelingsland,3
ontwikkelingslanden,13
zwart,2928
zwarten,10
zwartst,0
zwarter,2
zwarts,375
zwarte,1391
zwartere,0
zwartste,0
traditioneel,190
traditioneels,0
traditionele,414
traditioneelste,0
traditioneelst,0
traditionelere,0
traditioneler,0
mesties,3
mestiezen,1
primitief,16
primitiefst,0
primitievere,0
primitiefste,0
primitiefs,0
primitieve,29
primitiever,0
ontdekken,1998
koppensneller,0
koppensnellers,4
lagelonenland,1
lagelonenlanden,0
inlander,68
inlanders,5
dwerg,136
dwergen,29
gay,23021
gayer,766
gayst,1
gaye,2058
gayste,0
gays,406
baboe,20
baboes,0
indisch,347
indischer,4044
indische,3651
indischere,1
berber,1479
berbers,331
pygmee,76
pygmeeën,5
gekleurd,10
gekleurdste,0
gekleurdst,0
gekleurds,0
gekleurde,17
gekleurdere,0
gekleurder,0
roots,23973
kaukasisch,65
kaukasische,123
kaukasischere,0
kaukasischer,22
achterlijk,2
achterlijkst,0
achterlijkere,0
achterlijker,0
achterlijke,0
achterlijks,0
achterlijkste,0
mulat,265
mulatten,3
ras,28065
rasser,102
raste,96
rasse,454
rassere,0
rast,1758
rassen,161
etnische groep,20217
eerste wereld,1
aboriginal,7557
aboriginals,192
travestiet,4
travestieten,0
barbaar,10
barbaren,49
derde wereld,6
slaaf,204
slaven,879
primitivisme,6
primitivismen,0
eskimo,872
eskimo's,11
page,7001238
pages,26731
zuid-rhodesië,17
inboorling,0
inboorlingen,0
hottentot,77
hottentotten,14
calcutta,3070
indo,8390
indo's,1
mohammedaan,1
mohammedanen,1
madras,2181
moor,7990
moren,517
gehandicapte,11
gehandicapten,49
koelie,1
koelies,1
volbloed,6
volbloeden,1
métis,346
marron,1395
marrons,63
kaffer,64
kaffers,1
allochtoon,4
allochtonen,3
allochtoons,1
allochtoonste,0
allochtoonst,0
allochtoner,0
allochtonere,0
allochtone,8
tweede wereld,2
wit,29579
witten,2141
wittere,1
witst,0
witte,11820
witter,1587
wits,300
witste,1
inheems,46
inheemst,0
inheemse,101
inheemsere,0
inheemste,0
inheemser,0
trans,43958
transen,5
