lemma,lang,wd_pref_lemma,wd_aliases_lemma,wd_desc_lemma,total_lemma
aboriginal,en,688,151,1170,2009
allochtoon,en,1,0,0,1
baboo,en,17,9,4,30
barbarian,en,264,50,46,360
batavia,en,208,51,213,472
berber,en,271,42,203,516
black,en,5421,2042,2311,9774
bombay,en,487,109,383,979
burma,en,1203,228,759,2190
bush negro,en,0,0,1,1
calcutta,en,542,194,367,1103
caucasian,en,444,109,152,705
colored,en,9424,79,162,9665
coolie,en,29,2,10,41
descent,en,8313,137,1105,9555
developing nations,en,32,0,6,38
disabled,en,848,70,206,1124
discover,en,213,39,61,313
dwarf,en,565,136,8739,9440
eskimo,en,279,52,74,405
ethnic groups,en,628,28,4089,4745
ethnicity,en,522,36,191,749
exotic,en,315,68,91,474
first world,en,289,24,532,845
footmen,en,48,1,10,59
full blood,en,2,5,1,8
gay,en,1687,776,1176,3639
gypsy,en,686,102,102,890
half-blood,en,46,1,1,48
half-breed,en,43,0,0,43
handicap,en,504,30,23,557
headhunter,en,48,8,7,63
hermaphrodite,en,44,4,41,89
homo,en,124,63,6248,6435
homosexual,en,92,67,219,378
hottentot,en,23,6,3,32
immigrant,en,858,88,355,1301
indian,en,3638,785,8340,12763
indigenous,en,1707,301,2702,4710
indo,en,3816,136,496,4448
inuit,en,155,19,277,451
kaffir,en,13,7,3,23
lilliputian,en,8,2,1,11
low-income countries,en,12,2,0,14
madras,en,433,100,343,876
maroon,en,455,40,97,592
medicine man,en,62,5,19,86
mestizo,en,38,8,11,57
mohammedan,en,38,6,4,48
mongoloid,en,9,3,2,14
moor,en,3335,328,940,4603
mulatto,en,33,5,18,56
métis,en,120,52,160,332
native,en,2579,408,2907,5894
negro,en,2755,420,1159,4334
oriental,en,2702,358,2642,5702
page,en,816,296,548,1660
primitive,en,607,211,364,1182
primitivism,en,24,2,1,27
pygmy,en,55,6,20,81
queer,en,532,115,196,843
race,en,4332,544,7171,12047
retarded,en,48,13,6,67
roots,en,870,126,360,1356
second world,en,237,29,664,930
servant,en,1454,149,8123,9726
slave,en,1478,282,1380,3140
southern rhodesia,en,271,13,19,303
third world,en,98,11,17,126
traditional,en,1986,513,5749,8248
trans,en,4804,2338,2101,9243
transvestite,en,13,4,20,37
tribe,en,2093,471,3116,5680
western,en,2823,3312,6306,12441
white,en,4604,1899,1715,8218
aboriginal,nl,45,7,11,63
achterlijk,nl,1,0,0,1
afkomst,nl,4,12,126,142
allochtoon,nl,5,1,0,6
baboe,nl,2,1,0,3
barbaar,nl,8,1,0,9
batavia,nl,89,21,44,154
bediende,nl,77,6,144,227
berber,nl,26,2,1,29
birma,nl,35,11,3,49
blank,nl,127,21,35,183
bombay,nl,82,20,105,207
boslandcreool,nl,0,1,0,1
bosneger,nl,0,2,0,2
calcutta,nl,129,47,269,445
derde wereld,nl,5,0,0,5
dwerg,nl,64,20,77,161
eerste wereld,nl,1,0,0,1
eskimo,nl,65,5,29,99
etniciteit,nl,2,2,10,14
etnische groep,nl,7,1,9241,9249
exotisch,nl,38,2,8,48
gay,nl,299,35,241,575
gehandicapte,nl,20,5,31,56
gekleurd,nl,12,0,15,27
halfbloed,nl,4,1,0,5
handicap,nl,32,5,11,48
hermafrodiet,nl,4,1,0,5
homo,nl,83,28,3123,3234
homoseksualiteit,nl,20,1,4,25
homoseksueel,nl,11,4,11,26
hottentot,nl,0,2,0,2
inboorling,nl,1,0,0,1
indiaan,nl,32,8,9183,9223
indisch,nl,320,111,143,574
indo,nl,71,22,66,159
inheems,nl,45,11,63,119
inlander,nl,4,2,10,16
inuk,nl,18,5,3,26
islamiet,nl,0,2,0,2
jap,nl,26,3,0,29
jappenkamp,nl,3,1,3,7
kaffer,nl,2,0,1,3
kaukasisch,nl,24,16,47,87
knecht,nl,61,7,4,72
koelie,nl,2,0,0,2
koppensneller,nl,2,0,0,2
lagelonenland,nl,1,0,0,1
lilliputter,nl,1,2,0,3
madras,nl,63,3,61,127
marron,nl,28,2,15,45
medicijnman,nl,5,1,3,9
mesties,nl,2,1,0,3
mohammedaan,nl,1,2,0,3
mongool,nl,36,7,49,92
moor,nl,545,39,139,723
mulat,nl,8,2,0,10
métis,nl,25,4,10,39
neger,nl,30,5,8,43
ontdekken,nl,14,0,1,15
ontwikkelingsland,nl,2,3,6,11
oriëntaals,nl,15,2,3,20
page,nl,54,59,10,123
politionele actie,nl,3,1,0,4
primitief,nl,27,8,7,42
primitivisme,nl,1,1,0,2
pygmee,nl,3,1,1,5
queer,nl,71,0,28,99
ras,nl,591,43,88,722
roots,nl,164,7,62,233
slaaf,nl,43,7,35,85
stam,nl,56,20,161,237
traditioneel,nl,386,60,268,714
trans,nl,348,56,40,444
travestiet,nl,0,1,3,4
tweede wereld,nl,2,1,0,3
volbloed,nl,5,2,0,7
westers,nl,139,44,80,263
wit,nl,1654,439,9508,11601
zigeuner,nl,28,6,0,34
zuid-rhodesië,nl,11,0,6,17
zwart,nl,1057,236,231,1524
