,term,URI,aat_bow,cs_scopeNote_tfidf
0,batavia,300012925,"['batavia', 'tradename', 'referring', 'indonesia', 'damar', 'general', 'dammar', 'shipped', 'formerly', 'jakarta', 'resin']",0.727
1,batavia,300012925,"['batavia', 'tradename', 'referring', 'indonesia', 'damar', 'general', 'dammar', 'shipped', 'formerly', 'jakarta', 'resin']",0.727
2,batavia,300012925,"['batavia', 'tradename', 'referring', 'indonesia', 'damar', 'general', 'dammar', 'shipped', 'formerly', 'jakarta', 'resin']",0.727
3,batavia,300012925,"['batavia', 'tradename', 'referring', 'indonesia', 'damar', 'general', 'dammar', 'shipped', 'formerly', 'jakarta', 'resin']",0.727
4,madras,300265171,"['coromandel', 'coromandels', 'lacquer', 'lacquered', 'company', 'screen', 'kuancai', 'twelve', 'twenty', 'shipped', 'gilded', 'madras', 'chinese', 'ten']",0.54
5,madras,300265173,"['coromandel', 'lacquerware', 'lacquer', 'ware', 'technique', 'filled', 'company', 'shipped', 'madras', 'familiar', 'transfer', 'lacquering']",0.619
6,madras,300018959,"['style', 'company', 'calcuta', 'delhi', 'scenic', 'genuine', 'patna', 'east', 'curiosity', 'school', 'thanjavar', 'patron']",0.748
7,madras,300021637,"['charitable', 'mosque', 'murat', 'sultan', 'kulliye', 'workman', 'thermal', 'murad', 'orhan', 'bursa', 'chamber']",0.612
8,madras,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",0.646
9,madras,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",0.646
10,low-income country,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",
11,low-income countries,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",
12,headhunters,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",
13,headhunter,300417391,"['movement', 'modern', 'regional', 'chennai', 'pivotal', 'madras', 'school', 'art', 'teacher', 'artist']",
14,immigrants,300262962,"['french', 'captured', 'patois', 'cagian', 'nova', 'acadia', 'cajian', 'cajun', 'bayou', 'cajen', 'comprises', 'cajan', 'louisiana', 'idiom', 'defines']",0.551
15,immigrants,300443480,"['posse', 'inspection', 'immigrant', 'legal', 'undocumented', 'alien', 'visa', 'illegal', 'valid', 'appropriate', 'acquired', 'permission', 'entered', 'person', 'worker']",0.809
16,immigrants,300108469,"['extent', 'chinatowns', 'immigrant', 'town', 'chinatown', 'section', 'port', 'lived', 'followed', 'colony', 'exclusively', 'custom']",0.831
17,immigrants,300005505,"['cottage', 'porch', 'knowledge', 'acadian', 'framing', 'roofline', 'massing', 'gabled', 'steep', 'inward', 'house', 'creole', 'grenier', 'span']",0.56
18,immigrants,300027808,"['immigration', 'taken', 'immigrant', 'date', 'record', 'country', 'official', 'information', 'point', 'entry', 'occupation']",0.828
19,immigrants,300018071,"['mennonite', 'hex', 'penn', 'pennsylfawnish', 'immigrant', 'pennsylvania', 'cookery', 'buggy', 'stenciled', 'barn', 'german', 'dutch', 'housewares', 'deitsch']",0.443
20,immigrants,300179506,"['building', 'welfare', 'individual', 'immigrant', 'educational', 'neighborhood', 'facility', 'underprivileged', 'house', 'provided', 'settlement', 'recent', 'resident', 'recreational']",0.839
21,immigrants,300210746,"['flatcap', 'windsor', 'driving', 'england', 'headgear', 'men', 'originate', 'tweed', 'golf', 'obvious', 'variation', 'flat', 'shape', 'cap', 'antecedent', 'styling', 'cabbie', 'flatcaps', 'hat', 'cloth']",0.51
22,immigrants,300192795,"['region', 'another', 'live', 'depart', 'immigrant', 'come', 'country', 'usual', 'elsewhere', 'emigrant', 'settle']",0.929
23,immigrants,300264473,"['conjoined', 'cage', 'plaited', 'grain', 'corn', 'serve', 'continuity', 'sheaf', 'dolly', 'ploughed', 'enhancement', 'field']",0.616
24,immigrants,300025844,"['region', 'another', 'live', 'depart', 'immigrant', 'enter', 'country', 'usual', 'elsewhere', 'emigrant', 'settle']",0.94
25,immigrants,300025844,"['region', 'another', 'live', 'depart', 'immigrant', 'enter', 'country', 'usual', 'elsewhere', 'emigrant', 'settle']",0.94
26,immigrant,300443480,"['posse', 'inspection', 'immigrant', 'legal', 'undocumented', 'alien', 'visa', 'illegal', 'valid', 'appropriate', 'acquired', 'permission', 'entered', 'person', 'worker']",0.809
27,immigrant,300443480,"['posse', 'inspection', 'immigrant', 'legal', 'undocumented', 'alien', 'visa', 'illegal', 'valid', 'appropriate', 'acquired', 'permission', 'entered', 'person', 'worker']",0.809
28,immigrant,300443480,"['posse', 'inspection', 'immigrant', 'legal', 'undocumented', 'alien', 'visa', 'illegal', 'valid', 'appropriate', 'acquired', 'permission', 'entered', 'person', 'worker']",0.809
29,immigrant,300025844,"['region', 'another', 'live', 'depart', 'immigrant', 'enter', 'country', 'usual', 'elsewhere', 'emigrant', 'settle']",0.94
30,immigrant,300025844,"['region', 'another', 'live', 'depart', 'immigrant', 'enter', 'country', 'usual', 'elsewhere', 'emigrant', 'settle']",0.94
31,barbarian,300018409,"['style', 'began', 'cave', 'temple', 'wei', 'northern', 'culture', 'yungang', 'xiaowendi', 'chinese', 'period', 'longmen', 'became']",0.661
32,barbarian,300106913,"['teutonic', 'lombard', 'medieval', 'chevron', 'dark', 'metalsmiths', 'culture', 'visigoth', 'ostrogoth', 'migration', 'age', 'declining', 'vandal', 'overran', 'repetitive', 'period', 'barbarian']",0.812
33,barbarian,300018585,"['jesuit', 'japanese', 'traditonal', 'giovanni', 'namban', 'flask', 'niccolo', 'southern', 'european', 'art', 'barbarian', 'artist']",0.603
34,barbarian,300018585,"['jesuit', 'japanese', 'traditonal', 'giovanni', 'namban', 'flask', 'niccolo', 'southern', 'european', 'art', 'barbarian', 'artist']",0.603
35,barbarian,300018585,"['jesuit', 'japanese', 'traditonal', 'giovanni', 'namban', 'flask', 'niccolo', 'southern', 'european', 'art', 'barbarian', 'artist']",0.603
36,moors,300298733,"['shield', 'ellipsis', 'knee', 'originally', 'stirrup', 'adarga', 'adargas', 'cortés', 'riding', 'shape', 'bent', 'calvary']",0.487
37,moors,300008902,"['peat', 'deposit', 'remains', 'moor', 'accumulated', 'semicarbonized', 'plant', 'unconsolidated', 'bog']",0.6
38,moors,300266843,"['building', 'found', 'moorstones', 'granite', 'gathered', 'moor', 'stone', 'moorstone', 'england', 'hence', 'type', 'surface']",0.766
39,moors,300386937,"['monarch', 'mudéjar', 'culture', 'iberian', 'allegiance', 'tribute', 'retain', 'reconquest', 'paying', 'owing', 'allowed', 'christian']",0.75
40,moors,300020944,"['arabesque', 'style', 'mud', 'work', 'mudéjar', 'moslem', 'stalactite', 'horseshoe', 'applied', 'vassal', 'decorative', 'ejar', 'azulejo', 'architectural', 'portugal', 'mudéjare', 'art', 'kufic']",0.673
41,moors,300386887,"['heather', 'landforms', 'moor', 'upland', 'dominated', 'sandy', 'area', 'vegetation', 'shrubby', 'including', 'heath', 'low', 'landform']",0.691
42,moors,300386886,"['poor', 'land', 'landforms', 'peaty', 'moor', 'drainage', 'regularly', 'populated', 'vegetation', 'wet', 'bog', 'moorland', 'uncultivated', 'landform']",0.693
43,moor,300250079,"['forest', 'eurasia', 'spring', 'tetrix', 'black', 'moor', 'specie', 'adjacent', 'plural', 'display', 'sedentary', 'open', 'bog', 'eurasian', 'singluar', 'blackgame', 'grouse', 'tetrao', 'noted']",0.757
44,moor,300140253,"['movable', 'guéridon', 'louis', 'pedestal', 'candlestands', 'table', 'derivation', 'exoticism', 'uncertain', 'xvi', 'negress', 'denoting', 'guéridons', 'blackamoors']",0.694
45,moor,300011200,"['cornish', 'bodmin', 'granite', 'cornwall', 'moor', 'silver', 'quarry', 'falmouth', 'four', 'camborne', 'helston']",0.599
46,moor,300120786,"['place', 'warf', 'discharge', 'unloading', 'built', 'wharf', 'shoreline', 'receive', 'loading', 'quay', 'warfs', 'landing', 'parallel']",0.63
47,moor,300400593,"['tabby', 'copper', 'finishing', 'antique', 'mohair', 'calendering', 'moor', 'watered', 'moiré', 'engraved', 'moire', 'textile', 'roller', 'wavy', 'fabric', 'silk', 'running']",0.57
48,moor,300375152,"['style', 'berber', 'mauritania', 'boundary', 'sahara', 'moor', 'culture', 'mali', 'morocco', 'maures', 'mauri', 'mauritanian', 'algeria', 'proper', 'arab', 'maure', 'neighboring']",0.913
49,moor,300386886,"['poor', 'land', 'landforms', 'peaty', 'moor', 'drainage', 'regularly', 'populated', 'vegetation', 'wet', 'bog', 'moorland', 'uncultivated', 'landform']",0.693
50,indians,300375026,"['manchineel', 'manchenil', 'polymorphic', 'machinella', 'machinelle', 'shipwrecked', 'manchineal', 'poisoned', 'specie', 'hippomane', 'manzanillo', 'mansanillo', 'irritates', 'latex', 'poison', 'mancanilla', 'manchioneal', 'guava', 'mancinella', 'sap', 'poisonous', 'caribbean', 'conquistador']",0.522
51,indians,300310567,"['burden', 'beast', 'llama', 'peruvian', 'genus', 'thousand', 'andes', 'woolly', 'specie', 'vicugna', 'classified', 'lama', 'pacos', 'formerly', 'quadruped', 'considerably', 'alpaca']",0.646
52,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
53,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
54,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
