term,mean_rm,mean_wm
aboriginal,0.8634289038915888,0.7765141216400786
aboriginals,0.8562091482568416,0.7331642606713168
achterlijk,nan,nan
achterlijke,nan,nan
achterlijken,0.9958166358718236,0.5751788856246892
achterlijker,nan,nan
achterlijkere,nan,nan
achterlijkheid,0.90015940156365,0.5537039644677223
achterlijks,nan,nan
achterlijkst,nan,nan
achterlijkste,nan,nan
afkomst,0.7994363561701527,0.6274648037118618
afkomsten,nan,nan
allochtone,nan,nan
allochtonen,nan,nan
allochtoner,nan,nan
allochtonere,nan,nan
allochtoon,nan,nan
allochtoons,nan,nan
allochtoonst,nan,nan
allochtoonste,nan,nan
baboe,nan,nan
baboes,nan,nan
barbaar,nan,nan
barbaren,nan,nan
batavia,0.5256829088388963,0.2985325759771501
bediend,0.6166980895679989,0.5838577477067249
bediende,0.7057984464824407,0.6244573256326322
bedienden,0.7378711555797984,0.6689415053049362
bediendes,0.6319413294071348,0.6495638377982051
berber,0.5093875812868458,0.46444968125082736
berbers,0.689632961844418,0.7430499128952469
birma,0.5551740185129973,0.6449114773639427
blank,0.612320141507649,0.6677896146271475
blanke,0.7735982059635578,0.7919418064427103
blanken,0.8816941088854777,0.8276140997992718
blanker,nan,nan
blankere,nan,nan
blanks,nan,nan
blankst,nan,nan
blankste,nan,nan
bombay,0.5683246699061636,0.6385754937401183
boslandcreolen,nan,nan
boslandcreool,nan,nan
bosneger,nan,nan
bosnegers,nan,nan
calcutta,0.4976375448730974,0.7518297128665787
derde wereld,0.7295031986340492,0.8493534376955063
dwerg,0.7066386608869878,0.7354902639934486
dwergen,0.8757633992463749,0.7483530223125573
eerste wereld,nan,nan
eskimo,0.6396173026248669,0.6237340067829502
eskimo's,0.9035766024297851,0.8090966538911458
etniciteit,0.8127492485145015,0.7908587008735115
etniciteiten,nan,nan
etnische groep,0.865416617854498,0.8061973571674458
etnische groepen,0.8805178684537606,0.8245680166476
exotisch,0.0,0.8019106620370648
exotische,0.0,0.7931103095710587
exotischer,nan,nan
exotischere,nan,nan
gay,0.5348431254095551,0.6042550370414786
gaye,nan,nan
gayer,nan,nan
gays,nan,nan
gayst,nan,nan
gayste,nan,nan
gehandicapte,0.9133905355094386,0.8064042151961215
gehandicapten,0.8505150989398899,0.758410216259694
gekleurd,0.7139277807416394,0.7983606261164179
gekleurde,0.7107235970196032,0.7903524878555305
gekleurder,nan,nan
gekleurdere,nan,nan
gekleurds,nan,nan
gekleurdst,nan,nan
gekleurdste,nan,nan
halfbloed,nan,nan
halfbloeden,nan,nan
handicap,0.782984353827015,0.6702536180665499
handicaps,0.8592804033542385,0.7897879895718101
hermafrodiet,0.8643641630297945,0.6898332383302836
hermafrodieten,0.9687146629836298,0.7114669627844571
homo,0.6891917490362495,0.7839884186456203
homo's,nan,nan
homoseksualiteit,0.9374512601837032,0.8333474672173701
homoseksueel,0.7636564317399563,0.8569987255989684
homoseksueels,nan,nan
homoseksueelst,nan,nan
homoseksueelste,nan,nan
homoseksuele,0.656511320726959,0.8429775690602574
homoseksuelen,0.8328773010835768,0.674422676299431
homoseksueler,nan,nan
homoseksuelere,nan,nan
hottentot,nan,nan
hottentotten,0.5397680040989139,0.741862309305023
inboorling,nan,nan
inboorlingen,nan,nan
indiaan,0.791360268230186,0.7227918873865575
indiaans,0.8900829369709414,0.8058020806658879
indianen,0.7858686394125961,0.7208891074897715
indisch,0.7591101071360582,0.7460580600049661
indische,0.6874700490762428,0.6964469809482248
indischer,nan,nan
indischere,nan,nan
indo,0.7646225535843483,0.6647690391000696
indo's,nan,nan
inheems,0.6468823732904732,0.7154925560609109
inheemse,0.6749342244381734,0.7044253913793336
inheemser,nan,nan
inheemsere,nan,nan
inheemst,nan,nan
inheemste,nan,nan
inlander,nan,nan
inlanders,nan,nan
inuit,0.4373407499767691,0.4815106494113063
inuk,nan,nan
islamiet,nan,nan
islamieten,0.6644554687896144,0.6704922352220696
jap,nan,nan
jappen,nan,nan
jappenkamp,nan,nan
jappenkampen,nan,nan
japs,nan,nan
kaffer,nan,nan
kaffers,nan,nan
kaukasisch,0.6098733014574245,0.6432212263186982
kaukasische,0.4266965856938132,0.44573731507599634
kaukasischer,nan,nan
kaukasischere,nan,nan
knecht,0.6507151639591563,0.6398116101203316
knechten,0.5916322683937629,0.6172734675772692
knechts,nan,nan
koelie,nan,nan
koelies,nan,nan
koppensneller,nan,nan
koppensnellers,nan,nan
lagelonenland,nan,nan
lagelonenlanden,nan,nan
lilliputter,nan,nan
lilliputters,nan,nan
madras,0.6291531823527459,0.7545958026254302
marron,nan,nan
marrons,nan,nan
medicijnman,nan,nan
medicijnmannen,nan,nan
mesties,nan,nan
mestiezen,nan,nan
metis,0.9518514644706026,0.8489758294354426
mohammedaan,nan,nan
mohammedanen,0.5408015879594861,0.629209261446131
mongolen,0.612825987041659,0.5706532973851297
mongool,nan,nan
mongools,0.5339498079091826,0.3559801901898654
moor,0.8323151902804283,0.67206806228677
moors,0.8566949366181118,0.6860794709522912
moren,0.8827492721512183,0.652706416822626
mulat,nan,nan
mulatten,0.5995716934275062,0.7701764104055371
métis,nan,nan
neger,nan,nan
negers,nan,nan
ontdekken,0.6485786073552492,0.734605202364669
ontwikkelingsland,0.9726037161218791,0.7176141731088291
ontwikkelingslanden,0.8697210008554809,0.6704783562622744
oriëntaal,0.0,0.6742919310007482
oriëntaals,0.0,0.6169616521721994
oriëntaalse,0.0,0.7029407677837489
oriëntaalser,nan,nan
oriëntaalsere,nan,nan
oriëntaalst,nan,nan
oriëntaalste,nan,nan
oriëntale,nan,nan
