,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,300264779,Warlpiri,[],"Describes the style and culture of the aboriginal Warlpiri people of central Australia. The Warlpiri people are well recognized for their sand drawings, which are an informal element of ancestral storytelling.",,[]
1,aboriginal,300264815,bark paintings,"['bark painting', 'paintings, bark', 'painting, bark']","Describes elaborately painted sheets of bark found throughout Aboriginal Australian cultures. For native Australians, the art of bark paintings was an everyday practice, but it was also utilized for ceremonial purposes.  After European colonization, bark painting production decreased.",,[]
2,aboriginal,300312155,Negrito,['Negrillo'],"The style and culture of the aboriginal inhabitants of the Philippine islands, referring collectively to numerous peoples of dark skin and small stature, including the Aeta, Baluga, Ita, Agta, and others.",,['generally considered an obsolete term']
3,aboriginal,300017596,Bella Bella,['Bellabella'],"Used to refer specifically to the material works of the Heiltsuk people that inhabit the village of Bella Bella, British Columbia. Often used erroneously to refer to the Heiltsuk people themselves. To describe material culture common to the Heiltsuk language speaking people in general, ""Heiltsuk"" is preferred. Note that scholarship as recent as 1998 uses ""Bella Bella"" to refer to the Heiltsuk people, or a sub-group therein. ""Bella Bella Indians"" is a term dating from ca. 1834 and is not based on aboriginal self-determination.",,[]
4,aboriginal,300387325,Aboriginal reserves,"['Aboriginal reserve', 'reserves, Aboriginal']","Areas inhabited by primarily indigenous peoples. The term is used particularly in Australia, but may also apply to other areas.",,[]
7,berber,300264583,Zaer,[],"Describes works created by the Berber people living in the Middle Atlas region, a subgroup of the Tamazight.",,[]
8,berber,300114633,Almoravid,['Almoravides'],"Refers to the art and culture associated with the Islamic Berber dynasty that ruled in Spain and North Africa from 1054 to 1147, when it was succeeded by the Almohad dynasty. The Almoravids developed out of a puritanical movement in western Africa that appealed to North African Berbers. The Almoravid leader Yusuf b. Tashfin founded Marrakesh in 1069. From 1090 the dynasty controlled Andalusia and it was through this connection that the Umayyad art of Spain was transplanted to North Africa. Egyptian influence was also felt. Known for their puritanical fervor, the Almoravids were mostly patrons of religious architecture. They built mosques in Tilimsen and Algiers that were inspired by the mosque at Córdoba; other noteworthy mosques were built in Fès. Almoravid architects were known for their imaginative manipulation of three-dimensional space using ornamental arches and decorative vaults, architectural forms traditionally kept apart. These and other architectural forms animate their buildings instead of applied decoration. The hallmark of their distinctively Maghribi muqarnas is that the exterior reveals nothing of the internal configuration. The muqarnas vault at Fès is built over a rectangular space and so visually acts as a suspended ceiling rather than as a traditional dome. A fountain that was once part of the Great Mosque of Marrakesh is noted for its lobed and crinkled arch forms that create a powerful sculptural rhythm.",,[]
9,berber,300021550,Fatimid,[],"Refers to the art and culture associated with the Islamic Berber dynasty of this name that ruled in Ifriqiya (modern Tunisia) from 909 to 972 and in Egypt from 969 to 1171. The Fatimids, of the Shi'a sect, traced their ancestry back to Fatima, the daughter of Muhammad. The Fatimids had many rivals to contend with as well as the challenge of the Crusaders. Fatimid art is noteworthy for its internationalism: it bridges the east and west of the Islamic world and it was open to the Hellenic heritage of the Mediterranean and to some ideas from Christian powers to the north. Although Fatimid artists continued to use materials and techniques developed by the Tulunids, the abstraction favored by the Tulunids was replaced by an interest in exploring the tradition of figurative representation inherited from Iraq. Painting, book illustration, wood and ivory carving, and glass, ceramic and textile design bear figurative decoration unparalleled in contemporary Islamic art. An interest in naturalism is also evident. The iconography of Fatimid art is often indebted to Abbasid court art. Just as figural traditions were being developed, so were designs based on infinite systems of linear pattern; this form of ornamentation became one of the most successful forms of abstract Islamic art. Figural art was inappropriate for religious buildings, which were instead decorated with a vigorous new style of stone carving typically featuring elegant inscriptions in a distinctive form of kufic script elaborated with foliate and floral elements. A conch shell motif known from late antiquity was popular with the Fatimids, as seen on the façade of the mosque of al-Akmar. Nothing has survived of the two Fatimid palaces that stood in the center of Cairo but accounts of them attest to their magnificence.",,[]
10,berber,300265332,Chenini,[],Refers to works produced by the Berber peoples living in southern Tunisia.,,[]
11,berber,300264436,Ait Hadiddou,[],"Describes works created by the African people of the same name, a subgroup of the Berber living in the High Atlas Mountains.",,[]
