,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginals,300037220,boemerangs,['boemerang'],"Zeer ontwikkelde werpstokken van de Australische aboriginals, maar ook bekend uit India,  Afrika, Noord- en Zuid-Amerika en het oude Egypte. Het zijn gebogen of hoekige stokken die zo zijn ontworpen dat ze terugkeren naar hun beginpunt als ze worden weggegooid en ze werden gebruikt voor oorlogsvoering, bij de jacht en als recreatiemiddelen.",,[]
1,aboriginals,300393252,dupun,[],"Holle begrafenispalen van Australische Aboriginals die werden gebruikt tijdens de tweede begrafenisceremonie in centraal Arnhemland. De tweede begrafenisceremonie symboliseerde de overgang van de ziel van de overledene van deze wereld naar het hiernamaals. Dupun werden gemaakt van een boomstam, uitgehold, schoongemaakt en beschilderd met het totemontwerp van een clan. Na de rouwperiode worden de beenderen van de overledene beschilderd en in de dupun geplaatst.",,[]
2,afkomst,300263269,Black Indian,[],"Gemaskerden, overwegend van Afrikaanse afkomst, die op allerlei plaatsen in de wereld verkleed als indiaan deelnemen aan carnavalsoptochten, bijvoorbeeld in New Orleans, Toronto, Londen, Brooklyn (New York), Brazilië en Haïti, en andere eilandstaten in het Caribisch gebied. Ze zijn bekend om hun rijke, bontgekleurde kostuums, die met de hand zijn gemaakt.",,[]
3,afkomst,300410438,hoofddoeken,['hoofddoek'],"Rechthoekige stukken stof die vanaf de achterkant van het hoofd worden omgeslagen en achter het hoofd worden geknoopt of vastgestopt zodat ze het gezicht vrijlaten. Dergelijke hoofddoeken werden in de Verenigde Staten altijd geassocieerd met slavernij en dienstbaarheid van Afrikaans-Amerikaanse vrouwen. Sinds enkele jaren gebruiken sommige vrouwen dit kledingstuk om hun afkomst uit te dragen.
",,[]
4,afkomst,300386397,Macaus,[],"Nationaliteit, cultuur en stijl van Macau aan de zuidoostkust van China, aan de westzijde van de Parelrivierdelta, tegenover Hongkong. De term wordt soms gereserveerd voor de etniciteit van mensen van gemengde Chinees-Portugese afkomst.",,[]
5,afkomst,300375129,dames,['dame'],In het algemeen vrouwen met aanzien in een samenleving zonder exacte aanduiding van rang. Vrouwen die door de samenleving worden beschouwd als zijnde van goede afkomst en opvoeding.,,[]
6,afkomst,300021853,soenna,[],"Verwijst naar de tak van de islam die in het algemeen wordt beschouwd als de grootste en meest traditionalistische islamitische sekte. Deze tak van de islam is gebaseerd op de erkenning van een theocratische staat als een aards, tijdelijk rijk voor Allah. Het religieuze leiderschap wordt hierbij bepaald door hedendaagse politieke werkelijkheden, en is enkel het resultaat van een benoeming en niet gebaseerd op persoonlijke afkomst. De soennadoctrine omvat veel gebruiken en rituelen die niet in de Koran staan, maar zich in de loop van de geschiedenis hebben ontwikkeld.",,[]
7,bediend,300078091,transom catches,['transom catch'],"Sloten die worden gebruikt op bovenlichten, waarvan de vergrendeling wordt bediend door een ringvormig onderdeel dat bewogen kan worden door middel van een stok met een haak aan het eind.",,[]
8,bediend,300257611,stempelen,"['gestempeld', 'stempeldruk']","Het markeren van een oppervlak van een voorwerp door er op te drukken met een machine zoals een drukpers, een blok, een plaat of een frame waarop de elementen staan die het drukoppervlak vormen, vaak met een ontwerp in reliëf. Bij boekbinden wordt dit onderscheiden van 'handpersen (techniek)', waarbij een handmatig bediend apparaat wordt gebruikt in plaats van een machine.",,[]
9,bediend,300053643,handweven,['handgeweven'],"Het weven op een weefgetouw of ander apparaat, geheel of gedeeltelijk bediend door handen of voeten.",,[]
10,bediend,300236438,scheerapparaten,"['scheerapparaat', 'scheermes', 'scheermessen']",Scherpe voorwerpen die met de hand worden bediend of die op elektriciteit werken en speciaal worden gebruikt voor het scheren van het gezicht en benen of het bijknippen van haar.,,[]
11,bediend,300033402,secret gate latches,['secret gate latch'],Aan de buitenkant gemonteerde klinken die worden bediend door middel van een verborgen knop of een ander instrument; ze worden meestal gebruikt om deuren van bankgebouwen te vergrendelen.,,[]
12,bediend,300078300,cilinders (onderdelen van sloten),['cilinder (onderdeel van een slot)'],"Het omhulsel waarin zich het tuimelmechanisme en het sleutelgat bevinden, die alleen met de juiste sleutel kunnen worden bediend.",,[]
13,bediende,300404081,kroupezions,[],"Met voeten bediende slaginstrumenten die door de oude Grieken worden beschreven. De instrumenten hadden metalen plaatjes die geluid maakten zoals dat van de moderne tapdansschoen, zodat er een ritme mee kon worden geproduceerd.",,[]
14,bediende,300391325,laserpennen,['laserpen'],"Met de hand bediende apparaten die een intense, nauwe en parallelle straal van coherent en monochromatisch licht uitstralen, waarmee men dingen aanwijst.",,[]
15,bedienden,300038788,zomerbedden,['zomerbed'],"Benaming die door Thomas Sheraton werd gebruikt voor een elegant ontwerp van twee lits jumeaux met een gemeenschappelijk baldakijn,  waarbij een doorgang tussen de bedden zorgt dat de bedienden gemakkelijk toegang hebben.",,[]
16,bedienden,300038723,livery beds,['livery bed'],Bedden die voor gebruik van bedienden waren. Deze benaming wordt vaak aangetroffen op 16e- en 17e-eeuwse inventarislijsten.,,[]
17,bedienden,300375268,poenka's,"['poenka', 'panka', ""panka's""]","Grote apparaten waarmee kan worden gezwaaid om koelte te geven in een kamer. Ze bestaan uit met stof beklede frames die aan het plafond worden opgehangen en door bedienden of machines worden bewogen. Vooral gebruikt in India. Kan ook verwijzen naar grote handwaaiers, in het bijzonder handwaaiers die zijn gemaakt van palmyrapalmbladeren.",,[]
18,bedienden,300019143,Koh Ker,[],"Verwijst naar de vroege Angkor-stijl die werd ontwikkeld gedurende het tweede kwart van de tiende eeuw, na de opkomst van de Bakheng-stijl. In beeldhouwkunst weerspiegelt de stijl overeenkomsten met de Bakheng-stijl in de behandeling van gewaden, haarstijlen en juwelen, en in de overheersing van frontaliteit en lineaire abstractie van kenmerken. Beeldhouwkundige productie in deze stijl wordt, in tegenstelling tot andere vroege Angkor-stijlen, gekenmerkt door oorbellen en amuletten en figuren die worden afgebeeld in dynamische, actieve poses met uitgestrekte benen en armen. In decoratieve kunsten wordt deze stijl gekarakteriseerd door de weelderige bladmotieven die figuren van heiligen en bedienden omringen in het timpaan boven de lateien. Bewakersfiguren staan in de nissen van tempelingangen en stralen door hun houdingen en gelaatsuitdrukkingen een sfeer uit van rigide formaliteit.",,[]
19,birma,300019094,Pyu,[],"Verwijst naar de cultuur die is verbonden met een stad-koninkrijk in antiek Birma en die floreerde van circa 1 n. Chr. tot 9 n. Chr. en die de zuidelijke regio's Binnaka, Mongamo, Sri Ksetra en Halingyi omvat. Architectuur in de regio wordt gekenmerkt door gewelfde tempels, huizen, paleizen en kloosters gebouwd van hout en voorzien van daken die zijn bedekt met tegels van lood en tin, en die muren bevatten die zijn samengesteld uit geglazuurd steen. Decoratieve kunstnijverheid binnen huishoudens betrof keukengerei van goud en beeldjes van goud, groen glas, jade en kristal. Cilindrische stoepa's of grote grafurnen van diverse afmetingen versierden de periferie van de stadsmuren en tempels van het koninkrijk.",,[]
20,blanke,300037048,zwaarden (gevestwapens),"['zwaard (gevestwapen)', 'blanke gevestwapens', 'blank gevestwapen']",Blanke wapens voorzien van een gevest in plaats van een stok om alles vast te houden.,,[]
