,term,entity_id,text_1,text_2,text_3
0,black,whitelash.n.01,"['whitelash', 'white_backlash']",backlash by white racists against black civil rights advances,[]
1,black,euarctos.n.01,"['Euarctos', 'genus_Euarctos']",American black bears; in some classifications not a separate genus from Ursus,[]
2,black,piperin.n.01,"['piperin', 'piperine']",derived from pepper (especially black pepper); source of the hotness of black and white pepper,[]
3,black,nation_of_islam.n.01,['Nation_of_Islam'],a group of militant Black Americans who profess Islamic religious beliefs and advocate independence for Black Americans,[]
4,black,selenarctos.n.01,"['Selenarctos', 'genus_Selenarctos']",Asiatic black bears; in some classifications not a separate genus from Ursus,[]
5,burma,theravada.n.01,"['Theravada', 'Theravada_Buddhism']",one of two great schools of Buddhist doctrine emphasizing personal salvation through your own efforts; a conservative form of Buddhism that adheres to Pali scriptures and the non-theistic ideal of self purification to nirvana; the dominant religion of Sri Lanka (Ceylon) and Myanmar (Burma) and Thailand and Laos and Cambodia,[]
6,burma,lolo-burmese.n.01,"['Lolo-Burmese', 'Burmese-Yi']",the Tibeto-Burman language spoken in northern Burma and Yunnan,[]
7,burma,burmese.n.02,['Burmese'],the official language of Burma,[]
8,colored,orthoclase.n.01,['orthoclase'],a white or colored monoclinic feldspar,[]
9,colored,common_european_jay.n.01,"['common_European_jay', 'Garullus_garullus']",fawn-colored jay with black-and-white crest and blue-and-black wings,[]
10,colored,straw.s.01,['straw'],of a pale yellow color like straw; straw-colored,[]
11,colored,charolais.n.01,['Charolais'],large white or cream-colored breed from France,[]
12,colored,motley.s.02,"['motley', 'calico', 'multicolor', 'multi-color', 'multicolour', 'multi-colour', 'multicolored', 'multi-colored', 'multicoloured', 'multi-coloured', 'painted', 'particolored', 'particoloured', 'piebald', 'pied', 'varicolored', 'varicoloured']",having sections or patches colored differently and usually brightly,"['a jester dressed in motley', 'the painted desert', 'a particolored dress', 'a piebald horse', 'pied daisies']"
13,colored,fluorescent.s.02,['fluorescent'],brilliantly colored and apparently giving off light,['fluorescent colors']
14,descent,laser-guided_bomb.n.01,"['laser-guided_bomb', 'LGB']",a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent,['laser-guided bombs cannot be used in cloudy weather']
15,descent,polack.n.01,['polack'],a person of Polish descent,[]
16,descent,tay-sachs_disease.n.01,"['Tay-Sachs_disease', 'Tay-Sachs', 'Sachs_disease', 'infantile_amaurotic_idiocy']",a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,[]
17,descent,descent.n.03,['descent'],the act of changing your location in a downward direction,[]
18,descent,sinking.n.01,['sinking'],a descent as through liquid (especially through water),['they still talk about the sinking of the Titanic']
19,discover,reconnaissance_in_force.n.01,['reconnaissance_in_force'],an offensive operation designed to discover or test the enemy's strength (or to obtain other information),[]
20,discover,search_mission.n.01,['search_mission'],a mission to discover something,[]
21,discover,diviner.n.01,['diviner'],someone who claims to discover hidden knowledge with the aid of supernatural powers,[]
