,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,Q1493806,indigenous peoples of Australia,"['Australian aborigine people', 'Australian aborigines', 'Australian indigenous people', 'indigenous people of Australia', 'Aboriginal Australians']",['groupings of people that existed before the British colonisation of Australia in 1788'],['ethnic group'],['indigenous people']
1,aboriginal,Q113211688,traditional Aboriginal and Torres Strait Islander knowledges,,['traditional knowledge of the Indigenous Australian people'],"['knowledge system', 'traditional knowledge']",['knowledge']
2,aboriginal,Q3699302,Australian Aboriginal cultures,['Indigenous heritage in Australia'],['cultures'],[],['culture']
3,aboriginal,Q115959477,"traditional Aboriginal and Torres Strait Islander culture, language and history",,['traditional knowledge of the Indigenous Australian people'],"['knowledge system', 'traditional knowledge']",['knowledge']
4,aboriginal,Q6922014,Mount Margaret Aboriginal Community,"['Mount Margaret Mission', 'Mount Margaret Community']",['community in Western Australia'],['Indigenous Australian community'],[]
5,aboriginal,Q7721134,The Canadian Crown and Aboriginal peoples ya,,['association between the Canadian Crown and natives of Canada'],[],[]
6,aboriginal,Q106809106,British Columbia Aboriginal Network on Disability Society,,['Indigenous charity in Canada'],['organization'],[]
7,aboriginal,Q4668330,Aboriginal English,"['First Nations English', 'Indigenous English', 'Aboriginal English in Canada']",['variety of English dialect used by the Indigenous peoples of Canada'],['dialect'],['Canadian English']
9,aboriginals,Q5260661,Indigenous people of Cape York,['Cape York aboriginals'],,['group of humans'],[]
10,aboriginals,Q114875084,Aboriginals Benefit Account,,"['Australian government agency, 1978-']",['Australian Government body'],[]
11,aboriginals,Q16211163,Nunga,,term of self-reference for many Australian aboriginals,[],[]
12,baboo,Q28911267,Nuclear translation,,doctoral thesis by Sabyasachi Baboo,['doctoral thesis'],[]
13,baboo,Q56280783,Kedarnath Bhattacharya,['Baboo Kedarnath Bhattacharya'],['Indian politician and financier'],['human'],[]
14,baboo,Q23649752,"Baboo Hurry Bungsho Jabberjee, B.A.","['Baboo Hurry Bungsho Jabberjee', 'Baboo Jabberjee B.A.']",['1897 edition of a work by Thomas Anstey Guthrie'],"['version, edition, or translation']",[]
17,baboo,Q65999266,"State Bank of India, Bhanpur Baboo branch","['SBI, Bhanpur Baboo branch']",,['State Bank of India branch'],[]
19,barbarian,Q48997993,Barbarian Kings,,"['1980 board game published by Simulations Publications, Inc.']",['board game'],[]
20,barbarian,Q79979564,"Gourmet Shop, published in Endgrain:  Contemporary Wood Engravings in North America, 1994-1995",,"bound volume by Barry Moser (American, 1940-); Barbarian Press (1996.351)",['book'],[]
