,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,Q87669870,Aboriginal Corporation Bula'Bula Arts,"[""Bula'bula Arts Aboriginal Corporation"", ""Bula'Bula Arts Aboriginal Corporation""]",['organisatie uit Australië'],['organisatie'],[]
3,aboriginal,Q1125875,Congress of Aboriginal Peoples,,['organisatie uit Canada'],['organisatie'],[]
4,afkomst,Q853467,netneutraliteit,['Net neutraliteit'],"Het principe dat alle over internet verstuurde data gelijk wordt behandeld door internetproviders en overheden, ongeacht bijvoorbeeld afkomst, inhoud of bestemming van de data.",[],['principe']
5,afkomst,Q16832609,guilt by association,"['schuldig door afkomst,', 'schuld door verwantschap', 'afgeleide schuld']",['term'],['concept'],['drogreden van associatie']
6,afkomst,Q503701,George Young,['George Redburn Young'],"Australisch rockmusicus, liedjesschrijver en platenproducent van Schotse afkomst",['mens'],[]
7,afkomst,Q2606784,werknemersdiscriminatie,"['discriminatie op het werk', 'arbeidsdiscriminatie']","Discriminatie van werkgever bij werknemer vanwege kenmerken als leeftijd, seksuele voorkeur, afkomst, religie, zwangerschap of chronische ziekte",[],['discriminatie']
8,afkomst,Q2623685,lijst van bekende Amerikanen van Nederlandse afkomst,['Lijst van Nederlandse Amerikanen'],['Wikimedia-lijst'],['Wikimedia-lijst'],[]
9,afkomst,Q28861495,Steven Alzate,,"voetballer uit Engeland, van Colombiaanse afkomst (1998)",['mens'],[]
10,afkomst,Q2915008,drogreden van associatie,"['schuld door associatie', 'schuld door afkomst']",,['drogreden'],['schuldgevoel']
11,batavia,Q71859469,Vrouwenkamp Adek,"['kamp Adek', 'Adek-kamp in Batavia', 'ADEK']",['Jappenkamp gevestigd rond het Algemeen Delisch Emigratie-Kantoor'],"['interneringskamp', 'jappenkamp in Nederlands-Indië']",[]
12,batavia,Q112731023,Het Kasteel Batavia gezien van Kali Besar west met op de voorgrond de vismarkt,['De markt van Batavia'],['schilderij van Andries Beeckman'],['schilderij'],[]
14,batavia,Q4868674,Batavia Institute,,"['ziekenhuis in Illinois, Verenigde Staten van Amerika']","['ziekenhuis', 'voormalig ziekenhuis']",[]
15,batavia,Q95690836,Deli-Batavia Maatschappij,,"['Nederlandse tabaksmaatschappij, later samengegaan met Deli maatschappij']","['bedrijf', 'onderneming', 'koloniale onderneming', 'plantage']",[]
16,batavia,Q106494090,Deli-Batavia Rubber Maatschappij,,['organisatie uit Koninkrijk der Nederlanden'],"['organisatie', 'bedrijf', 'koloniale onderneming', 'plantage']",[]
17,batavia,Q1135383,Batavia,"['Batavia (Suriname)', 'Batavia (Coppename, Suriname)']",['plaats in Suriname'],['woonplaats'],[]
20,batavia,Q18149011,,,"openbare bibliotheek in Batavia, Verenigde Staten van Amerika",['bibliotheeknetwerk'],[]
21,bediende,Q85417384,"Portret van Lidia van Vredenburch (?-1679), met een bediende, 1669 gedateerd",,['schilderij door Caspar Netscher'],['schilderij'],[]
22,bediende,Q64512607,"Portret van een onbekende vrouw, met een bediende, 1675 gedateerd",,['schilderij door Caspar Netscher'],['schilderij'],[]
23,bediende,Q114709691,"Portret van een onbekende vrouw, met een bediende",,['schilderij van Caspar Netscher'],['schilderij'],[]
24,bediende,Q111696059,"Portret van Dirck Wilre (1636-?), met een bediende",,['schilderij van Pieter de Wit (active 1669)'],['schilderij'],[]
25,bediende,Q21728204,"Interieur met een bode, een vrouw die een brief leest en een bediende, 1653-1655",,['schilderij van Gerard Terborch'],['schilderij'],[]
26,bediende,Q106617191,"Interieur van een wachtlokaal met een zwarte bediende bij een stilleven van een zadel, een vaandel, trommels en kurassen; kaartende soldaten op de achtergrond",,['schilderij door David Teniers II'],['schilderij'],[]
27,bediende,Q17319920,Familiegroep met een zwarte man,['Onbekende familie met zwarte bediende'],"['olieverf op paneel van Willem Duyster, Amsterdam, Rijksmuseum']",['schilderij'],[]
28,bediende,Q61992245,"Portret van de familie van Melchior de Stanza (?-?) met een bediende en een zelfportret, ca. 1650",,['schilderij door Gonzales Coques'],['schilderij'],[]
29,bediende,Q114709692,"Portret van een onbekende vrouw, met een bediende",,,['schilderij'],[]
30,bediende,Q114720632,Portret van een onbekende man met zijn bediende na de jacht,,['schilderij van Willem van Mieris'],['schilderij'],[]
31,bedienden,Q29866358,"Dubbelportret van Alethea Talbot (1585-1654), gravin van Arundel en Sir Dudley Carleton (1573-1632), met twee bedienden",,['schilderij van Peter Paul Rubens'],['schilderij'],[]
32,bedienden,Q114455080,"Portret van Julius Schelto van Aitzema (....-1714), Sara van den Broek (....-1719), gast(en) en bedienden",,['schilderij van Gerard Wigmana'],['schilderij'],[]
33,bedienden,Q104529380,Jachtgezelschap te paard met bedienden en honden,,['schilderij van Pieter Wouwerman (1623)'],['schilderij'],[]
34,berber,Q23820411,Berber,,['berg in Algerije'],['berg'],[]
35,berber,Q60238020,Maria van der Hazelenkamp,"['Maria van der Hazelkamp', 'Maria van Bebber-van der Hazelenkamp', 'Mej. Berber', 'M. van der Hazelenkamp', 'M. van der Hazelkamp', 'M. van Bebber-van der Hazelenkamp', 'Mej. Bebber, Dieren Landbouw Photographische Inrichting', 'Mej. van Bebber Dieren landbouw']",['fotograaf'],['mens'],[]
36,birma,Q4787149,Monument Birma-Siam Spoorweg,['Monument Birma-Siam en Pakan Baroe Spoorwegen'],['bouwwerk in Arnhem'],['oorlogsmonument'],[]
38,birma,Q2202371,Birma,['Birma (motorfiets)'],['motorfiets'],['historische motorfietsfabrikant'],[]
40,birma,Q777074,Communistische Partij van Birma,,['politieke partij in Myanmar'],"['communistische partij', 'politieke partij']",[]
41,birma,Q2320667,Birma op de Olympische Zomerspelen 1948,,,['land op de Olympische Spelen'],[]
42,birma,Q7100729,Lijst van ridderorden in Birma,['Ridderorden in Birma'],['Wikimedia-lijst'],"['eer', 'orde van verdienste', 'onderscheiding']",['eretitel']
44,birma,Q2275691,Orde van Birma,['Orde van Birma (Verenigd Koninkrijk)'],['Verenigd Koninkrijk'],['onderscheiding'],[]
46,birma,Q11718,Dodenspoorlijn,"['Birma-spoorlijn', 'Birma-Siamspoorweg', 'Birma-Siam-spoorweg']",['bijnaam voor  spoorlijn in de Tweede Wereldoorlog tussen Thailand en Myanmar (Birma)'],['spoorlijn'],[]
50,birma,Q2522210,Birma op de Olympische Zomerspelen 1972,,,['land op de Olympische Spelen'],[]
51,blank,Q109293921,Blank Candlelight DOL-000578,,['publicatie'],['publicatie'],[]
52,blank,Q55354700,André Blank - Retrospectieve,,['tentoonstelling'],['tijdelijke tentoonstelling'],[]
53,blank,Q107471838,onderdeel van blank wapen,,,[],['wapenonderdeel']
54,blank,Q283976,return,"['\\r', 'wagenterugloop', '^M', 'carriage return', 'CR']",return-toets of één van de 'lege karakters' ('blank characters') uit een karakterset die kunnen voorkomen in tekstbestanden,"['mechanisme', 'Whitespace', 'Unicode-karakter']",['stuurteken']
55,blanken,Q17374742,"Vroeger woonhuis Ary Blanken, waterbouwkundige",['rijksmonumentnummer 16971'],"['Rijksmonument op Westhaven 34, Gouda']",['woonhuis'],[]
56,bombay,Q5226775,Matunga,,wijk in Bombay,['buurt of wijk'],[]
57,bombay,Q235884,Chhatrapati Shivaji Terminus,"['Victoria Terminus', 'treinstation van Mumbai']",bouwwerk in Bombay,"['bovengronds station', 'eindspoorwegstation', 'kopstation']",[]
58,bombay,Q891829,Bombay Bicycle Club,,['muziekgroep uit Verenigd Koninkrijk'],['muziekgroep'],[]
59,bombay,Q3259129,Nova Bombay,,['nederzetting in India'],['woonplaats'],[]
60,bombay,Q17448423,De Bombay,"['rijksmonumentnummer 393886', 'Restant van de poldermolen De Bombay', 'Bombay']","['windmolen in Doezum, Nederland']",['windmolen'],[]
63,bombay,Q1334920,Aartsbisdom Bombay,['Bisdom Bombay'],['rooms-katholiek bisdom in India'],['rooms-katholiek grootstedelijk aartsbisdom'],[]
65,bombay,Q5535200,geografie van Bombay,,,['geografie van geografische locatie'],"['stadsgeografie', 'geografie van India']"
66,calcutta,Q7553252,Sodepur,['Sodpur'],wijk in Calcutta,"['buurt of wijk', 'woonplaats']",[]
67,calcutta,Q178751,Aartsbisdom Calcutta,['Bisdom Calcutta'],['rooms-katholiek aartsbisdom in India'],['rooms-katholiek grootstedelijk aartsbisdom'],[]
69,calcutta,Q6404679,Kidderpore,,wijk in Calcutta,['buurt of wijk'],[]
70,calcutta,Q5018907,Calcutta,,['nederzetting in Belize'],['woonplaats'],[]
71,calcutta,Q7144868,Pathuriaghata,,wijk in Calcutta,['buurt of wijk'],[]
