,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,300198715,Creole (North American culture),"['Créole (North American culture)', 'Criollo']","In general, the term usually refers to a culture or style produced by people who were born in the Americas or nearby islands, but who were descended from colonists or slaves, as distinguished from people who arrived directly from Europe or Africa, or who were descended from aboriginal populations. It is used to refer to the cultures of different populations in the context of different regions; its usage is often contradictory from region to region. It refers to the culture and styles produced by white people who had Spanish parents and were born in the Spanish territories of North and South America in the sixteenth through eighteenth centuries; their culture and social position were distinguished from residents who had been born in Spain. In modern usage in the context of Latin America, it may refer to the culture of people born locally but of pure Spanish extraction or specifically to traditions of old-line families of predominantly Spanish descent. The term may also refer to the culture of early South American blacks born in America, as distinguished from blacks brought directly from Africa. In Louisiana in the United States it refers to the culture of either French-speaking white descendants of early French and Spanish settlers or of mulattos speaking a form of French and Spanish patois.  It may also refer to the culture of people in the West Indies who were born and naturalized there, but were of Spanish, French, or African descent; in modern usage in the context of the Caribbean, it is often used to refer to Caribbean culture in general, including elements from European, African, Asian, and Amerindian sources.",,[]
1,aboriginal,300379660,indigenous people,"['indigenous person', 'indigenous peoples', 'aboriginal peoples', 'indigenous populations', 'native peoples', 'aborigines', 'indigenes', 'people, indigenous']","The original, or earliest known, inhabitants of a colony or country.",,[]
2,aboriginal,300386485,Oraon (culture or style),['Kurukh (culture or style)'],"Style and culture of one of the largest Indian scheduled tribes, an aboriginal people of the Choṭa Nāgpur region in the state of Bihār, India. They call themselves Kurukh; they once lived farther to the southwest on the Rohtās Plateau, but they were dislodged by other populations and migrated to Choṭa Nāgpur, where they settled in the vicinity of Munda-speaking tribes.",,[]
3,aboriginal,300404576,indigenous art,"['art, indigenous', 'aboriginal art']","Art and cultural works produced by the original inhabitants of an area, as contrasted to works produced by descendants of colonists to the area. A primary usage of the term refers to cultures who pre-existed European colonialism in the Americas, Africa, and Oceania.",,[]
4,aboriginal,300435341,Vedda,['Veddah'],"Culture and ethnicity of the aboriginal people inhabiting the forest districts of Sri Lanka prior to the 6th century BCE. They adopted Sinhala and now no longer speak their own language. Ethnically, they are allied to the indigenous jungle peoples of southern India and to early populations in Southeast Asia.",,[]
5,aboriginal,300120040,Arnhem Land,['Arnhemland'],"Describes the style and culture of the Aboriginal Australian group located in Arnhem Land, a northeastern territory in Australia. The Fijian missionaries introduced fan making to the original inhabitants of Arnhem Land.",,[]
6,aboriginal,300264789,toas,[],"South Australian carved sculptures made of wood, gypsum, and ochre, which function as direction-markers. These sculptures were placed in the ground to indicate which particular tribal group inhabited the site or in which direction they could be found. The aboriginal Australians named Diyari constructed these innovative signposts at the Lutheran Mission at Killalpaninna between 1903 and 1906. Toas are not a traditional form of sculpture; it is believed that the production of toas was by the request of Europeans interested in aboriginal culture. Toas were only produced in the South Australian state.",,[]
7,aboriginal,300387326,native peoples reservations,"['native peoples reservation', ""reservations (native peoples')"", ""reservation (native peoples')""]","Tracts of land set aside by a government for aboriginal, tribal, or native populations.",,[]
8,aboriginal,300435249,"Black (general, race and ethnicity)",[],"General designation for the race, ethnicity, styles, culture, and heritage of people of sub-Saharan African origin or descent in places outside Africa, or of members of any dark-skinned group of peoples, including those of  Australian Aboriginal origin or descent.",,[]
9,aboriginal,300016282,Chokwe (culture or style),"['Cokwe', 'Jokwe', 'Ciokwe', 'Tuchokwe', 'Badjok', 'Bajokwe', 'Batshioko', 'Kioko', 'Kiokwe', 'Quioco']","Refers to the culture of the Bantu-speaking people inhabiting the southern Congo and northeastern Angola. They comprise many aboriginal peoples and conquering groups of Lunda origin, and they speak a language of the Benue-Congo branch of the Niger-Congo languages. They are hunters or agriculturalists, depending upon which region they inhabit. They live primarily in woodland savanna and strips of rainforest along rivers. ",,[]
