,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,300021862,Australisch Aboriginal,[],"Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de oorspronkelijke bewoners van Australië en hun afstammelingen. In de meeste gebieden van Australië worden tegenwoordig traditionele kunstvormen geproduceerd, maar veel Aboriginalkunstenaars beginnen inmiddels ook met allerlei andere media te werken, onder invloed van de mondialisering.",,[]
1,aboriginal,300264779,Warlpiri,[],"Beschrijft de diverse kunstobjecten die door het Aboriginal-volk de Warlpiri uit Midden-Australië worden vervaardigd. De Warlpiri staan bekend om hun zandtekeningen, bedoeld als informeel element van hun verhalen over de voorouders.",,[]
2,aboriginal,300264782,yawulyu,[],"Yawulya verwijst naar zandontwerpen en ceremonieën die zijn voorbehouden aan de vrouwen van het Aboriginal-volk de Warlpiri. De door vrouwen gemaakte zandontwerpen worden gebruikt bij het vertellen van verhalen als uiting van problemen met de seksualiteit, vruchtbaarheid en het welzijn, en vertegenwoordigen daarnaast de aanwezigheid van voorouders tijdens de ceremonieën. Hoewel de ontwerpen meestal in het zand worden getekend, worden ze soms ook in hout of steen gesneden of op lichamen geschilderd.",,[]
3,aboriginal,300120043,Kimberleys,[],"Beschrijft de diverse kunstvormen die worden vervaardigd door de Aboriginal-gemeenschap van de Kimberleys, die bekend staan om hun rotskunst en ceremoniële dansen.",,[]
4,aboriginal,300387325,Aboriginal-reservaten,['Aboriginal-reservaat'],"Gebieden die worden bewoond door voornamelijk inheemse volkeren. De term wordt voornamelijk gebruikt in Australië, maar kan ook in andere gebieden van toepassing zijn.",,[]
6,aboriginal,300264781,kuruwarri,[],"Kuruwarri verwijst naar zandontwerpen en ceremonieën die zijn voorbehouden aan de mannen van het Aboriginal-volk de Warlpiri. De door mannen gemaakte zandontwerpen worden gebruikt bij het vertellen van verhalen als representatie van de aanwezigheid en van de voortplantingskracht van voorouders. Hoewel de ontwerpen meestal in het zand worden getekend, worden ze soms ook in hout of steen gesneden of op lichamen geschilderd.",,[]
7,aboriginal,300393248,Wurundjeri,[],Verwijst naar de stijl of cultuur van het Australische Aboriginal-volk dat van oudsher in het land woonde dat nu bekend staat als het dal van de Yarra en Melbourne.,,[]
8,aboriginals,300120040,Arnhemland,[],"Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de Australische Aboriginals in Arnhemland, een gebied in het noordoosten van Australië. Dankzij de missionarissen van de Fiji-eilanden maakten de oorspronkelijke bewoners van Arnhemland kennis met het maken van waaiers.",,[]
9,aboriginals,300264310,altjeringa,[],"Een fundamenteel begrip in de religie van de Australische Aboriginals dat verwijst naar een mythologische periode in de tijd voor mensenheugenis toen de wereld werd gevormd en vermenselijkt door het optreden van mythische voorouderlijke wezens. Sommige van deze wezens hebben een menselijke of dierlijke (totem)vorm terwijl andere van vorm veranderen. Zij zijn verantwoordelijk voor de schepping van de verschillende soorten planten en dieren, met inbegrip van de mensen, en voor het vestigen van een lokale sociale orde en wetten om na te leven. In het geloof van de Aboriginals zijn deze voorouders spiritueel nu nog net zo levend als zij vroeger waren. Als geloofssysteem omvat de altjeringa totemisme: de mens wordt beschouwd als een onderdeel van de natuur dat niet fundamenteel verschilt van zijn mythische voorouders of van dieren, die allemaal een gemeenschappelijke levenskracht hebben. Deze verbinding wordt vaak zichtbaar gemaakt door het gebruik van totemfiguren.",,[]
10,aboriginals,300120045,Tasmaans,[],"Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de Tasmaanse Aboriginals, die zwaar te lijden hebben gehad van de Europese kolonisatie. Er zijn nauwelijks kunstwerken uit Tasmanië bewaard gebleven. Vroege documenten duiden erop dat Tasmanië een even rijke kunstzinnige traditie heeft gekend als andere delen van Australië. Vroege foto's en schilderijen van Thomas Bock laten voorbeelden zien van complexe haardecoraties en lichaamsversieringen.",,[]
11,aboriginals,300264761,röntgenstijl,[],"De röntgenstijl wordt aangetroffen in Arnhem Land, een gebied in Australië. Deze rotskunst van de Aboriginals heeft zich circa 2000 v. Chr. ontwikkeld en wordt nog altijd geproduceerd. Bij de röntgenstijl zijn naast het silhouet van een dierlijke of menselijke figuur ook de inwendige organen en botstructuur zichtbaar. Deze kunst wordt aangetroffen in ondiepe grotten, onder overhangende rotsen en op afgelegen locaties. De stijl geeft uitdrukking aan de innige band van de schilder met de natuur. Er worden hoofdzakelijk wereldlijke thema's afgebeeld.",,[]
12,aboriginals,300262832,zandschilderingen,"['zandschildering', 'zandtapijten']","Zeer gestileerde, ceremoniële ontwerpen in een beperkt aantal kleuren, samengesteld uit zand en andere natuurlijke materialen zoals mineralen of pollen. Ze worden gemaakt en gebruikt bij godsdienstige rituelen door verschillende bevolkingsgroepen, zoals de Navajo, Pueblo en Zuni in Noord-Amerika, de Aboriginals in Australië, en door Tibetanen, Japanners en Hindoes.",,[]
13,aboriginals,300264769,dynamische stijl,[],"De Dynamische stijl behoort tot de oudste gedocumenteerde rotskunststijlen. De kunst wordt aangetroffen op afgelegen locaties in het westen van het Australische gebied Arnhem Land. Rotsschilderingen in de dynamische stijl beelden kleine, rode, geanimeerde lucifershoutachtige figuurtjes af die meestal bezig zijn met jagen, vechten of met ceremoniële handelingen. Deze geornamenteerde figuren worden afgebeeld met wapens, en een enkele keer met een dierenkop. Australische Aboriginals beschrijven deze figuren vaak als een uitbeelding van Mimi, een lange, dunne, bedrieglijke geest die zich ophoudt in spleten in grotten en andere afgelegen locaties. De hoogte van deze figuren varieert tussen 200 en 300 millimeter. De stijl kan niet precies worden gedateerd, maar het werk is naar schatting enkele duizenden jaren oud.",,[]
14,aboriginals,300021861,Australisch,[],"Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de Australische Aboriginals en de huidige inwoners, zoals rotskunst, beeldhouwwerken in hout, klei en zand, lichaamsdecoratie en bastschilderwerk, zowel voor als na de kolonisatie door de Europeanen.",,[]
15,aboriginals,300264789,toa's,[],"Zuid-Australische uitgehakte beeldhouwwerken, die zijn gemaakt van hout, gips en oker en dienen als richtingaangevers. Deze beeldhouwwerken werden in de grond geplaatst om aan te geven welke stam de betreffende locatie in bezit had of in welke richting deze was te vinden. Volgens de Aboriginals waren de innovatieve wegwijzers tussen 1903 en 1906 bij de Lutheraanse missiepost van Killalpaninna gemaakt door Diyari. Toa's zijn geen traditionele beeldhouwwerken. Men denkt dat de productie van toa's volgde op een verzoek van Europeanen, die interesse hadden in de cultuur van de Aboriginals. Toa's werden alleen geproduceerd in de staat Zuid-Australië.",,[]
