,term_x,entity_id,text_1,text_2,text_3,text_4,text_5,term_y,check
0,aboriginal,Q254387,Orang Asli,,"inheemse minderheden van het schiereiland Maleisië; verzamelnaam voor de 18 etnische subgroepen die officieel voor administratieve doeleinden zijn ingedeeld onder Negrito, Senoi en Aboriginal Maleis",['etnische groep'],['inheemse bevolking'],,
1,aboriginal,Q100341850,Aboriginal kunst,,['Tentoonstelling uit 2002'],['tijdelijke tentoonstelling'],[],,
2,aboriginal,Q1476490,Regenboogslang,,scheppergod en motief in de kunst en religie van Aboriginal Australië,['mythische slang'],[],,
3,aboriginal,Q2479183,Canadian aboriginal syllabics,,,"['geconstrueerd schrift', 'abugida', 'alfabet met kapitalen']",['abugida'],,
4,aboriginal,Q170355,aborigines,"['Aboriginals', 'Australiden', 'Aboriginal', 'austraalnegers']",['Australië'],"['bevolking', 'inheemse bevolking']","['Australiërs', 'inwoner', 'inheemse bevolking']",aboriginal,True
7,aboriginal,Q5375657,Encyclopaedia of Aboriginal Australia,,['boek'],['literair werk'],[],,
8,aboriginal,Q16873160,National Aboriginal Conference,,,['politieke organisatie'],[],,
9,aboriginal,Q50771036,Aboriginal Policy Studies,,['academisch tijdschrift'],"['academisch tijdschrift', 'open-access tijdschrift']",[],,
10,aboriginal,Q781314,Australian Aboriginal Progressive Association,,['organisatie uit Australië'],['organisatie'],[],,
11,aboriginal,Q55369318,Remembering Forward. Australian Aboriginal Painting since 1960,,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
12,aboriginals,Q110629929,Etnologische tentoonstelling met Australische Aboriginals,,,['aspect van de geschiedenis'],[],,
13,aboriginals,Q216839,Inheemse volken van Taiwan,['Taiwanese aboriginals'],,"['geïsoleerde groep mensen', 'etnische groep']",['inheemse bevolking'],,
14,aboriginals,Q111248029,Sussy Dakaro,"['Tagarah', 'Princess Tagorah', 'Susi Dakara']",jonge Manbarra-vrouw die samen met acht andere Aboriginals op etnologische tentoonstellingen in Amerika en Europa werd ‘geëxposeerd’,['mens'],[],,
15,aboriginals,Q170355,aborigines,"['Aboriginals', 'Australiden', 'Aboriginal', 'austraalnegers']",['Australië'],"['bevolking', 'inheemse bevolking']","['Australiërs', 'inwoner', 'inheemse bevolking']",aboriginal,True
18,aboriginals,Q1492906,Wurundjeri,,"etnische groep Aboriginals in Zuidoost-Australië, bij Melbourne","['etnische groep', 'aborigines']",[],,
19,aboriginals,Q817828,Bennelong,,bemiddelaar afkomstig uit de Aboriginals,['mens'],[],,
20,achterlijk,Q10388983,achterlijk (zeil),,['touw in de achterkant van een zeil'],"['technische term', 'scheepsonderdeel', 'nautische term']",['lijkentouw'],,
21,afkomst,Q1642895,komaf,"['afkomst', 'afstamming', 'nakomeling']",,['verwantschap'],"['groep levenden', 'organisatie']",,
22,afkomst,Q905761,oorsprong van de vogels,['afkomst van de vogels'],['vraagstuk in de paleontologie'],[],['oorsprong'],,
23,afkomst,Q45315,Berbers,"['Tamazgha', 'Berberse wereld', 'Berberse afkomst', 'Berberse taal', 'Imazighen', 'Amazigh']",['etnische groep'],['etnische groep'],['stam'],berber,True
25,afkomst,Q55350216,"afkomst, herinnering & plek",,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
26,afkomst,Q12332701,rassendiscriminatie,,"discriminatie op grond van ras, huidskleur, afkomst of nationale of etnische afstamming",[],['discriminatie'],,
27,afkomst,Q110903593,,,etnische groep; Fransen van Rwandese afkomst,['etnische groep'],['Fransen'],,
28,afkomst,Q60741209,Indo-Māori,['Māori Indians'],etnische groep in Nieuw-Zeeland van mensen met gemengde Māori en Indiase afkomst,['etnische groep'],['Maori'],,
29,afkomst,Q423803,Kantonezen,['Kantonese afkomst'],['etnische groep'],['etnische groep'],[],,
30,afkomst,Q9031543,Categorie:Heilige of zalige van koninklijke afkomst,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
31,afkomst,Q3023540,Der Ling,['Yu Deling'],multiraciale historica van Chinees-Amerikaanse afkomst (1885-1944),['mens'],[],,
32,allochtone,Q55829603,Steunpunt Allochtone Meisjes & Vrouwen - Samv,,['organisatie uit België'],['organisatie'],[],,
33,allochtone,Q2098138,allochtone ouderen,,,[],['ouderen'],,
34,allochtonen,Q111256319,Haagse Allochtonen Partij,,['Nederlandse lokale politieke partij'],['lokale politieke partij'],[],,
35,allochtoon,Q2008347,allochtoon,,['persoon'],['sociale groep'],['mens'],allochtoon,True
36,allochtoon,Q492145,tokenisme,"['excuusneger', 'Token allochtoon']",['handelwijze waarbij slechts een plichtmatige of symbolische inspanning geleverd wordt om inclusief te zijn voor leden van minderheidsgroepen'],[],['discriminatie'],,
37,allochtoon,Q1979583,Allochtoon,,['geologie'],[],['rotsformatie'],,
38,baboe,Q936969,kinderjuffrouw,"['Baboe', 'Kindermeid', 'Kindermeisje']",,"['beroep', 'bezigheid']",['huishoudelijke hulp'],,
39,baboe,Q28090055,Studie (Baboe),,['schilderij van H.M.J. Verburg'],['schilderij'],[],,
40,baboe,Q43088035,Studie (Baboe),,['schilderij van Harry Verburg'],['schilderij'],[],,
41,barbaar,Q134313,barbaar,"['barbaren', 'barbaars']",,[],['volk'],barbarian,True
43,barbaar,Q2469867,Cohen de Barbaar,,['personage uit Schijfwereld'],['fictief mens'],[],,
