,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,Q103817,indigenous people,"['indigenous peoples', 'aboriginal peoples', 'traditional peoples', 'native peoples', 'indigenous culture']",['ethnic groups descended from and identified with the original inhabitants of a given region'],[],"['population group', 'people', 'ethnic group', 'minority group']"
1,aboriginal,Q96200400,land acknowledgement,"['indigenous land acknowledgment', 'native land acknowledgement', 'aboriginal land acknowledgement', 'territorial acknowledgement', 'land recognition', 'acknowledgement of country', 'acknowledgement of Traditional Custodians']","['statement, often connected to a building or work, that states which aboriginal peoples live or lived in the area the statement refers to']",[],"['acknowledgment', 'public statement']"
3,aboriginal,Q7980672,Welcome to Country and Acknowledgement of Country,,"ritual or formal ceremony performed at many events held in Australia, intended to highlight the cultural significance of the surrounding area to a particular Aboriginal clan or language group who are recognised as traditional owners of the land",[],['land acknowledgement']
4,aboriginal,Q28942344,Indigenous Australian community,"['Aboriginal community', 'Indigenous community']",['settlement populated primarily by Indigenous Australian people'],[],['human settlement']
5,aboriginal,Q8039318,Wurundjeri Woi Wurrung Cultural Heritage Aboriginal Corporation,['Wurundjeri Tribe Land and Compensation Cultural Heritage Council'],"['Australian aboriginal corporation representing the Wurundjeri people in Victoria, Australia']",['Aboriginal and Torres Strait Islander corporation'],[]
7,aboriginal,Q170355,Indigenous Australians,"['Aboriginal Australians', 'Australian Aboriginals', 'Torres Strait Islanders', 'Aborigines', 'Australian Aborigines']",['type of ethnic group consisting of native peoples of the Australian continent and Torres Strait Islands'],"['human population', 'indigenous people']","['Australians', 'inhabitant', 'indigenous people']"
8,aboriginal,Q5937166,indigene mascot controversy,"['Native American mascot controversy', 'native mascot controversy', 'aboriginal mascot controversy', 'AmerIndian mascot controversy']","['controversy over mascots depicting Native Americans, First Nations people, and other indigenous characters']",['controversy'],['social movement']
9,aboriginal,Q85739476,Aboriginal reserve,,['historic place relating to Australian Indigenous peoples'],['place'],[]
10,aboriginal,Q596718,Tjurunga,,"object  of religious significance by Central Australian Aboriginal people of the Arrernte (Aranda, Arunta) groups",[],[]
11,aboriginal,Q112729549,Indigenous Location,"['Community', 'Aboriginal and Torres Strait Islander communities', 'Indigenous locations', 'ILOC']",['Statistical territorial entity defined by the Australian Bureau of Statistics for the Census'],[],['statistical territorial entity of Australia']
