,term,entity_id,text_1,text_2,text_3,text_4,text_5,check
0,aboriginal,Q103817,indigenous people,"['indigenous peoples', 'aboriginal peoples', 'traditional peoples', 'native peoples', 'indigenous culture']",['ethnic groups descended from and identified with the original inhabitants of a given region'],[],"['population group', 'people', 'ethnic group', 'minority group']",True
1,aboriginal,Q96200400,land acknowledgement,"['indigenous land acknowledgment', 'native land acknowledgement', 'aboriginal land acknowledgement', 'territorial acknowledgement', 'land recognition', 'acknowledgement of country', 'acknowledgement of Traditional Custodians']","['statement, often connected to a building or work, that states which aboriginal peoples live or lived in the area the statement refers to']",[],"['acknowledgment', 'public statement']",
2,aboriginal,Q7980672,Welcome to Country and Acknowledgement of Country,,"ritual or formal ceremony performed at many events held in Australia, intended to highlight the cultural significance of the surrounding area to a particular Aboriginal clan or language group who are recognised as traditional owners of the land",[],['land acknowledgement'],
3,aboriginal,Q28942344,Indigenous Australian community,"['Aboriginal community', 'Indigenous community']",['settlement populated primarily by Indigenous Australian people'],[],['human settlement'],True
4,aboriginal,Q8039318,Wurundjeri Woi Wurrung Cultural Heritage Aboriginal Corporation,['Wurundjeri Tribe Land and Compensation Cultural Heritage Council'],"['Australian aboriginal corporation representing the Wurundjeri people in Victoria, Australia']",['Aboriginal and Torres Strait Islander corporation'],[],
5,aboriginal,Q170355,Indigenous Australians,"['Aboriginal Australians', 'Australian Aboriginals', 'Torres Strait Islanders', 'Aborigines', 'Australian Aborigines']",['type of ethnic group consisting of native peoples of the Australian continent and Torres Strait Islands'],"['human population', 'indigenous people']","['Australians', 'inhabitant', 'indigenous people']",
6,aboriginal,Q5937166,indigene mascot controversy,"['Native American mascot controversy', 'native mascot controversy', 'aboriginal mascot controversy', 'AmerIndian mascot controversy']","['controversy over mascots depicting Native Americans, First Nations people, and other indigenous characters']",['controversy'],['social movement'],
7,aboriginal,Q85739476,Aboriginal reserve,,['historic place relating to Australian Indigenous peoples'],['place'],[],
8,aboriginal,Q596718,Tjurunga,,"object  of religious significance by Central Australian Aboriginal people of the Arrernte (Aranda, Arunta) groups",[],[],True
9,aboriginal,Q112729549,Indigenous Location,"['Community', 'Aboriginal and Torres Strait Islander communities', 'Indigenous locations', 'ILOC']",['Statistical territorial entity defined by the Australian Bureau of Statistics for the Census'],[],['statistical territorial entity of Australia'],
10,aboriginals,Q170355,Indigenous Australians,"['Aboriginal Australians', 'Australian Aboriginals', 'Torres Strait Islanders', 'Aborigines', 'Australian Aborigines']",['type of ethnic group consisting of native peoples of the Australian continent and Torres Strait Islands'],"['human population', 'indigenous people']","['Australians', 'inhabitant', 'indigenous people']",True
11,aboriginals,Q65047988,Northern Territory Aboriginals Act 1910,,['act of the South Australian parliament which created a mechanism to control the lives of Aboriginal peoples of the Northern Territory'],[],[],True
12,aboriginals,Q4668360,Aboriginal community in Western Australia,"['West Australian aboriginal communities', 'indigenous Western Australian communities', 'aboriginal communities in WA', 'communities of aboriginals in Western Australia', 'Western Australian indigenous communities']",['communities of indigenous Western Australians'],[],['human settlement'],
13,aboriginals,Q376608,Australian Aboriginal mythology,"['mythology of Australian Aboriginals', 'mythology of Aboriginal Australians', 'mythology of indigenous Australians', 'Aboriginal Australian mythology', 'indigenous Australian mythology']",['ritual and traditional history of the indigenous peoples of Australia'],"['mythology', 'religion', 'ritual']",[],True
14,aboriginals,Q12060728,Aboriginal Australians,"['Aborigine', 'Aborigines', 'Aboriginals']",['term used to refer to some groups of Indigenous Australians'],['ethnic group'],[],True
15,aboriginals,Q16873103,Moseley Royal Commission,"['Royal Commission Appointed to Investigate, Report and Advise Upon Matters in Relation to the Condition and Treatment of Aborigines', 'Moseley Commission']",royal commission held in Western Australia about treatment of Aboriginals,['royal commission'],[],
16,aboriginals,Q4668400,Aboriginals Protection and Restriction of the Sale of Opium Act 1897,,"['Queensland law which controlled the activities, movement and land of Aboriginal people']",[],[],True
17,aboriginals,Q864079,Australian native police,,police units consisting of Australian aboriginals,['organization'],[],True
18,aboriginals,Q56751248,Constitution Alteration (Aboriginals) 1967,,"['Act of the Parliament of Australia, currently registered as C1967A00055']",['Act of the Parliament of Australia'],[],
19,aboriginals,Q5456272,Five years plan to governing aborigines,,military plan to submit the Taiwanese aboriginals to Japanese occupation,[],[],
20,allochtoon,Q2008347,allochtoon,,"['literally meaning ""originating from another country""']",['social group'],['human'],True
