label_uri,literal,lang,query_terms,odwn
l_142,Aboriginal,nl,aboriginal_aboriginals,aboriginal-n-1
l_259,achterlijk,nl,achterlijk_achterlijkst_achterlijkere_achterlijker_achterlijke_achterlijks_achterlijkste_achterlijkheid_achterlijken,achterlijkheid-n-1
l_149,Afkomst,nl,afkomst_afkomsten,afkomst-n-1_afkomst-n-2
l_150,Allochtoon,nl,allochtoon_allochtonen_allochtoons_allochtoonste_allochtoonst_allochtoner_allochtonere_allochtone,allochtoon-n-1
l_157,baboe,nl,baboe_baboes,baboe-n-1
l_153,Barbaar,nl,barbaar_barbaren,barbaar-n-1_barbaar-n-3_barbaar-n-4
l_167,Batavia,nl,batavia,None
l_154,Bediende,nl,bediende_bediendes_bediend_bedienden,bediende-n-2
l_158,Berber,nl,berber_berbers,Berber-n-2
l_168,Birma,nl,birma,Birma-n-1
l_161,Blank,nl,blank_blankere_blanker_blanke_blanks_blankste_blankst_blanken,blanke-n-1
l_163,Bombay,nl,bombay,Bombay-n-1
l_173,Boslandcreool,nl,boslandcreool_boslandcreolen,None
l_170,Bosneger,nl,bosneger_bosnegers,bosneger-n-1
l_165,Calcutta,nl,calcutta,Calcutta-n-1
l_174,Derde Wereld,nl,derde wereld,None
l_179,Dwerg,nl,dwerg_dwergen,dwerg-n-1
l_175,Eerste Wereld,nl,eerste wereld,None
l_185,Eskimo,nl,eskimo_ eskimo's,Eskimo-n-1
l_193,Etniciteit,nl,etniciteit_etniciteiten,etniciteit-n-1
l_194,etnische groep,nl,etnische groep_etnische groepen,None
l_196,Exotisch,nl,exotisch_exotischere_exotischer_exotische,None
l_197,Gay,nl,gay_gayer_gayst_gaye_gayste_gays,gay-n-1
l_211,gehandicapten,nl,gehandicapte_gehandicapten,gehandicapte-n-1
l_198,Gekleurd,nl,gekleurd_gekleurdste_gekleurdst_gekleurds_gekleurde_gekleurdere_gekleurder,None
l_204,Halfbloed,nl,halfbloed_halfbloeden,halfbloed-n-1
l_210,Handicap,nl,handicap_handicaps,handicap-n-1
l_213,Hermafrodiet,nl,hermafrodiet_hermafrodieten,hermafrodiet-n-1
l_217,Homo,nl,homo_ homo's,homo-n-1
l_219,Homoseksualiteit,nl,homoseksualiteit,homoseksualiteit-n-2_homoseksualiteit-n-3
l_218,Homoseksueel,nl,homoseksueel_homoseksueler_homoseksueelste_homoseksuelere_homoseksueelst_homoseksueels_homoseksuelen_homoseksuele,homoseksueel-n-1
l_224,Hottentot,nl,hottentot_hottentotten,Hottentot-n-1
l_226,Inboorling,nl,inboorling_inboorlingen,inboorling-n-1
l_228,Indiaan,nl,indiaan_indianen_indiaans,Indiaan-n-1
l_229,Indisch,nl,indisch_indischer_indische_indischere,None
l_230,Indo,nl,indo_ indo's,None
l_232,Inheems,nl,inheems_inheemst_inheemse_inheemsere_inheemste_inheemser,None
l_227,Inlander,nl,inlander_inlanders,inlander-n-1
l_287,Inuit,nl,inuk_inuit,Inuit-n-1
l_234,Islamiet,nl,islamiet_islamieten,islamiet-n-1
l_237,Jap,nl,jap_jappen_japs,Jap-n-1
l_238,Jappenkamp,nl,jappenkamp_jappenkampen,jappenkamp-n-1
l_236,Jappenkampen,nl,jappenkamp_jappenkampen,jappenkamp-n-1
l_244,Kaffer,nl,kaffer_kaffers,kaffer-n-2
l_245,Kaukasisch,nl,kaukasisch_kaukasische_kaukasischere_kaukasischer,Kaukasische-n-1
l_156,knecht,nl,knecht_knechten_knechts,knecht-n-1
l_246,Koelie,nl,koelie_koelies,koelie-n-1_koelie-n-2
l_247,Koppensneller,nl,koppensneller_koppensnellers,koppensneller-n-3
l_178,lagelonenlanden,nl,lagelonenland_lagelonenlanden,None
l_180,lilliputter,nl,lilliputter_lilliputters,lilliputter-n-1
l_166,Madras,nl,madras,Madras-n-1
l_172,Marron,nl,marron_marrons,None
l_253,Medicijnman,nl,medicijnman_medicijnmannen,medicijnman-n-1
