,Unnamed: 0,term,QID,wd_bow,spacy_cs,check
0,72742,aboriginal,Q103817,"['indigenous', 'people', 'population', 'group', 'people', 'ethnic', 'group', 'minority', 'group', 'indigenous', 'people', 'people', 'traditional', 'people', 'native', 'people', 'indigenous', 'culture', 'ethnic', 'group', 'descended', 'identified', 'original', 'inhabitant', 'given', 'region']",0.971,
1,73002,aboriginal,Q28942344,"['indigenous', 'australian', 'community', 'human', 'settlement', 'community', 'indigenous', 'community', 'settlement', 'populated', 'primarily', 'indigenous', 'australian', 'people']",0.945,True
2,74022,aboriginal,Q28943050,"['warndarang', 'people', 'extinct', 'language', 'group', 'australian', 'people', 'northern', 'territory']",0.937,
3,73813,aboriginal,Q9064330,"['native', 'people', 'ethnic', 'group', 'indigenous', 'people', 'people']",0.932,
4,72840,aboriginal,Q1493806,"['indigenous', 'people', 'australia', 'ethnic', 'group', 'indigenous', 'people', 'australian', 'aborigine', 'people', 'australian', 'aborigine', 'australian', 'indigenous', 'people', 'indigenous', 'people', 'australia', 'australian', 'grouping', 'people', 'existed', 'british', 'colonisation', 'australia']",0.9309999999999999,
5,72988,aboriginal,Q265730,"['tasmanians', 'ethnic', 'group', 'indigenous', 'people', 'australian', 'island', 'state', 'tasmania']",0.929,
6,74394,aboriginal,Q1125875,"['indigenous', 'people', 'assembly', 'canada', 'organization', 'congress', 'people', 'native', 'council', 'canada', 'canadian', 'indigenous', 'people', 'organization']",0.915,
7,73164,aboriginal,Q596718,"['tjurunga', 'object', 'religious', 'significance', 'central', 'australian', 'people', 'arrernte', 'aranda', 'arunta', 'group']",0.9129999999999999,
8,74289,aboriginal,Q7927181,"['victorian', 'ethnic', 'group', 'indigenous', 'people', 'australian', 'state', 'victoria']",0.905,
9,73196,aboriginal,Q6443011,"['kulin', 'kulin', 'language', 'group', 'australian', 'language', 'kulin', 'people', 'central', 'victoria']",0.9,
10,72723,aboriginals,Q170355,"['indigenous', 'australian', 'human', 'population', 'indigenous', 'people', 'australian', 'inhabitant', 'indigenous', 'people', 'aboriginal', 'australian', 'australian', 'aboriginal', 'torres', 'strait', 'islander', 'aborigine', 'australian', 'aborigine', 'type', 'ethnic', 'group', 'consisting', 'native', 'people', 'australian', 'continent', 'torres', 'strait', 'island']",0.9490000000000001,
11,72720,aboriginals,Q12060728,"['aboriginal', 'australian', 'ethnic', 'group', 'aborigine', 'aborigine', 'aboriginal', 'term', 'used', 'refer', 'group', 'indigenous', 'australian']",0.86,
12,72737,aboriginals,Q65047988,"['northern', 'territory', 'aboriginal', 'act', 'act', 'south', 'australian', 'parliament', 'created', 'mechanism', 'control', 'life', 'aboriginal', 'people', 'northern', 'territory']",0.851,
13,72729,aboriginals,Q4825132,"['australian', 'referendum', 'aboriginal', 'referendum', 'australian', 'referendum', 'aboriginal', 'constitution', 'alteration', 'aboriginal', 'bill', 'australian', 'referendum', 'legislating', 'aboriginal', 'people', 'successful', 'proposal', 'give', 'commonwealth', 'power', 'make', 'special', 'law', 'aboriginal', 'people', 'count', 'purpose', 'constitution']",0.8290000000000001,
14,72728,aboriginals,Q4668400,"['aboriginal', 'protection', 'restriction', 'sale', 'opium', 'act', 'queensland', 'law', 'controlled', 'activity', 'movement', 'land', 'aboriginal', 'people']",0.8170000000000001,
15,72726,aboriginals,Q376608,"['australian', 'aboriginal', 'mythology', 'mythology', 'religion', 'ritual', 'mythology', 'australian', 'aboriginal', 'mythology', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'mythology', 'ritual', 'traditional', 'history', 'indigenous', 'people', 'australia']",0.809,
16,72738,aboriginals,Q864079,"['australian', 'native', 'police', 'police', 'unit', 'consisting', 'australian', 'aboriginal']",0.784,
17,72719,aboriginals,Q114875084,"['aboriginal', 'benefit', 'account', 'australian', 'government', 'body', 'australian', 'government', 'agency']",0.777,
18,72733,aboriginals,Q5260661,"['indigenous', 'people', 'cape', 'york', 'group', 'human', 'cape', 'york', 'aboriginal']",0.768,
19,72721,aboriginals,Q16211163,"['nunga', 'term', 'self', 'reference', 'many', 'australian', 'aboriginal']",0.7559999999999999,
20,20686,allochtoon,Q2008347,"['social', 'group', 'human', 'literally', 'meaning', 'another']",1.0,
21,3167,barbarian,Q134313,"['ethnic', 'slur', 'people', 'person', 'perceived', 'either', 'uncivilized', 'primitive', 'based', 'stereotype']",0.866,
22,3217,barbarian,Q3030751,"['distinction', 'xenophobia', 'elitism', 'ethnocentrism', 'distinction', 'hua', 'yi', 'dichotomy', 'ancient', 'distinction', 'chinese', 'people', 'foreigner']",0.794,
23,3246,barbarian,Q5402094,"['kingdom', 'realm', 'historical', 'unrecognized', 'state', 'post', 'roman', 'kingdom', 'early', 'medieval', 'kingdom', 'series', 'medieval', 'kingdom', 'founded', 'dominated', 'northern', 'european', 'tribe', 'primarily', 'germanic', 'collapse', 'western', 'roman', 'empire']",0.7190000000000001,
24,3271,barbarian,Q64140395,"['barbarousking', 'human', 'american', 'streamer']",0.701,
25,3172,barbarian,Q15093669,"['dalmatian', 'city', 'state', 'dalmatian', 'locality', 'local', 'romance', 'population', 'survived', 'invasion']",0.6809999999999999,
26,3164,barbarian,Q131192,"['migration', 'period', 'invasion', 'great', 'invasion', 'germanic', 'invasion', 'invasion', 'rome', 'germanic', 'invasion', 'rome', 'period', 'european', 'history', 'century']",0.653,
27,3228,barbarian,Q4000582,"['turcilingi', 'people', 'century', 'europe']",0.65,
28,3277,barbarian,Q660643,"['lifan', 'yuan', 'government', 'agency', 'administrative', 'territorial', 'entity', 'γadaγdu', 'mongγul', 'un', 'törü', 'yi', 'jasaqu', 'jabudal', 'un', 'jamun', 'tulergi', 'golo', 'dasara', 'jurgan', 'lǐfànyuàn', '理藩院', 'board', 'national', 'minority', 'affair', 'court', 'territorial', 'affair', 'board', 'administration', 'outlying', 'region', 'office', 'relation', 'principality', 'office', 'control', 'office', 'mongolian', 'tibetan', 'affair', 'court', 'colonial', 'affair', 'mongol', 'yamen', 'mongol', 'department', 'lifan', 'ministry', 'monggo', 'jurgan', 'agency', 'government', 'qing', 'dynasty', 'supervised', 'qing', 'frontier', 'inner', 'asia', 'region', 'mongolian', 'dependency', 'oversaw', 'appointment', 'ambans']",0.65,
29,3288,barbarian,Q7510002,"['siege', 'florence', 'part', 'invasion', 'roman', 'empire']",0.632,
30,3147,barbarian,Q111817851,"['raph', 'action', 'figure', 'teenage', 'mutant', 'ninja', 'turtle', 'action', 'figure']",0.617,
31,2981,barbarians,Q15944418,"['ka', 'hentai', 'written', 'work', 'historical', 'document', 'kai', 'hentai', 'reversal', 'china', 'barbarian', 'reversal', 'china', 'barbarian', 'metamorphosis', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'barbarization', 'chinese', 'barbarization', 'civilised']",0.7959999999999999,
32,3042,barbarians,Q5366110,"['siyi', 'ethnic', 'group', 'four', 'barbarian', 'derogatory', 'chinese', 'name', 'various', 'people', 'bordering', 'ancient', 'china', 'namely', 'dongyi', '東夷', 'nanman', '南蠻', 'xirong', '西戎', 'beidi', '北狄']",0.765,
33,3017,barbarians,Q25230522,"['barbarian', 'byzantine', 'empire', 'aspect', 'geographic', 'region']",0.7490000000000001,
34,2975,barbarians,Q11624254,"['fujimoto', 'tesseki', 'tesseki', 'fujimoto', 'kibidanshi', 'tekkanshi', 'chūko', 'shinkin', 'tomon', 'shinnosuke', 'tetsumon', 'japanese', 'sonnō', 'jōi', 'respect', 'emperor', 'expel', 'barbarian', 'patriot', 'painter', 'penman']",0.727,
35,2963,barbarians,Q110730295,"['allegorical', 'composition', 'genius', 'minerva', 'fallen', 'barbarian', 'drawing']",0.726,
36,2971,barbarians,Q114350623,"['observation', 'upon', 'civilization', 'western', 'barbarian', 'particularly', 'english', 'book', 'john', 'swazey']",0.708,
37,3110,barbarians,Q96464545,"['barbarian', 'inside', 'gate', 'part', 'fear', 'immigration', 'ancient', 'rome', 'today', 'essay', 'essay', 'published']",0.706,
38,3045,barbarians,Q54645115,"['black', 'dove', 'herodotus', 'language', 'barbarian', 'literary', 'work', 'munson', 'rosaria']",0.7020000000000001,
