target_term,entity_id,pwn_score,wd_score,aat_score,match
aboriginal,Q28942344,1,2,2,TRUE
amazigh,Q45315,0,10,0,TRUE
batavia,Q17340464,0,2,0,TRUE
berber,Q45315,1,10,0,TRUE
black,Q5149038,1,1,0,TRUE
burma,Q2749165,1,1,0,TRUE
caucasian,Q107519129,0,0,0,FALSE
caucasian,Q7129609,1,11,0,TRUE
colored,Q5149038,1,7,0,TRUE
coolie,Q4774147,1,0,0,TRUE
descent,Q89659343,1,5,0,TRUE
disabled,Q12131,0,0,0,FALSE
ethnic group,Q219252,0,0,0,FALSE
ethnic group,Q2531956,0,0,0,FALSE
ethnic group,Q45315,0,0,0,FALSE
ethnic groups,Q2531956,0,0,0,FALSE
ethnicity,Q219252,0,0,0,FALSE
ethnicity,Q2531956,0,0,0,FALSE
ethnicity,Q45315,0,0,0,FALSE
ethnicity,Q80100972,0,0,0,FALSE
first world,Q85816262,0,0,0,FALSE
footman,Q107865522,0,0,0,FALSE
gay,Q17884,1,1,0,TRUE
gay,Q40246,1,5,0,TRUE
handicap,Q12131,1,8,0,TRUE
headhunter,Q6902629,0,0,0,FALSE
hermaphrodite,Q104717073,1,5,4,TRUE
homo,Q5,1,0,0,TRUE
homosexual,Q17884,0,0,0,FALSE
hottentot,Q219252,1,1,3,TRUE
imazighen,Q45315,0,10,0,TRUE
immigrant,Q4774147,0,0,0,FALSE
indigenous,Q28942344,0,2,2,TRUE
indigenous,Q45315,0,2,0,TRUE
indigenous,Q109607777,0,3,2,TRUE
indo,Q2749165,0,0,0,FALSE
intersex,Q104717073,1,9,3,TRUE
inuit,Q1671647,1,0,0,TRUE
lgbt,Q17884,0,18,6,TRUE
madras,Q10853395,1,2,0,TRUE
mohammedan,Q104968492,0,0,0,FALSE
mohammedan,Q63314480,0,0,0,FALSE
mulatto,Q7832650,0,0,0,FALSE
native,Q109607777,1,0,2,TRUE
people of color,Q2072081,0,0,0,FALSE
person of color,Q2072081,0,0,0,FALSE
primitive,Q6453739,0,1,0,TRUE
primitive,Q1942010,0,0,0,FALSE
queer,Q17884,1,3,1,TRUE
race,Q5,0,0,0,FALSE
race,Q7129609,1,2,1,TRUE
second world,Q59937323,0,0,0,FALSE
trans,Q17884,0,1,0,TRUE
trans,Q105222132,0,1,0,TRUE
western,Q160381,1,9,0,TRUE
white,Q7129609,1,7,0,TRUE
white,Q2072081,1,1,0,TRUE
white,Q4774147,0,0,0,FALSE
