term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
politionele acties,eng-30-01080366-n,"['regeringsbeleid', 'dreigen', 'staken', 'publieksvriendelijk', 'organiseren', 'oproep', 'aanleg', 'boeren', 'afkondigen', 'zullen', 'politioneel', 'beëindigen', 'afblazen', 'manifestatie', 'betuwelijn', 'karakter', 'actie', 'opschorten', 'voer', 'harden']",0.7219157795446126,0.7484148815237256,0.7577742665102758
politionele actie,,,,,
birma,eng-30-08715390-n,"['unie', 'myanmar', 'birma']",0.5824685332380096,0.3557963045826598,0.5003652696525164
birma,Birma-n-1,"['azië', 'land', 'birma']",0.9001762042163616,0.5002966823442703,0.7410006696765669
birma,eng-30-07972425-n,"['middeleeuws', 'birma', 'feodaal', 'leenstelsel', 'bestuursstelsel', 'staatsbestel', 'feodalisme', 'bestrijden']",0.6168644408746917,0.7414602137926901,0.7674466945773456
exotische,odwn-10-103621964-n,"['exotisch', 'kunst', 'ons', 'erfenis', 'figuurlijk', 'overblijfsel', 'gebruik', 'tijd', 'vroeg', 'besturen', 'koloniaal', 'nalatenschap', 'geschiedenis', 'cultureel', 'relict', 'behoren']",0,0.8063351184373768,0.8063351184373768
exotische,eng-30-07557434-n,"['exotisch', 'gang', 'fransman', 'chinees', 'opdienen', 'rechten', 'schotel', 'gerecht', 'voedsel', 'bereiden', 'klaarmaken', 'één', 'indische']",0,0.7523043984963403,0.7523043984963403
exotische,odwn-10-109734178-n,"['safaripark', 'exotisch', 'dier', 'park']",0,0.5656575320736291,0.5656575320736291
exotische,odwn-10-102422747-n,"['exotisch', 'noordzee', 'inheems', 'uitheems', 'tweehonderdvierentwintig', 'vissen', 'vissoort', 'leven', 'soort']",0,0.774666650064013,0.774666650064013
exotische,odwn-10-109734178-n,"['safaripark', 'exotisch', 'dier', 'park']",0,0.5656575320736291,0.5656575320736291
exotischere,,,,,
exotischer,,,,,
exotisch,odwn-10-108298613-n,"['exotisch', 'onbespoten', 'stuk', 'rood', 'fruit', 'tropisch', 'groente', 'onrijp', 'verversen', 'klein', 'ooft', 'turks', 'zacht', 'hard', 'vrucht', 'boomgewas']",0,0.6524784086591106,0.6524784086591106
exotisch,odwn-10-108583351-n,"['exotisch', 'mand', 'geven', 'fruit', 'ziek', 'fruitmand', 'vullen']",0,0.6436481508737617,0.6436481508737617
handicaps,eng-30-00849080-v,"['ons', 'mee', 'spotten', 'acteur', 'daarmee', 'handicap', 'vallen', 'uiterlijkheid', 'belachelijk', 'vooroordeel', 'maken', 'voorstelling', 'dagelijks']",0.8126042656793347,0.7147804120318599,0.8190717894772461
handicap,eng-30-14548343-n,"['gebrek', 'invaliditeit', 'arbeidsongeschiktheid', 'lichaamsgebrek', 'handicap', 'onbekwaamheid', 'werken', 'ziekte']",0.879689368981652,0.8447913518554194,0.8822150221377595
handicap,odwn-10-101168606-n,"['ongemak', 'handicap', 'gebrekkigheid']",0.8579199284608119,0.8115147067649161,0.8530853017779314
