term,overlap
aboriginal,1.0
aboriginals,0.8
achterlijken,1.0
achterlijkheid,1.0
afkomst,0.5
batavia,1.0
bediend,0.4
bediende,0.8
bedienden,0.6
bediendes,1.0
berber,1.0
berbers,1.0
birma,0.9
blank,1.0
blanke,0.6
blanken,1.0
bombay,1.0
calcutta,1.0
derde wereld,1.0
dwerg,1.0
dwergen,1.0
eskimo,1.0
eskimo's,1.0
etniciteit,0.9
etnische groep,0.5
etnische groepen,1.0
exotisch,1.0
exotische,1.0
gay,1.0
gehandicapte,1.0
gehandicapten,1.0
gekleurd,0.6
gekleurde,0.2
handicap,1.0
handicaps,1.0
hermafrodiet,1.0
hermafrodieten,1.0
homo,1.0
homoseksualiteit,1.0
homoseksueel,1.0
homoseksuele,1.0
homoseksuelen,1.0
hottentotten,1.0
indiaan,1.0
indiaans,1.0
indianen,0.5
indisch,1.0
indische,1.0
indo,0.7
inheems,0.1
inheemse,0.1
inuit,1.0
islamieten,1.0
kaukasisch,1.0
kaukasische,1.0
knecht,1.0
knechten,1.0
madras,1.0
metis,1.0
mohammedanen,1.0
mongolen,1.0
mongools,1.0
moor,1.0
moors,1.0
moren,1.0
mulatten,1.0
ontdekken,1.0
ontwikkelingsland,1.0
ontwikkelingslanden,1.0
oriëntaal,1.0
oriëntaals,1.0
oriëntaalse,1.0
page,1.0
pages,1.0
primitief,1.0
primitieve,0.7
primitiever,1.0
primitivisme,1.0
pygmee,1.0
pygmeeën,1.0
ras,1.0
rassen,1.0
slaaf,1.0
slaven,0.9
stam,0.4
stammen,0.4
traditioneel,0.2
traditionele,0.1
traditionelere,1.0
trans,1.0
transen,1.0
travestieten,1.0
westers,0.9
westerse,0.5
wit,0.1
witte,0.0
witten,1.0
witter,1.0
zigeuner,1.0
zigeuners,1.0
zwart,0.2
zwarte,0.1
zwarten,1.0
