term,overlap
aboriginal,1.0
achterlijke,1.0
achterlijkheid,1.0
afkomst,1.0
allochtonen,1.0
allochtoon,1.0
baboe,1.0
barbaar,1.0
barbaren,1.0
batavia,1.0
bediend,1.0
bediende,0.9
berber,1.0
berbers,1.0
birma,1.0
blank,1.0
blanke,0.9
blanken,1.0
bombay,1.0
bosneger,1.0
calcutta,1.0
derde wereld,1.0
dwerg,1.0
dwergen,1.0
eskimo,1.0
eskimo's,1.0
etniciteit,1.0
etnische groepen,1.0
exotisch,1.0
exotische,1.0
gay,1.0
gehandicapte,1.0
gehandicapten,1.0
gekleurd,1.0
gekleurde,1.0
halfbloed,1.0
handicap,1.0
handicaps,1.0
hermafrodiet,1.0
homo,1.0
homo's,1.0
homoseksualiteit,1.0
homoseksueel,1.0
homoseksuele,1.0
homoseksuelen,1.0
hottentot,1.0
inboorling,1.0
inboorlingen,1.0
indiaan,1.0
indiaans,1.0
indianen,1.0
indisch,1.0
indische,1.0
indo,1.0
inheemse,1.0
inlander,1.0
inlanders,1.0
inuit,1.0
islamiet,1.0
islamieten,1.0
jap,1.0
jappenkamp,1.0
jappenkampen,1.0
kaffer,1.0
kaukasische,1.0
knecht,1.0
knechten,1.0
koelie,1.0
koppensneller,1.0
lilliputter,1.0
madras,1.0
medicijnman,1.0
mesties,1.0
mohammedaan,1.0
mohammedanen,1.0
mongool,1.0
mongools,1.0
moor,1.0
moors,1.0
moren,1.0
mulat,1.0
neger,1.0
negers,1.0
ontdekken,0.8
ontwikkelingsland,1.0
ontwikkelingslanden,1.0
page,1.0
politionele acties,1.0
primitief,1.0
primitieve,1.0
pygmee,1.0
pygmeeën,1.0
ras,1.0
rassen,1.0
slaaf,1.0
slaven,1.0
stam,0.8
stammen,1.0
traditioneel,1.0
traditionele,0.7
trans,1.0
travestiet,1.0
volbloed,1.0
westers,1.0
westerse,1.0
wit,0.6
witte,0.4
witten,1.0
witter,1.0
zigeuner,1.0
zigeuners,1.0
zwart,0.5
zwarte,0.2
zwarten,1.0
