term,overlap
aboriginal,1.0
baboo,1.0
barbarian,1.0
barbarians,1.0
berber,1.0
berbers,1.0
black,0.5
blackest,1.0
blacks,1.0
bombay,1.0
burma,0.7
calcutta,1.0
caucasian,1.0
colored,0.4
coolie,1.0
descent,0.6
developing nations,1.0
disabled,1.0
discover,0.5
dwarf,0.8
dwarfs,1.0
eskimo,1.0
eskimos,1.0
ethnic group,0.9
ethnic groups,1.0
ethnicity,1.0
exotic,1.0
first world,1.0
footman,1.0
footmen,1.0
gay,0.9
gypsies,1.0
gypsy,1.0
half-breed,1.0
handicap,1.0
handicaps,1.0
headhunter,1.0
hermaphrodite,1.0
homo,0.9
homosexual,0.8
homosexuals,1.0
hottentot,1.0
immigrant,1.0
immigrants,0.6
indian,0.9
indians,0.8
indigenous,0.8
indo,0.6
inuit,1.0
kaffir,1.0
lilliputian,1.0
madras,1.0
maroon,0.9
medicine man,1.0
mestizo,1.0
mestizos,1.0
metis,1.0
mohammedan,1.0
mongoloid,1.0
moor,1.0
moors,1.0
mulatto,1.0
native,0.2
natives,0.9
negro,1.0
negroes,1.0
oriental,0.9
page,0.6
pages,0.6
primitive,0.6
primitivism,1.0
pygmy,1.0
queer,1.0
race,0.8
races,0.9
retarded,1.0
roots,0.2
second world,1.0
servant,0.8
servants,0.9
slave,0.7
slaves,0.9
third world,1.0
traditional,0.7
trans,1.0
transvestite,1.0
tribe,0.6
tribes,0.6
western,0.4
westerns,1.0
white,0.4
whiter,1.0
whites,0.9
