term,overlap
aboriginal,0.8
aboriginals,1.0
achterlijk,1.0
afkomst,0.3
allochtone,1.0
allochtonen,1.0
allochtoon,1.0
baboe,1.0
barbaar,1.0
barbaren,1.0
batavia,0.3
bediend,1.0
bediende,0.0
bedienden,0.7
berber,0.8
berbers,1.0
birma,0.2
blank,0.6
blanke,1.0
blanken,0.9
blanker,1.0
blanks,1.0
bombay,0.3
boslandcreool,1.0
bosneger,1.0
bosnegers,1.0
calcutta,0.2
derde wereld,1.0
dwerg,0.8
dwergen,0.9
eerste wereld,1.0
eskimo,0.9
eskimo's,1.0
etniciteit,0.9
etnische groep,0.6
etnische groepen,1.0
exotisch,0.3
exotische,0.4
exotischer,1.0
gay,0.9
gaye,0.7
gayer,1.0
gays,1.0
gehandicapte,1.0
gehandicapten,0.8
gekleurd,1.0
gekleurde,0.8
halfbloed,1.0
handicap,0.9
handicaps,1.0
hermafrodiet,1.0
homo,0.6
homo's,1.0
homoseksualiteit,0.7
homoseksueel,1.0
homoseksuele,1.0
homoseksuelen,1.0
hottentot,1.0
hottentotten,1.0
inboorling,1.0
indiaan,0.0
indiaans,1.0
indianen,0.8
indisch,0.6
indische,0.3
indischer,1.0
indo,0.7
indo's,1.0
inheems,0.4
inheemse,0.0
inlander,1.0
inlanders,1.0
inuit,1.0
inuk,1.0
islamiet,1.0
islamieten,1.0
jap,0.3
jappen,1.0
jappenkamp,1.0
jappenkampen,1.0
japs,1.0
kaffer,1.0
kaffers,1.0
kaukasisch,0.8
kaukasische,1.0
knecht,0.3
knechten,1.0
knechts,1.0
koelie,1.0
koelies,1.0
koppensnellers,1.0
lagelonenland,1.0
lilliputter,1.0
madras,0.3
marron,0.9
marrons,0.9
medicijnman,1.0
mesties,1.0
mestiezen,1.0
metis,0.9
mohammedaan,1.0
mohammedanen,1.0
mongolen,1.0
mongool,1.0
mongools,0.7
moor,0.2
moors,0.6
moren,0.7
mulat,1.0
mulatten,1.0
métis,1.0
neger,0.7
negers,1.0
ontdekken,0.9
ontwikkelingsland,1.0
ontwikkelingslanden,1.0
oriëntaals,0.6
oriëntaalse,1.0
page,0.9
pages,0.4
politionele actie,1.0
politionele acties,1.0
primitief,0.9
primitieve,0.7
primitivisme,1.0
pygmee,1.0
pygmeeën,1.0
queer,0.7
ras,0.7
rasse,1.0
rassen,0.9
rasser,1.0
rast,0.8
raste,1.0
roots,0.0
slaaf,0.8
slaven,0.9
stam,0.6
stammen,0.9
traditioneel,0.0
traditionele,0.0
trans,0.1
travestiet,1.0
tweede wereld,1.0
volbloed,1.0
wester,0.5
westers,1.0
westerse,0.8
wit,0.4
wits,1.0
witste,1.0
witte,0.1
witten,0.9
witter,1.0
wittere,1.0
zigeuner,1.0
zigeuners,0.9
zuid-rhodesië,0.8
zwart,0.2
zwarte,0.1
zwarten,1.0
zwarts,0.9
