,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
0,batavias,,,,,
1,batavia,,,,,
2,southern rhodesia,,,,,
3,madras,tamil_nadu.n.01,"['southeastern', 'madras', 'state', 'south', 'bengal', 'andhra', 'tamil_nadu', 'pradesh', 'india', 'bay', 'formerly']",0.8289464491108349,0.660223024762077,0.8194917858720813
4,madras,chennai.n.01,"['madras', 'chennai', 'bengal', 'nadu', 'bay', 'city', 'formerly', 'tamil']",0.817702053491265,0.6353944893463231,0.7905206253376301
5,madras,madras.n.03,"['patterned', 'madras', 'light', 'cotton', 'cloth']",0.3778884409945327,0.41523618914946964,0.4368500594809936
6,madras,savara.n.02,"['southeastern', 'madras', 'savara', 'spoken', 'dravidian', 'north', 'india', 'language']",0.6848603655714864,0.699215278856002,0.7471084104148512
7,madras,chennai.n.01,"['madras', 'chennai', 'bengal', 'nadu', 'bay', 'city', 'formerly', 'tamil']",0.817702053491265,0.6353944893463231,0.7905206253376301
8,madras,tamil_nadu.n.01,"['southeastern', 'madras', 'state', 'south', 'bengal', 'andhra', 'tamil_nadu', 'pradesh', 'india', 'bay', 'formerly']",0.8289464491108349,0.660223024762077,0.8194917858720813
9,low-income country,,,,,
10,low-income countries,,,,,
11,headhunters,,,,,
12,headhunter,headhunter.n.01,"['personnel', 'recruiter', 'corporation', 'especially', 'headhunter']",0.46111477034377274,0.7630591126489055,0.7398295157948359
13,headhunter,headhunter.n.02,"['preserve', 'shrinker', 'enemy', 'savage', 'cut', 'headhunter', 'head', 'trophy']",1.0,0.45099519100881635,0.7880558193663582
14,immigrants,varied.s.02,"['join', 'ranging', 'varied', 'widely', 'prompt', 'party', 'tradition', 'wide', 'immigrant', 'different', 'motif', 'ethnic', 'political', 'people']",0.7921845442578668,0.5884261220575558,0.8039981679674398
15,immigrants,inpouring.s.01,"['pouring', 'throng', 'inward', 'immigrant', 'inpouring']",0.6794325122336649,0.5036850806859019,0.6841357676283819
16,immigrants,varied.a.01,"['work', 'variety', 'varied', 'characterized', 'religious', 'immigrant', 'ethnic', 'tradition', 'interesting']",0.7817334966342131,0.6254030698636268,0.8003881940996531
17,immigrants,ethiopian.a.01,"['characteristic', 'ethiopia', 'relating', 'language', 'ethiopian', 'immigrant', 'people']",0.8475089181878823,0.6329454960281957,0.8537337704241177
18,immigrants,harmoniously.r.01,"['british', 'problem', 'manner', 'immigrant', 'absorbing', 'society', 'harmoniously', 'harmonious', 'important']",0.7583845451541035,0.5954015485264306,0.7764933668045972
19,immigrants,bullpen.n.02,"['refugee', 'trial', 'confined', 'temporarily', 'people', 'together', 'large', 'illegal', 'immigrant', 'cell', 'detention_cell', 'detention_centre', 'prisoner', 'awaiting', 'bullpen', 'sentence']",0.809765577963743,0.5826552565387936,0.81458787907789
