,lemma,Unnamed: 0,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
4020,aboriginal,4020,aboriginal,native.a.03,"['characteristic', 'australia', 'relating', 'american', 'region', 'inhabiting', 'beginning', 'native', 'aboriginal', 'people']",0.9468110412070492,0.8782647405212839,0.9534527035353936
4019,aboriginal,4019,aboriginal,native.n.01,"['indigen', 'plan', 'coast', 'canadian', 'indigenous', 'person', 'place', 'grant', 'government', 'student', 'northwest', 'aborigine', 'tax', 'indigene', 'scrapped', 'native', 'particular', 'art', 'college', 'born', 'aboriginal']",0.9426342873644458,0.7728941233482631,0.9355621733098576
4024,aboriginal,4024,aboriginal,australia.n.01,"['british', 'year', 'ago', 'asia', 'continent', 'sent', 'thought', 'australia', 'whole', 'convict', 'tribe', 'australian', 'nation', 'penal', 'commonwealth_of_australia', 'colony', 'first', 'southeastern', 'european', 'migrated', 'occupying', 'aboriginal']",0.8451401536263679,0.7577497886620328,0.8434859220146385
4021,aboriginal,4021,aboriginal,aboriginal.s.02,"['life', 'primeval', 'state', 'primaeval', 'earth', 'matter', 'primal', 'earliest', 'stage', 'appearance', 'primordial', 'existed', 'form', 'original', 'beginning', 'forest', 'aboriginal', 'era']",0.825852373147515,0.7524952737888811,0.8314507433806789
4026,aboriginal,4026,aboriginal,dravidian.n.01,"['dravidian', 'one', 'inhabitant', 'india', 'aboriginal', 'member']",0.8012258984942708,0.7322596250333818,0.8023907546532477
4027,aboriginal,4027,aboriginal,alaska_native.n.01,"['alaskan_native', 'descendant', 'alaska', 'native_alaskan', 'alaska_native', 'aboriginal', 'people', 'member']",0.7933385762876868,0.6484553010440123,0.7819441515194442
52,barbarian,52,barbarian,barbarian.s.01,"['efficient', 'barbaric', 'crude', 'civilizing', 'practice', 'especially', 'invader', 'uncivilized', 'uncivilised', 'weapon', 'barbarian', 'people', 'tribe', 'influence', 'fighting', 'meade', 'savage', 'margaret', 'wild', 'without']",0.9535504146178664,0.7327127780067554,0.9478254237606348
51,barbarian,51,barbarian,peasant.n.03,"['ill', 'tike', 'boor', 'crude', 'lacking', 'goth', 'bred', 'uncouth', 'refinement', 'peasant', 'tyke', 'person', 'churl', 'barbarian', 'culture']",0.9106035052585252,0.5775232087065222,0.878845568979051
50,barbarian,50,barbarian,savage.n.01,"['savage', 'barbarian', 'uncivilized', 'people', 'member']",0.8060002188472809,0.5844654054415291,0.7883058470445216
54,barbarian,54,barbarian,attila.n.01,"['hun', 'empire', 'scourge_of_the_gods', 'attila', 'successful', 'scourge_of_god', 'king', 'attila_the_hun', 'roman', 'invader', 'barbarian']",0.6831003607250236,0.6005209901158755,0.6881838996907597
