,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
4544,aboriginal,aboriginals,300438772.0,"['responsibility', 'matrimony', 'people', 'belief', 'hengchun', 'northerner', 'class', 'interaction', 'stretch', 'follows', 'among', 'southern', 'develop', 'population', 'amis', 'malalikid', 'denomination', 'governed', 'coastal', 'cultural', 'home', 'agrarian', 'member', 'rooted', 'xiuguluan', 'mikadafo', 'taiwan', 'north', 'route', 'chinese', 'social', 'style', 'largest', 'culture', 'adapt', 'three', 'tribe', 'harvest', 'different', 'territory', 'linguistic', 'nanshi', 'matrilineal', 'bride', 'geographical', 'assign', 'subcategories', 'men', 'clan', 'important', 'term', 'eastern', 'male', 'celebration', 'came', 'migration', 'task', 'known', 'south', 'qilai', 'age', 'way', 'taitung', 'refer', 'aboriginal', 'two', 'chief', 'based', 'rule', 'group', 'identity', 'marries', 'used', 'difference', 'inheritance', 'land', 'falangaw', 'northern', 'low', 'unifies', 'intricately', 'peninsula', 'plain', 'festival', 'region', 'pangcah', 'property', 'structure', 'lived', 'meaning', 'middle', 'traditional', 'tribal', 'valley']",0.94254019387565,0.8328577205814668,0.9464840074792099
4577,aboriginal,aboriginal,300198715.0,"['position', 'including', 'people', 'also', 'united', 'colonist', 'louisiana', 'nearby', 'century', 'line', 'source', 'america', 'amerindian', 'black', 'brought', 'parent', 'early', 'french', 'state', 'population', 'slave', 'old', 'africa', 'island', 'naturalized', 'element', 'contradictory', 'often', 'north', 'context', 'social', 'either', 'style', 'europe', 'tradition', 'créole', 'culture', 'criollo', 'indie', 'latin', 'family', 'directly', 'may', 'different', 'caribbean', 'territory', 'african', 'european', 'predominantly', 'extraction', 'general', 'descendant', 'patois', 'modern', 'term', 'spain', 'resident', 'specifically', 'south', 'refer', 'aboriginal', 'asian', 'produced', 'usually', 'sixteenth', 'settler', 'locally', 'white', 'used', 'form', 'mulatto', 'creole', 'eighteenth', 'pure', 'descended', 'distinguished', 'west', 'born', 'usage', 'refers', 'arrived', 'descent', 'region', 'spanish', 'american', 'speaking']",0.9407373239318682,0.8631052917286969,0.9485014073024628
4579,aboriginal,aboriginal,300379660.0,"['known', 'people', 'original', 'population', 'country', 'native', 'inhabitant', 'indigene', 'earliest', 'aborigine', 'aboriginal', 'indigenous', 'colony', 'person']",0.9391711241141744,0.8151988351827285,0.9346225573507948
4595,aboriginal,aboriginal,300386485.0,"['dislodged', 'plateau', 'rohtās', 'people', 'choṭa', 'call', 'style', 'largest', 'scheduled', 'culture', 'aboriginal', 'tribe', 'southwest', 'indian', 'india', 'nāgpur', 'one', 'state', 'population', 'region', 'vicinity', 'bihār', 'migrated', 'settled', 'farther', 'kurukh', 'lived', 'speaking', 'munda', 'oraon']",0.9198592204705062,0.7991107232734872,0.9194960552804856
4592,aboriginal,aboriginal,300404576.0,"['primary', 'contrasted', 'culture', 'aboriginal', 'colonist', 'produced', 'existed', 'oceania', 'america', 'work', 'area', 'european', 'usage', 'refers', 'pre', 'colonialism', 'art', 'descendant', 'inhabitant', 'cultural', 'indigenous', 'term', 'africa', 'original']",0.9182435154433991,0.8551326824839219,0.9246879128776054
4571,aboriginal,aboriginal,300435341.0,"['lanka', 'southeast', 'people', 'district', 'veddah', 'longer', 'sri', 'culture', 'allied', 'aboriginal', 'sinhala', 'century', 'language', 'ethnicity', 'ethnically', 'india', 'early', 'southern', 'speak', 'population', 'vedda', 'adopted', 'asia', 'indigenous', 'jungle', 'inhabiting', 'prior', 'bce', 'forest']",0.9157644565283442,0.8333193107689838,0.9188256806392684
4554,aboriginal,aboriginal,300120040.0,"['style', 'culture', 'located', 'fijian', 'aboriginal', 'northeastern', 'territory', 'australia', 'group', 'describes', 'arnhem', 'missionary', 'inhabitant', 'australian', 'making', 'original', 'arnhemland', 'fan', 'introduced', 'land']",0.9103599181359044,0.8064375150846717,0.9102091226959136
4593,aboriginal,aboriginal,300264789.0,"['toas', 'made', 'function', 'request', 'south', 'sculpture', 'culture', 'could', 'aboriginal', 'wood', 'killalpaninna', 'indicate', 'produced', 'signpost', 'believed', 'particular', 'diyari', 'site', 'found', 'european', 'ground', 'group', 'interested', 'carved', 'state', 'production', 'placed', 'direction', 'form', 'australian', 'ochre', 'lutheran', 'traditional', 'constructed', 'inhabited', 'tribal', 'named', 'mission', 'innovative', 'marker', 'gypsum']",0.9025283005936799,0.8285300758025461,0.91058758866056
4580,aboriginal,aboriginal,300387326.0,"['set', 'tract', 'aboriginal', 'people', 'population', 'native', 'tribal', 'government', 'reservation', 'land', 'aside']",0.9012055372353962,0.7890947984734952,0.9012839105798136
4565,aboriginal,aboriginal,300435249.0,"['including', 'people', 'style', 'culture', 'aboriginal', 'heritage', 'ethnicity', 'designation', 'black', 'african', 'saharan', 'group', 'general', 'descent', 'race', 'place', 'skinned', 'australian', 'africa', 'dark', 'sub', 'outside', 'member', 'origin']",0.9007899086096308,0.8437267545918615,0.908469510185762
34,barbarian,barbarian,300018409.0,"['painting', 'people', 'also', 'emperor', 'adorn', 'burial', 'run', 'civilized', 'gandharan', 'moved', 'buddhism', 'longmen', 'built', 'magnificent', 'rely', 'temple', 'state', 'organize', 'population', 'demonstrating', 'accustomed', 'year', 'yungang', 'old', 'period', 'city', 'reigned', 'private', 'china', 'divided', 'tuoba', 'frontiersman', 'chinese', 'north', 'style', 'marked', 'culture', 'buddhist', 'dynastic', 'begun', 'pingcheng', 'feature', 'later', 'make', 'worked', 'distinction', 'began', 'eastern', 'influenced', 'became', 'symmetry', 'feel', 'craftsman', 'made', 'south', 'frontality', 'collapse', 'sculpture', 'initially', 'emerging', 'language', 'luoyang', 'ruin', 'use', 'thousand', 'leading', 'le', 'revolted', 'xiaowendi', 'dating', 'neglected', 'luxury', 'pottery', 'touba', 'linear', 'static', 'nomadic', 'instigation', 'nevertheless', 'patronage', 'emphasizes', 'official', 'barbarian', 'new', 'western', 'half', 'wei', 'northern', 'cave', 'capital', 'million', 'refers', 'art', 'forbidden', 'dynasty', 'icon', 'flourished', 'institution']",0.8024801636281068,0.7717835764098745,0.8368055223724935
35,barbarian,barbarian,300106913.0,"['often', 'stylized', 'including', 'dot', 'inlay', 'barbarian', 'style', 'age', 'roman', 'sculpture', 'lombard', 'culture', 'characterized', 'classical', 'instead', 'isolated', 'object', 'illumination', 'produced', 'tribe', 'line', 'empire', 'medieval', 'garnet', 'cross', 'work', 'area', 'vandal', 'ostrogoth', 'jewelry', 'enamel', 'repetitive', 'refers', 'declining', 'portable', 'ornamental', 'pattern', 'evident', 'art', 'gold', 'departure', 'design', 'frank', 'metalsmiths', 'favor', 'chevron', 'manuscript', 'architecture', 'period', 'dark', 'influenced', 'overran', 'visigoth', 'teutonic', 'color', 'migrant', 'migration']",0.8013395031913021,0.7389364945914189,0.8297374791280131
