,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
87351,aboriginal,aboriginal,Q103817,"['culture', 'aboriginal', 'minority', 'descended', 'group', 'original', 'inhabitant', 'people', 'given', 'native', 'ethnic', 'indigenous', 'population', 'identified', 'traditional', 'region']",0.9477046351135296,0.8204951070354802,0.9453031852049216
87882,aboriginal,aboriginal,Q96200400,"['statement', 'state', 'territorial', 'building', 'area', 'native', 'custodian', 'work', 'connected', 'country', 'traditional', 'acknowledgement', 'refers', 'land', 'people', 'public', 'indigenous', 'acknowledgment', 'live', 'aboriginal', 'lived', 'often', 'recognition']",0.9376661390150376,0.8148292360093571,0.9386056206965226
88901,aboriginal,aboriginal,Q7980672,"['language', 'area', 'event', 'recognised', 'performed', 'intended', 'group', 'surrounding', 'country', 'formal', 'traditional', 'ritual', 'acknowledgement', 'highlight', 'particular', 'land', 'welcome', 'ceremony', 'australia', 'held', 'significance', 'aboriginal', 'owner', 'cultural', 'many', 'clan']",0.9291228247482112,0.8143583862220861,0.9295879383553672
87611,aboriginal,aboriginal,Q28942344,"['aboriginal', 'people', 'community', 'indigenous', 'australian', 'settlement', 'populated', 'primarily', 'human']",0.9217234120355204,0.8424496296395514,0.9241069629667548
88372,aboriginal,aboriginal,Q8039318,"['victoria', 'corporation', 'strait', 'council', 'representing', 'torres', 'australian', 'wurundjeri', 'wurrung', 'land', 'people', 'australia', 'islander', 'woi', 'aboriginal', 'compensation', 'cultural', 'heritage', 'tribe']",0.9204160961366288,0.8212558069830407,0.91908831804489
87332,aboriginal,aboriginals,Q170355,"['aboriginal', 'inhabitant', 'strait', 'group', 'consisting', 'people', 'type', 'islander', 'ethnic', 'indigenous', 'australian', 'population', 'torres', 'native', 'continent', 'island', 'aborigine', 'human']",0.9203299119533012,0.8322869574658598,0.9218455596059396
87771,aboriginal,aboriginal,Q5937166,"['movement', 'indigene', 'depicting', 'aboriginal', 'amerindian', 'character', 'nation', 'people', 'native', 'indigenous', 'social', 'american', 'mascot', 'controversy', 'first']",0.9145171748029788,0.8126776596065257,0.9146079031840244
88416,aboriginal,aboriginal,Q85739476,"['aboriginal', 'reserve', 'place', 'people', 'indigenous', 'australian', 'relating', 'historic']",0.914109272343752,0.8475297815916388,0.9182527594795932
87773,aboriginal,aboriginal,Q596718,"['tjurunga', 'significance', 'aboriginal', 'religious', 'group', 'central', 'people', 'object', 'australian', 'arunta', 'arrernte', 'aranda']",0.911515406700924,0.8296476254655716,0.9165041937261614
87405,aboriginal,aboriginal,Q112729549,"['defined', 'aboriginal', 'territorial', 'statistical', 'iloc', 'strait', 'australia', 'bureau', 'community', 'islander', 'statistic', 'entity', 'indigenous', 'torres', 'australian', 'census', 'location']",0.9087012226993256,0.8473405919477021,0.9157724496402762
27666,allochtoon,allochtoon,Q2008347,"['meaning', 'allochtoon', 'group', 'originating', 'another', 'literally', 'country', 'social', 'human']",1.0,0.6289925810104308,0.9259538563666933
3241,barbarian,barbarian,Q134313,"['slur', 'primitive', 'person', 'perceived', 'stereotype', 'uncivilized', 'barbarian', 'people', 'ethnic', 'either', 'based']",0.8961420555093872,0.6674491783050913,0.8888808747185443
3291,barbarian,barbarian,Q3030751,"['sino', 'chinese', 'barbarian', 'xenophobia', 'hua', 'people', 'elitism', 'distinction', 'foreigner', 'ethnocentrism', 'ancient', 'dichotomy']",0.8293478870839881,0.6906661306830739,0.8345409085441151
3055,barbarian,barbarians,Q15944418,"['barbarization', 'chinese', 'document', 'barbarian', 'historical', 'reversal', 'civilised', 'china', 'metamorphosis', 'written', 'civilized', 'kai', 'hentai', 'transformation', 'work']",0.7806403186737989,0.7715869921565522,0.8175435670879783
3320,barbarian,barbarian,Q5402094,"['post', 'series', 'kingdom', 'state', 'barbarian', 'historical', 'primarily', 'western', 'northern', 'realm', 'founded', 'dominated', 'european', 'empire', 'medieval', 'unrecognized', 'roman', 'collapse', 'early', 'germanic', 'tribe']",0.7748291165539158,0.744863064072072,0.8023583367120314
3345,barbarian,barbarian,Q64140395,"['streamer', 'barbarian', 'american', 'barbarousking', 'human']",0.7691553360422935,0.6393705489939889,0.7741850884629312
3184,barbarian,barbarians,Q96464545,"['gate', 'rome', 'fear', 'barbarian', 'published', 'part', 'immigration', 'today', 'inside', 'ancient', 'essay']",0.7682232307324991,0.7528884576977423,0.8018098164542109
3091,barbarian,barbarians,Q25230522,"['aspect', 'empire', 'byzantine', 'barbarian', 'geographic', 'region']",0.7606724390253999,0.7434332307531318,0.7912980247271921
3185,barbarian,barbarians,Q96464582,"['gate', 'immigrant', 'labor', 'barbarian', 'discontent', 'published', 'part', 'inside', 'essay']",0.7504843539183045,0.7546208357611814,0.7898978578116527
3116,barbarian,barbarians,Q5366110,"['chinese', 'four', 'various', 'dongyi', 'barbarian', 'bordering', 'group', 'western', 'derogatory', 'northern', 'siyi', 'people', 'china', 'name', 'ancient', 'xirong', 'southern', 'namely', 'eastern', 'ethnic', 'beidi', 'nanman']",0.7489567980184371,0.6863157752166745,0.7694486699785363
3351,barbarian,barbarian,Q660643,"['supervised', 'tibetan', 'tulergi', 'territorial', 'administration', 'jasaqu', 'qing', 'jurgan', 'barbarian', 'dependency', 'administrative', 'dynasty', 'lifan', 'törü', 'jamun', 'principality', 'tibet', 'national', 'colonial', 'lǐfànyuàn', 'outlying', 'region', 'frontier', 'yamen', 'ministry', 'empire', 'court', 'dasara', 'mongolian', 'yuan', 'monggo', 'inner', 'government', 'asia', 'oversaw', 'jabudal', 'golo', 'agency', 'minority', 'board', 'affair', 'entity', 'mongγul', 'mongol', 'appointment', 'ambans', 'department', 'control', 'γadaγdu', 'office', 'relation', '理藩院']",0.7395710238898937,0.7381513456403858,0.7773772202720307
131,batavia,batavia,Q1199713,"['city', 'indie', 'east', 'capital', 'toponym', 'jakarta', 'batavia', 'dutch']",1.0,0.73307297390461,0.8787509652809431
184,batavia,batavia,Q23043356,"['dutch', 'fortification', 'indie', 'east', 'waterkasteel', 'batavia', 'northernmost']",0.8543037757761094,0.6172489550759498,0.780536596709663
389,batavia,batavia,Q96242430,"['indie', 'east', 'amsterdam', 'joannes', 'batavia', 'dutch', 'abeleven']",0.8115412232246672,0.4685647973764672,0.669573987837621
419,batavia,batavia,Q1150578,"['dutch', 'city', 'pacinan', 'chinese', 'present', 'murder', 'indie', 'pogrom', 'east', 'chinezenmoord', 'jakarta', 'port', 'ethnic', 'day', 'batavia', 'mass', 'geger', 'massacre']",0.8087395412137588,0.7471845646508171,0.818725878754223
194,batavia,batavia,Q25388662,"['city', 'mixed', 'skyscraper', 'jakarta', 'center', 'batavia', 'indonesia']",0.8044155118550136,0.7054041190656081,0.7771396398551959
436,batavia,batavia,Q28163844,"['indie', 'hotel', 'marine', 'building', 'east', 'batavia', 'dutch']",0.8005730133513098,0.624551936230764,0.7522635193109691
157,batavia,batavia,Q17340464,"['jeronimus', 'town', 'becx', 'painting', 'east', 'india', 'arm', 'company', 'batavia', 'dutch']",0.7857493848163518,0.6679780910921932,0.7674629602316471
77,batavia,batavia,Q110939710,"['tolling', 'indie', 'east', 'egidia', 'feb', 'cornelia', 'batavia', 'dutch']",0.7797003321197241,0.5114484176836853,0.6898504510776617
278,batavia,batavia,Q48728178,"['stadsherberg', 'tavern', 'indie', 'building', 'east', 'batavia', 'office', 'inn', 'dutch']",0.7779987094522863,0.6029334899552352,0.7199810438923882
125,batavia,batavia,Q116046852,"['dutch', 'indie', 'east', 'apr', 'jacobus', 'batavia', 'pedel', 'taiwan']",0.7748968112359068,0.4482320071208756,0.6455811980723348
71772,berber,berbers,Q45315,"['imazighen', 'berber', 'group', 'afroasiatic', 'people', 'amazigh', 'africa', 'ethnic', 'indigenous', 'north', 'tribe']",0.922619743122848,0.6109692422503645,0.8355276508074659
71888,berber,berber,Q1541828,"['rif', 'riff', 'riffian', 'berber', 'group', 'rifia', 'people', 'ethnic', 'cabezones', 'heritage', 'riyafa', 'ruafa', 'morocco', 'north', 'irifiyen']",0.9080083253505196,0.5825025224761221,0.8112028090485375
71903,berber,berber,Q19835346,"['culture', 'jewellery', 'berber', 'jewelry', 'people', 'western', 'africa', 'traditional', 'north']",0.8766188908841975,0.6651507581816903,0.8300296968408827
72225,berber,berber,Q25031017,"['berber', 'category', 'people', 'american', 'wikimedia', 'north', 'descent']",0.8694647875342306,0.6936484340550049,0.8446897935641271
71964,berber,berber,Q25448,"['berber', 'language', 'ber', 'afroasiatic', 'family', 'tamazight', 'africa', 'indigenous', 'north', 'dialect']",0.8628040343243517,0.6375628462680959,0.8078790351370875
71741,berber,berbers,Q16148121,"['berber', 'ethnic', 'group', 'france']",0.8507160727687095,0.6155674051972032,0.8113787556107089
71742,berber,berbers,Q16209031,"['history', 'aspect', 'berber', 'converted', 'people', 'africa', 'islam', 'north']",0.8464922926935586,0.7004934841506306,0.8384979215438577
71877,berber,berber,Q1267932,"['shilha', 'berber', 'group', 'chleuh', 'shluh', 'people', 'ethnic', 'morocco']",0.8427619541172244,0.5664931674240378,0.783802812765702
71955,berber,berber,Q2511788,"['egypt', 'berber', 'language', 'family', 'group', 'eastern', 'subfamily', 'libya', 'spoken']",0.8427021876183682,0.6698729637335435,0.8177862214365428
72020,berber,berber,Q3071332,"['fibula', 'culture', 'berber', 'amazigh', 'traditional', 'brooch', 'north', 'african']",0.8422837362570662,0.6181776104968653,0.7840827917762835
114134,black,blacks,Q817393,"['woman', 'mid', 'color', 'racialized', 'race', 'category', 'based', 'complexion', 'human', 'dark', 'man', 'person', 'specific', 'people', 'categorization', 'classification', 'population', 'skin', 'brown', 'black', 'usually', 'political']",0.9322159917036592,0.7875473935521464,0.9253094338499592
116122,black,black,Q105069642,"['descent', 'history', 'saharan', 'aspect', 'african', 'group', 'people', 'black', 'ethnic', 'racial', 'sub', 'human']",0.9126048508022772,0.8434639817619672,0.909725598668738
119836,black,black,Q96649416,"['nowhere', 'solitude', 'person', 'belonging', 'feeling', 'historical', 'black', 'leading', 'social', 'racialized', 'process', 'concept']",0.9122340672357,0.7951673082815379,0.9133498594575252
114490,black,black,Q3007177,"['symbolism', 'culture', 'african', 'state', 'cultural', 'pattern', 'black', 'american', 'associated', 'united', 'activity', 'identity', 'human']",0.910309347156054,0.8347301383934368,0.9094697313214706
123264,black,black,Q29097370,"['association', 'history', 'regard', 'especially', 'discrimination', 'together', 'society', 'black', 'brings', 'oppression', 'highlighting', 'learned', 'american', 'organization', 'view', 'exploitation', 'anthropologist', 'african']",0.9002367937829789,0.8274777902165853,0.902998658236741
117623,black,black,Q2415143,"['hebrew', 'verified', 'affiliation', 'record', 'account', 'rabbi', 'confirmed', 'american', 'traced', 'lineage', 'religious', 'group', 'elder', 'new', 'african', 'movement', 'semitic', 'indigenous', 'myriad', 'ancient', 'claiming', 'black', 'community', 'ancestral', 'organization', 'israelite']",0.8989666321990455,0.8291319792661143,0.9033294874825352
