,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
28617,aboriginal,aboriginal,Q254387,"['maleis', 'subgroep', 'negrito', 'officieel', 'doeleinde', 'indelen', 'asli', 'inheems', 'etnisch', 'maleisië', 'senoi', 'verzamelnaam', 'orang', 'aboriginal', 'schiereiland', 'minderheid', 'administratief']",0.7929325705975032,0.7617660979989578,0.8137668647043381
28603,aboriginal,aboriginals,Q110629929,"['tentoonstelling', 'geschiedenis', 'australisch', 'aspect', 'etnologisch', 'aboriginal']",0.7914141854075184,0.6496084186558246,0.7829526137527801
28607,aboriginal,aboriginals,Q216839,"['taiwanese', 'bevolking', 'taiwan', 'groep', 'inheems', 'etnisch', 'mens', 'aboriginal', 'isoleren', 'volk']",0.7684173916848682,0.8375121833257991,0.8209594171974672
28644,aboriginal,aboriginal,Q100341850,"['kunst', 'tentoonstelling', 'aboriginal', 'tijdelijk']",0.7541222186449904,0.5911608702865029,0.7412439797680294
28628,aboriginal,aboriginal,Q1476490,"['kunst', 'religie', 'regenboogslang', 'aboriginal', 'scheppergod', 'australië', 'motief']",0.7278489824984093,0.6987101162101582,0.7486379577445081
28604,aboriginal,aboriginals,Q111248029,"['susi', 'tagorah', 'samen', 'dakaro', 'manbarra', 'tentoonstelling', 'jong', 'amerika', 'europa', 'princess', 'achten', 'etnologisch', 'aboriginal', 'sussy', 'tagarah', 'exposeren', 'vrouw', 'dakara']",0.7278330384888716,0.7634614843796694,0.7718502632358218
28616,aboriginal,aboriginal,Q2479183,"['construeren', 'syllabics', 'kapitaal', 'canadian', 'schrift', 'abugida', 'alfabet', 'aboriginal']",0.7127155415810053,0.6578464808963929,0.7285556328194954
28606,aboriginal,aboriginals,Q170355,"['bevolking', 'austraalnegers', 'inwoner', 'australiër', 'inheems', 'australiden', 'aborigines', 'aboriginal', 'australië']",0.6734019121444346,0.7654430725062178,0.7117602703950047
28605,aboriginal,aboriginals,Q1492906,"['wurundjeri', 'groep', 'etnisch', 'melbourne', 'zuidoost', 'aboriginal', 'australië']",0.6465884951971654,0.6922489183959855,0.6801369322804337
28649,aboriginal,aboriginal,Q5375657,"['australia', 'boeken', 'werk', 'encyclopaedia', 'aboriginal', 'literair']",0.6434296999391325,0.5708793951147179,0.6521225573323136
