,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
87351,aboriginal,Q103817,"['culture', 'aboriginal', 'minority', 'descended', 'group', 'original', 'inhabitant', 'people', 'given', 'native', 'ethnic', 'indigenous', 'population', 'identified', 'traditional', 'region']",0.9477046351135296,0.8204951070354802,0.9453031852049216
87882,aboriginal,Q96200400,"['statement', 'state', 'territorial', 'building', 'area', 'native', 'custodian', 'work', 'connected', 'country', 'traditional', 'acknowledgement', 'refers', 'land', 'people', 'public', 'indigenous', 'acknowledgment', 'live', 'aboriginal', 'lived', 'often', 'recognition']",0.9376661390150376,0.8148292360093571,0.9386056206965226
88901,aboriginal,Q7980672,"['language', 'area', 'event', 'recognised', 'performed', 'intended', 'group', 'surrounding', 'country', 'formal', 'traditional', 'ritual', 'acknowledgement', 'highlight', 'particular', 'land', 'welcome', 'ceremony', 'australia', 'held', 'significance', 'aboriginal', 'owner', 'cultural', 'many', 'clan']",0.9291228247482112,0.8143583862220861,0.9295879383553672
87611,aboriginal,Q28942344,"['aboriginal', 'people', 'community', 'indigenous', 'australian', 'settlement', 'populated', 'primarily', 'human']",0.9217234120355204,0.8424496296395514,0.9241069629667548
88372,aboriginal,Q8039318,"['victoria', 'corporation', 'strait', 'council', 'representing', 'torres', 'australian', 'wurundjeri', 'wurrung', 'land', 'people', 'australia', 'islander', 'woi', 'aboriginal', 'compensation', 'cultural', 'heritage', 'tribe']",0.9204160961366288,0.8212558069830407,0.91908831804489
87484,aboriginal,Q170355,"['aboriginal', 'inhabitant', 'strait', 'group', 'consisting', 'people', 'type', 'islander', 'ethnic', 'indigenous', 'australian', 'population', 'torres', 'native', 'continent', 'island', 'aborigine', 'human']",0.9203299119533012,0.8322869574658598,0.9218455596059396
87771,aboriginal,Q5937166,"['movement', 'indigene', 'depicting', 'aboriginal', 'amerindian', 'character', 'nation', 'people', 'native', 'indigenous', 'social', 'american', 'mascot', 'controversy', 'first']",0.9145171748029788,0.8126776596065257,0.9146079031840244
88416,aboriginal,Q85739476,"['aboriginal', 'reserve', 'place', 'people', 'indigenous', 'australian', 'relating', 'historic']",0.914109272343752,0.8475297815916388,0.9182527594795932
87773,aboriginal,Q596718,"['tjurunga', 'significance', 'aboriginal', 'religious', 'group', 'central', 'people', 'object', 'australian', 'arunta', 'arrernte', 'aranda']",0.911515406700924,0.8296476254655716,0.9165041937261614
87405,aboriginal,Q112729549,"['defined', 'aboriginal', 'territorial', 'statistical', 'iloc', 'strait', 'australia', 'bureau', 'community', 'islander', 'statistic', 'entity', 'indigenous', 'torres', 'australian', 'census', 'location']",0.9087012226993256,0.8473405919477021,0.9157724496402762
