,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
28617,aboriginal,Q254387,"['maleis', 'subgroep', 'negrito', 'officieel', 'doeleinde', 'indelen', 'asli', 'inheems', 'etnisch', 'maleisië', 'senoi', 'verzamelnaam', 'orang', 'aboriginal', 'schiereiland', 'minderheid', 'administratief']",0.7929325705975032,0.7617660979989578,0.8137668647043381
28644,aboriginal,Q100341850,"['kunst', 'tentoonstelling', 'aboriginal', 'tijdelijk']",0.7541222186449904,0.5911608702865029,0.7412439797680294
28628,aboriginal,Q1476490,"['kunst', 'religie', 'regenboogslang', 'aboriginal', 'scheppergod', 'australië', 'motief']",0.7278489824984093,0.6987101162101582,0.7486379577445081
28616,aboriginal,Q2479183,"['construeren', 'syllabics', 'kapitaal', 'canadian', 'schrift', 'abugida', 'alfabet', 'aboriginal']",0.7127155415810053,0.6578464808963929,0.7285556328194954
28614,aboriginal,Q170355,"['bevolking', 'austraalnegers', 'inwoner', 'australiër', 'inheems', 'australiden', 'aborigines', 'aboriginal', 'australië']",0.6734019121444346,0.7654430725062178,0.7117602703950047
28649,aboriginal,Q5375657,"['australia', 'boeken', 'werk', 'encyclopaedia', 'aboriginal', 'literair']",0.6434296999391325,0.5708793951147179,0.6521225573323136
28657,aboriginal,Q16873160,"['politiek', 'organisatie', 'national', 'aboriginal', 'conference']",0.6115424947820016,0.5828852365825846,0.6325001413667739
28622,aboriginal,Q50771036,"['tijdschrift', 'open', 'access', 'academisch', 'policy', 'aboriginal', 'studie']",0.6081527427607071,0.4703623742613939,0.5969339535294358
28640,aboriginal,Q781314,"['progressive', 'organisatie', 'association', 'aboriginal', 'australian', 'australië']",0.6024880156556207,0.5687958152448299,0.6125836349854858
28662,aboriginal,Q55369318,"['forwarden', 'painting', 'tijdelijk', 'tentoonstelling', 'aboriginal', 'australian', 'remembering', 'since']",0.5924247850952652,0.4849028231415122,0.5810579169258722
28603,aboriginals,Q110629929,"['tentoonstelling', 'geschiedenis', 'australisch', 'aspect', 'etnologisch', 'aboriginal']",0.7914141854075184,0.6496084186558246,0.7829526137527801
28607,aboriginals,Q216839,"['taiwanese', 'bevolking', 'taiwan', 'groep', 'inheems', 'etnisch', 'mens', 'aboriginal', 'isoleren', 'volk']",0.7684173916848682,0.8375121833257991,0.8209594171974672
28604,aboriginals,Q111248029,"['susi', 'tagorah', 'samen', 'dakaro', 'manbarra', 'tentoonstelling', 'jong', 'amerika', 'europa', 'princess', 'achten', 'etnologisch', 'aboriginal', 'sussy', 'tagarah', 'exposeren', 'vrouw', 'dakara']",0.7278330384888716,0.7634614843796694,0.7718502632358218
28606,aboriginals,Q170355,"['bevolking', 'austraalnegers', 'inwoner', 'australiër', 'inheems', 'australiden', 'aborigines', 'aboriginal', 'australië']",0.6734019121444346,0.7654430725062178,0.7117602703950047
28605,aboriginals,Q1492906,"['wurundjeri', 'groep', 'etnisch', 'melbourne', 'zuidoost', 'aboriginal', 'australië']",0.6465884951971654,0.6922489183959855,0.6801369322804337
28608,aboriginals,Q817828,"['afkomstig', 'bemiddelaar', 'aboriginal', 'bennelong']",0.6235620584076057,0.5998853329219934,0.6334585068400949
18619,achterlijk,Q10388983,"['achterlijk', 'technisch', 'achterkant', 'scheepsonderdeel', 'lijkentouw', 'zeilen', 'touw', 'nautisch', 'term']",0.6261128618158764,0.4933412651239778,0.6442179534156635
18617,achterlijke,,,,,
18616,achterlijken,,,,,
18613,achterlijker,,,,,
18615,achterlijkere,,,,,
18614,achterlijkheid,,,,,
18618,achterlijks,,,,,
18611,achterlijkst,,,,,
18612,achterlijkste,,,,,
13380,afkomst,Q1642895,"['organisatie', 'komaf', 'groep', 'verwantschap', 'afkomst', 'nakomeling', 'levenden', 'afstamming']",0.8755420917927378,0.5723583421058199,0.8586026203562145
13486,afkomst,Q905761,"['vraagstuk', 'paleontologie', 'afkomst', 'vogel', 'oorsprong']",0.8332006534240572,0.6639845204789077,0.8390519297444229
13447,afkomst,Q45315,"['tamazgha', 'groep', 'berbers', 'wereld', 'imazighen', 'berber', 'etnisch', 'afkomst', 'amazigh', 'stammen', 'talen']",0.8191038628512141,0.5726395673973774,0.8078033691265247
13457,afkomst,Q55350216,"['tijdelijk', 'tentoonstelling', 'herinnering', 'plek', 'afkomst']",0.8133885604601273,0.6284728951905317,0.8162640756458456
13372,afkomst,Q12332701,"['nationaal', 'rassendiscriminatie', 'gronden', 'discriminatie', 'etnisch', 'huidskleur', 'afkomst', 'ras', 'afstamming']",0.7925450235458249,0.5693496863347283,0.78775738553084
13364,afkomst,Q110903593,"['rwandese', 'groep', 'etnisch', 'fransen', 'afkomst']",0.7874495969873303,0.5539937992978304,0.7800743998123334
13466,afkomst,Q60741209,"['zeeland', 'indians', 'groep', 'māori', 'nieuw', 'gemengd', 'etnisch', 'afkomst', 'indo', 'mens', 'indiaas']",0.7806011403358644,0.6078602839897336,0.7866106343678738
